#{"t_start": 1543280768.7137504, "env_id": "BipedalWalker-v2"}
r,l,t
-107.745822,38,1.202971
-116.30446,113,1.731616
-106.214216,122,2.099364
-102.548862,50,2.357239
-118.94945,78,2.68723
-104.459257,103,3.023196
-117.963685,161,3.382492
-132.451894,122,3.701391
-105.639597,78,3.962077
-115.823972,129,4.319357
-180.78823,1600,8.769124
-130.424531,114,9.13907
-179.267758,1600,12.866777
-152.108282,1600,16.527177
-181.470404,1600,20.502896
-181.270364,1600,24.185582
-116.073257,131,24.427341
-117.501268,109,24.671072
-178.416804,1600,28.586015
-180.617587,1600,32.397138
-184.088096,1600,36.104556
-180.607539,1600,39.856557
-172.670891,1600,43.680538
-115.27026,121,43.942263
-130.419815,105,44.179254
-118.936176,44,44.371438
-115.965964,130,44.620595
-183.359819,1600,48.401155
-124.25281,79,48.614862
-118.617984,49,48.650411
-133.434249,123,48.89602
-115.960734,130,49.320052
-122.032585,137,49.576047
-173.448636,1600,53.373536
-132.99187,143,53.791582
-115.581025,127,54.032569
-143.756545,1600,57.766424
-174.416602,1600,61.593676
-116.938166,148,61.861025
-178.47006,1600,65.719053
-116.193452,132,66.148876
-123.048959,47,66.185951
-113.768178,100,66.42683
-174.13562,1600,70.263657
-177.912128,1600,73.943873
-139.611434,189,74.431042
-170.851734,1600,78.245189
-115.90463,130,78.532128
-145.102251,1600,82.352431
-116.08408,131,82.756794
-170.006523,1600,86.496335
-178.450425,1600,90.442189
-178.835733,1600,94.30589
-116.313526,133,94.544407
-117.397248,145,94.810633
-115.966423,130,95.22875
-180.992255,1600,98.975249
-178.416768,1600,102.94028
-115.529907,126,103.217783
-137.031275,130,103.490981
-178.792541,1600,107.184346
-178.449173,1600,110.689781
-178.794288,1600,114.320726
-115.964226,130,114.719678
-178.803908,1600,118.279846
-178.820187,1600,121.956724
-178.13856,1600,125.645144
-178.451445,1600,129.135119
-109.500382,95,129.351276
-178.464702,1600,132.846574
-178.7895,1600,136.491709
-178.78087,1600,140.09118
-178.823372,1600,143.839281
-178.788367,1600,147.614503
-178.824694,1600,151.220772
-178.043379,1600,155.152351
-178.414517,1600,158.778122
-119.164537,163,159.04518
-178.43952,1600,162.588591
-178.8038,1600,166.333385
-178.781349,1600,170.130928
-123.943584,45,170.349194
-123.987144,45,170.385835
-124.436351,45,170.428135
-177.34228,1600,174.246947
-178.443719,1600,177.930222
-178.41314,1600,181.643392
-178.428566,1600,185.359972
-178.815188,1600,189.204278
-178.420927,1600,193.025113
-178.445504,1600,196.748071
-178.420207,1600,200.328013
-178.781756,1600,204.283345
-178.390264,1600,207.926234
-178.39756,1600,211.799944
-178.789237,1600,216.011386
-178.447007,1600,219.839191
-178.805061,1600,223.639492
-178.781421,1600,227.352795
-178.805938,1600,231.1969
-178.45104,1600,234.856143
-177.107405,1600,238.842736
-160.097588,1600,242.551232
-156.60525,1600,246.517098
-148.792266,1600,250.20512
-167.029833,1600,253.948127
-159.086842,1600,257.713071
-145.792216,1600,261.774437
-152.148516,1600,265.660504
-157.465514,1600,269.569665
-156.138571,1600,273.471716
-170.02795,1600,277.276495
-154.998101,1600,281.153221
-137.193136,1600,284.882656
-155.136809,1600,288.657114
-141.031051,1600,292.237442
-158.748053,1600,295.771979
-158.95279,1600,299.659039
-139.114448,1600,303.383896
-141.096987,1600,307.175132
-163.593809,1600,310.944399
-123.549958,44,311.119555
-123.39049,44,311.149627
-123.692198,45,311.325202
-123.640796,45,311.36159
-165.817401,1600,315.073334
-169.502911,1600,318.683992
-167.345576,1600,322.478298
-167.828083,1600,326.306297
-150.474481,1600,330.226926
-158.440146,1600,334.391424
-155.045131,1600,338.085781
-145.131473,1600,341.699804
-171.053607,1600,345.383927
-165.518152,1600,349.11604
-111.784539,103,349.347717
-112.460562,102,349.561358
-112.422135,101,349.78808
-112.926213,104,350.031127
-112.824283,101,350.277496
-112.701284,104,350.524818
-143.149108,1600,354.253679
-156.250573,1600,358.16901
-157.53538,1600,361.998712
-148.177177,1600,365.863383
-163.723697,1600,369.521188
-160.217179,1600,373.131361
-167.026352,1600,376.881213
-166.008119,1600,380.794729
-157.693014,1600,384.577949
-147.987302,1600,388.36973
-156.514218,1600,392.08441
-150.095946,1600,395.731812
-163.247987,1600,399.44829
-157.751228,1600,403.496966
-156.048711,1600,407.15303
-170.865898,1600,410.894616
-158.925869,1600,414.55106
-171.055299,1600,418.252811
-149.47957,1600,421.923896
-163.625054,1600,425.596627
-113.268517,79,425.815901
-113.85868,75,426.050922
-114.287099,96,426.576284
-114.964078,68,426.811243
-118.189441,140,427.106502
-170.166952,1600,430.856768
-158.798728,1600,434.58847
-163.800135,1600,438.266273
-158.300233,1600,442.038599
-142.49194,1600,445.898691
-163.924206,1600,449.602937
-158.132454,1600,453.514068
-170.316072,1600,457.156014
-117.135697,38,457.1829
-117.387496,38,457.364936
-118.128667,39,457.392725
-112.000334,67,457.603176
-111.821074,67,457.66142
-112.343507,82,457.899635
-112.313526,77,458.126743
-112.303122,80,458.354069
-111.570255,78,458.57674
-111.988247,73,458.62769
-111.90797,67,458.84433
-114.576721,124,459.105207
-111.819285,78,459.331
-113.095311,95,459.560354
-114.045127,119,459.801313
-112.315403,84,460.027349
-112.772364,104,460.26984
-113.899994,125,460.493304
-171.468648,1600,464.106131
-111.75306,81,464.327838
-118.044918,37,464.505211
-115.836473,132,464.749237
-114.682711,129,464.97583
-114.992956,123,465.21053
-116.652279,140,465.651858
-115.523798,130,465.931055
-115.789595,130,466.184651
-111.983939,77,466.398208
-112.937805,96,466.656837
-113.745343,100,466.903017
-113.050172,95,467.134202
-112.99577,95,467.37086
-112.945783,96,467.60232
-115.369685,133,467.85411
-115.00752,127,468.283448
-115.913274,140,468.55858
-117.487802,153,468.820791
-115.072988,131,469.245901
-114.95463,134,469.515759
-114.872024,128,469.767259
-114.893706,125,470.235734
-116.39854,143,470.530419
-112.550272,83,470.761771
-114.052245,128,471.023381
-112.129911,64,471.232725
-115.578309,129,471.483872
-114.955661,124,471.74239
-154.190449,1600,475.795228
-159.00082,1600,479.56877
-162.933408,1600,483.299212
-144.651969,1600,486.995688
-153.175928,1600,490.709282
-157.360824,1600,494.337687
-166.587075,1600,498.337678
-164.441472,1600,502.016064
-162.260488,1600,505.708977
-159.320292,1600,509.590103
-166.044457,1600,513.215758
-161.611246,1600,516.93202
-166.217995,1600,520.876562
-149.275447,1600,524.554893
-152.436233,1600,528.306463
-162.180424,1600,531.990521
-172.836379,1600,535.676118
-156.680084,1600,539.528096
-157.612081,1600,543.100175
-138.507565,1600,547.207646
-167.399596,1600,551.030956
-118.268904,144,551.464454
-118.099087,147,551.724422
-116.706113,129,552.146392
-116.105469,118,552.372449
-161.323668,1600,555.850077
-119.359129,182,556.277419
-168.314538,1600,559.758376
-162.379821,1600,563.354535
-160.343475,1600,567.424339
-152.45022,1600,571.161875
-171.56462,1600,574.809294
-171.564956,1600,578.495095
-151.7784,1600,582.276505
-154.228416,1600,586.062074
-159.480379,1600,589.684183
-155.511979,1600,593.791307
-171.092088,1600,597.509375
-167.553592,1600,601.116213
-135.358342,1600,604.7196
-148.860479,1600,608.544768
-161.806171,1600,612.215589
-147.330129,1600,616.293643
-166.212431,1600,619.969046
-161.878852,1600,623.783849
-156.74392,1600,627.727441
-167.477295,1600,631.36678
-160.866661,1600,635.219527
-157.907861,1600,639.376509
-163.616943,1600,643.052125
-141.34318,1600,646.937457
-156.808854,1600,650.663593
-165.283632,1600,654.355409
-162.71762,1600,658.380955
-169.50869,1600,662.582318
-157.218765,1600,666.504271
-136.602884,1600,670.363322
-172.187473,1600,673.895384
