#{"t_start": 1543280768.6599793, "env_id": "BipedalWalker-v2"}
r,l,t
-123.083162,111,1.770992
-111.827263,62,1.827339
-156.894264,1600,7.131491
-130.137772,104,7.47115
-108.285443,76,7.773213
-121.691753,177,8.255201
-132.74611,122,8.519834
-129.542617,104,8.792575
-166.112082,1600,12.72017
-121.174721,141,12.972411
-178.785975,1600,16.865228
-177.376316,1600,20.63441
-178.379409,1600,24.332091
-178.789169,1600,28.100043
-178.666894,1600,31.878694
-178.404275,1600,35.917352
-103.459919,96,36.185528
-131.359868,119,36.647953
-177.858057,1600,40.508414
-178.828636,1600,44.325814
-159.791323,1600,48.066606
-178.422898,1600,51.829588
-116.162799,133,52.087486
-178.795185,1600,55.795784
-128.21658,1600,59.408425
-177.238654,1600,63.110517
-178.630858,1600,66.968707
-175.248862,1600,70.476762
-108.538956,53,70.513743
-123.103299,42,70.710937
-121.852733,43,70.741899
-123.128055,42,70.962415
-122.351692,42,71.001935
-177.035585,1600,74.763044
-177.452584,1600,78.230556
-115.288869,137,78.630603
-112.643756,116,78.860779
-160.365189,1600,82.485112
-115.996506,145,82.759553
-148.2869,1600,86.343235
-178.387532,1600,89.700443
-176.989525,1600,93.295768
-177.397924,1600,97.103057
-177.20032,1600,100.95658
-177.424609,1600,104.628208
-164.123573,1600,108.457279
-126.898693,116,108.695724
-177.450322,1600,112.731716
-178.418834,1600,116.35907
-122.827214,42,116.546694
-177.452242,1600,120.712087
-177.43904,1600,124.269198
-177.272165,1600,128.142549
-177.461334,1600,131.802333
-177.450947,1600,135.779504
-177.45229,1600,139.518424
-177.432364,1600,143.096071
-177.45271,1600,146.714698
-109.667905,121,146.956225
-177.440123,1600,150.481296
-177.452889,1600,154.125998
-178.7939,1600,157.746676
-118.424462,42,157.786093
-176.398086,1600,161.602891
-177.450968,1600,165.250508
-177.456956,1600,168.808349
-177.423006,1600,172.290016
-150.496408,1600,175.940886
-177.472634,1600,179.441638
-178.53443,1600,182.874866
-177.437373,1600,186.405509
-121.812907,44,186.5791
-178.246749,1600,190.099328
-177.453255,1600,193.582525
-177.443511,1600,197.208906
-177.38385,1600,200.779868
-162.274688,1600,204.168017
-178.710074,1600,207.620925
-178.380224,1600,211.116977
-178.787716,1600,214.564536
-116.418141,134,214.802124
-176.764772,1600,218.374151
-144.725409,1600,221.947819
-178.219688,1600,225.383874
-146.676631,1600,228.923213
-178.518449,1600,232.436204
-178.460597,1600,236.124374
-115.969565,130,236.363586
-108.202016,131,236.743296
-176.674095,1600,240.184661
-102.564266,65,240.229126
-178.443521,1600,243.974846
-178.788524,1600,247.451501
-178.807016,1600,251.338797
-178.413098,1600,254.896558
-178.412146,1600,258.38518
-178.799681,1600,261.804976
-178.802242,1600,265.345099
-114.357036,128,265.720132
-178.520595,1600,268.98289
-178.825781,1600,272.549835
-116.199898,132,272.796897
-106.896003,96,273.021998
-171.959251,1600,276.465165
-178.710613,1600,279.997117
-156.034648,1600,283.451181
-181.577321,1600,287.100582
-178.709165,1600,290.855078
-177.464378,1600,294.582293
-114.49056,107,294.83683
-181.097033,1600,298.301497
-113.977712,79,298.494353
-178.420286,1600,302.147023
-150.75509,1600,305.495919
-178.459968,1600,309.143101
-178.46434,1600,312.668079
-177.385913,1600,316.386558
-178.709605,1600,320.114003
-122.304747,43,320.146209
-181.52973,1600,323.802907
-178.789443,1600,327.146429
-123.137447,47,327.32871
-161.493101,1600,330.757819
-123.160457,47,330.790953
-171.968649,1600,334.406243
-158.866485,1600,338.117954
-178.449529,1600,341.898372
-151.962137,1600,345.749113
-178.809513,1600,349.275987
-178.826537,1600,352.853555
-152.925756,1600,356.41619
-169.150086,1600,360.117328
-143.415679,1600,363.567815
-178.439025,1600,367.286046
-178.449115,1600,370.846581
-178.422213,1600,374.415817
-116.190372,132,374.836432
-116.418235,134,375.082791
-177.387989,1600,378.578701
-181.55143,1600,382.095258
-178.788825,1600,385.656471
-133.361164,122,385.896088
-181.111763,1600,389.577209
-177.422532,1600,393.27593
-167.771592,1600,396.858462
-155.005794,1600,400.701674
-108.787369,84,400.918326
-170.428305,1600,404.779917
-178.45983,1600,408.395487
-178.789302,1600,412.128323
-116.418426,134,412.393376
-178.445919,1600,416.284106
-178.777029,1600,420.041592
-178.39676,1600,423.770309
-178.788289,1600,427.565053
-173.203541,1600,431.267322
-116.074544,131,431.687837
-115.622545,127,431.951488
-177.367142,1600,435.632915
-116.311905,133,435.879123
-177.385758,1600,439.791373
-123.002678,47,439.978527
-123.138145,47,440.011796
-123.11541,47,440.197812
-123.998858,41,440.226284
-123.157331,47,440.258685
-178.423692,1600,444.133902
-177.447243,1600,447.690212
-135.096627,114,448.084939
-178.787942,1600,451.650427
-179.086768,1600,455.252509
-115.969868,130,455.491148
-178.801264,1600,459.381849
-116.30861,133,459.626198
-181.470983,1600,463.474852
-177.345381,1600,467.212372
-152.000622,1600,470.802214
-177.429138,1600,474.346918
-175.376214,1600,478.036189
-138.162501,249,478.647993
-181.574245,1600,483.134014
-178.631724,1600,486.831219
-178.417778,1600,490.604588
-178.443847,1600,494.327449
-108.775072,114,494.566528
-122.917049,43,494.596567
-181.111526,1600,498.239087
-145.536137,1600,502.027853
-116.418546,134,502.525631
-121.202516,44,502.55902
-178.422253,1600,506.394387
-178.80576,1600,510.309
-178.450589,1600,513.961381
-181.580421,1600,517.913933
-178.798203,1600,521.675305
-177.389402,1600,525.343136
-178.397378,1600,528.945345
-116.199824,132,529.198551
-178.5184,1600,533.482839
-178.424048,1600,537.100361
-116.253841,138,537.507373
-176.767605,1600,541.243574
-176.750413,1600,544.941766
-123.173385,47,544.974735
-123.166993,47,545.175164
-123.14372,47,545.209421
-123.441727,47,545.459376
-180.882622,1600,549.154639
-178.516771,1600,552.766933
-115.068517,123,553.02499
-162.246729,1600,557.642656
-116.357788,129,557.905505
-178.790943,1600,561.720741
-102.587963,70,561.945464
-177.421726,1600,565.769402
-178.710191,1600,569.597774
-178.816051,1600,573.381144
-178.775355,1600,577.154628
-178.709453,1600,581.196764
-116.194983,132,581.436671
-178.799966,1600,585.10125
-178.397304,1600,588.957342
-178.423806,1600,592.779526
-178.799669,1600,596.686687
-178.780282,1600,601.089675
-178.464497,1600,605.356379
-181.091089,1600,609.20066
-177.452243,1600,613.125062
-140.076053,1600,617.272535
-181.589941,1600,621.143041
-181.097535,1600,624.998211
-178.825409,1600,629.148814
-115.525535,134,629.579921
-178.410103,1600,633.666148
-178.673465,1600,637.764468
-178.809388,1600,641.713882
-178.39296,1600,645.512784
-177.386414,1600,649.2823
-178.408712,1600,653.680134
-109.220524,118,653.984139
-178.778714,1600,657.947507
-181.742389,1600,661.980515
-123.924941,41,662.012065
-113.093244,101,662.256392
-123.660325,48,662.480697
-123.136319,47,662.515224
-123.159572,47,662.715662
-115.494016,70,662.763537
-183.802498,1600,666.403623
-177.434356,1600,670.321062
-178.409323,1600,674.392475
-172.654756,1600,678.772694
-178.274464,1600,682.628575
-181.068592,1600,686.524871
-178.82152,1600,690.315928
-149.06328,1600,694.153938
-178.787993,1600,698.319522
-156.958529,1600,702.307099
-178.517174,1600,706.595517
-178.79915,1600,710.582829
-178.795728,1600,714.324985
-178.343908,1600,718.166974
-178.380757,1600,721.90092
-178.414217,1600,725.572893
-145.686777,210,726.041536
-178.420933,1600,730.147946
-178.519865,1600,733.918214
-178.834116,1600,737.603906
-102.76122,81,737.830311
-105.577418,53,738.047418
-178.44673,1600,741.912242
-178.664549,1600,745.65493
-130.506,105,745.95053
-178.71048,1600,749.663853
-178.424724,1600,753.826419
-178.789361,1600,757.864416
-180.678773,1600,761.89584
-178.793629,1600,765.868448
-178.465507,1600,769.772393
-107.051539,67,769.822018
-177.42806,1600,773.869455
-123.13927,47,774.088703
-122.902296,47,774.124986
-117.516023,38,774.317854
-123.172999,47,774.352923
-115.118867,105,774.611913
-123.09889,47,774.812092
-113.330543,93,775.041256
-111.412396,66,775.087722
-178.424456,1600,779.619865
-179.067463,1600,783.788135
-178.459394,1600,787.633041
-165.389867,1600,791.700289
-115.776807,129,792.219273
-178.396843,1600,796.56032
-174.763736,1600,800.680366
-173.790294,1600,804.811711
-178.3962,1600,808.629606
-177.820079,1600,812.355886
-177.439855,1600,816.133979
-170.804525,1600,819.870414
-178.396421,1600,823.557789
-115.962872,130,823.836634
-176.754652,1600,828.01624
-181.233942,1600,832.127426
-116.078621,131,832.411841
-111.679043,102,832.665139
-178.450692,1600,836.374071
-177.457301,1600,840.356034
-178.417502,1600,844.128255
-178.517649,1600,847.957079
-177.455756,1600,852.195128
-177.429979,1600,855.884642
-178.392338,1600,859.632052
-178.439001,1600,863.631556
-176.928153,1600,867.490846
-177.386031,1600,871.326473
-173.619299,1600,875.545475
-148.006883,1600,879.367618
-178.824886,1600,883.165632
-175.189287,1600,886.968779
-180.561101,1600,890.764316
-179.461005,1600,894.423212
-178.376889,1600,898.305913
-180.634328,1600,902.551326
-122.800153,47,902.748299
-174.767033,1600,906.510391
-154.749394,1600,910.325442
-160.389464,1600,914.175077
-176.96797,1600,918.007445
-181.428864,1600,921.722798
-178.085,1600,925.86691
-142.564537,1600,929.470533
-103.927713,87,929.727106
-141.317683,1600,933.452257
-175.275351,1600,937.39765
-127.055214,1600,941.208785
-152.743383,1600,945.338291
-148.174432,1600,949.604168
-160.469927,1600,953.129165
-105.668424,1600,956.700938
-167.668437,1600,960.75092
-158.429427,1600,964.506066
