#{"t_start": 1543280768.8883584, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-1116.959809,88,1.094826
-359.599526,49,1.570069
-776.125632,83,1.948421
-559.069468,95,2.274673
-374.267189,52,2.312351
-872.898169,86,2.550608
-524.070686,59,2.75476
-487.414618,100,3.053609
-359.37127,84,3.163965
-696.90958,81,3.479808
-849.802693,73,3.930231
-167.447512,64,4.233292
-535.787734,89,4.547443
-433.274221,60,4.605417
-343.383198,52,4.801352
-1343.274922,111,5.149416
-779.085523,78,5.453293
-840.790466,89,5.552614
-282.873165,71,5.768659
-433.998913,59,6.042294
-617.810796,108,6.393213
-380.863907,50,6.445608
-458.411703,76,6.719578
-1948.39786,138,7.093767
-697.476384,66,7.361844
-178.373274,54,7.62247
-489.147786,72,7.672464
-897.263209,85,7.932981
-427.526284,57,8.123943
-745.635914,56,8.170501
-1012.429633,100,8.508116
-1035.266026,92,8.765419
-148.321501,50,8.96176
-382.168421,91,9.196319
-612.268664,72,9.245219
-116.275653,76,9.462617
-356.70447,52,9.658671
-798.810979,86,9.892586
-924.513649,79,9.965294
-135.798018,76,10.183572
-717.299086,83,10.415316
-390.703576,50,10.45364
-711.545524,69,10.686893
-893.556974,141,11.172492
-459.22903,58,11.212518
-442.000803,55,11.404338
-809.264163,80,11.455123
-1112.967118,93,11.666291
-731.465896,53,11.873456
-799.945758,74,12.076311
-450.266743,56,12.11395
-463.375287,52,12.308498
-472.365667,54,12.341779
-571.467592,61,12.530772
-953.519415,83,12.768401
-585.862457,88,12.997472
-814.504853,85,13.056193
-368.312459,61,13.288357
-366.205961,52,13.519851
-487.512372,56,13.583068
-469.030332,54,13.829644
-401.39852,78,13.885948
-598.655418,63,14.124104
-664.734196,65,14.355925
-402.042676,57,14.39838
-537.733498,60,14.695261
-639.941827,88,14.938123
-475.037222,62,14.98133
-466.88611,56,15.201942
-810.875168,92,15.463956
-443.816961,55,15.505628
-797.216325,77,15.744077
-569.765741,68,15.958601
-878.857029,76,16.18286
-339.389024,53,16.23246
-145.502169,91,16.426769
-398.923558,50,16.595812
-1307.771946,121,16.82108
-779.525526,57,16.859778
-842.733953,86,17.138645
-669.748338,93,17.417243
-964.915945,86,17.651808
-633.629107,65,17.876005
-578.243913,62,17.921734
-70.519471,64,18.142556
-591.139652,71,18.36593
-593.613683,62,18.411284
-452.342764,52,18.618372
-400.020051,78,18.873823
-435.771718,53,18.947244
-742.943276,57,19.13529
-799.150336,85,19.187584
-442.713762,66,19.372127
-824.751492,78,19.579883
-773.318394,84,19.806643
-837.661627,83,20.03041
-540.964627,66,20.079528
-909.186273,76,20.311032
-476.451612,56,20.49098
-423.31288,77,20.537752
-532.240379,75,20.728968
-459.506329,67,20.926233
-206.725958,53,20.963521
-500.702967,78,21.166142
-1625.644184,121,21.41125
-926.210845,83,21.623646
-379.33288,54,21.821308
-834.260634,88,22.018815
-456.49592,74,22.068451
-730.893347,71,22.274046
-158.357009,81,22.468349
-364.826165,53,22.499276
-253.400711,50,22.687551
-567.103796,68,22.974465
-770.117198,73,23.034085
-124.161015,77,23.261085
-157.349974,53,23.482103
-483.88175,76,23.54038
-491.845828,73,23.763868
-570.179655,71,23.990845
-365.124737,50,24.02068
-1236.032981,101,24.248168
-266.591206,60,24.431191
-157.875389,90,24.657341
-585.655645,89,24.855676
-151.824827,66,24.88935
-232.351618,55,25.180334
-495.183557,57,25.215366
-654.098288,85,25.433842
-324.783808,50,25.611761
-491.098224,69,25.6591
-338.733618,54,25.86741
-399.822672,89,26.098718
-172.173133,56,26.13682
-342.160203,95,26.346418
-760.869554,83,26.552699
-603.857618,122,26.785359
-402.368474,57,27.059569
-192.282226,92,27.269915
-856.74247,78,27.469347
-564.346734,60,27.509104
-457.773215,72,27.706065
-616.70854,80,27.942605
-510.89727,57,27.986677
-424.023641,59,28.197109
-445.034081,65,28.408497
-141.294619,58,28.448042
-613.055428,68,28.646615
-482.554497,70,28.839349
-673.229088,78,28.889065
-183.168283,60,29.070691
-219.491301,73,29.258173
-42.783924,63,29.296998
-160.250298,74,29.50025
-173.166161,53,29.677854
-516.375018,60,29.758992
-225.545674,82,29.966285
-459.775305,74,30.167197
-142.414979,67,30.2054
-689.601229,79,30.425126
-613.480921,62,30.614919
-619.865127,78,30.829794
-162.181282,63,30.867181
-275.309632,82,31.083558
-549.266517,74,31.25914
-195.595431,56,31.287487
-338.17168,50,31.453855
-911.132582,83,31.68469
-179.316957,108,31.999266
-466.553723,60,32.04003
-436.937027,55,32.229202
-256.215216,65,32.427269
-885.962879,93,32.652249
-370.951399,76,32.694779
-462.802552,64,32.883867
-309.191669,57,33.054044
-386.202383,85,33.106411
-552.183134,66,33.289427
-644.180285,98,33.520396
-264.932915,58,33.71084
-427.42294,60,33.762684
-302.148511,74,33.97979
-396.724584,71,34.17548
-173.174423,60,34.207508
-945.844483,90,34.481188
-217.991145,75,34.734159
-196.009384,84,35.003483
-155.361828,65,35.047426
-286.196021,61,35.23273
-353.744997,50,35.270175
-220.049811,61,35.473897
-275.429051,57,35.662939
-726.462948,82,35.723364
-593.846444,76,35.935039
-130.491966,66,36.130316
-410.349358,58,36.165385
-117.829883,60,36.345505
-473.64847,54,36.546542
-61.685858,75,36.586462
-124.104965,81,36.780331
-166.91573,69,36.984135
-126.342835,81,37.181699
-254.621669,80,37.231522
-783.081298,85,37.433406
-198.936002,68,37.626061
-733.863825,76,37.834239
-118.150237,56,37.868295
181.557116,228,38.52007
-561.071022,62,38.560266
-546.295658,85,38.770238
-196.132284,64,38.968621
-178.5741,53,39.002969
-724.179792,73,39.219973
-258.799429,63,39.409564
-735.220541,71,39.458048
-154.632724,86,39.658301
