#{"t_start": 1543280768.4522436, "env_id": "MountainCarContinuous-v0"}
r,l,t
-14.782606,999,4.699794
-99.74892,999,7.601927
-99.857546,999,9.672483
-32.463183,999,11.561847
-77.781617,999,13.724448
-92.760783,999,16.014748
-99.896741,999,18.239727
-38.706005,999,20.313607
-65.48227,999,22.310545
-26.1386,999,24.30979
-97.180043,999,26.483786
-95.599582,999,28.492191
-98.801599,999,30.48412
-32.857908,999,32.525182
-12.418157,999,34.639636
-82.558548,999,36.790385
-11.367697,999,38.875194
-99.815152,999,40.897872
-73.791542,999,42.983917
-81.731072,999,44.978052
-59.959983,999,47.233739
-0.766604,999,49.294862
-27.305707,999,51.481062
-62.977273,999,53.608483
-48.713773,999,55.929404
-98.439307,999,58.104492
-98.270374,999,60.213929
-18.083225,999,62.160069
-73.996636,999,64.325145
-37.780477,999,66.418902
-56.86041,999,68.664075
-79.010199,999,70.879677
-94.072368,999,72.921624
-39.965298,999,74.995082
-52.649507,999,76.991407
-22.198392,999,79.09315
-46.250522,999,81.292222
-1.281159,999,83.480095
-88.81883,999,85.473608
-27.266903,999,87.582843
-3.807318,999,89.965822
-4.431219,999,92.374817
-71.871181,999,94.407278
-17.577197,999,96.576101
-39.136955,999,98.637297
-2.229178,999,100.777433
-5.60593,999,103.137179
-72.296228,999,105.177708
-0.014523,999,107.314781
-15.138122,999,109.30812
-18.808097,999,111.507243
-34.837408,999,113.63362
-0.031141,999,115.606062
-54.123092,999,117.689487
-4.496582,999,119.756724
-7.543377,999,122.031208
-1.759175,999,124.170865
-41.859282,999,126.234509
67.68202,755,127.812023
-18.210126,999,129.81431
-62.491933,999,131.890377
-3.893137,999,133.910907
-1.029767,999,135.914677
-19.138103,999,138.006939
-56.805664,999,139.97017
-80.781948,999,142.060795
-2.116227,999,144.163625
-5.763498,999,146.396922
-6.412493,999,148.638555
-0.793248,999,150.656462
-46.327034,999,152.941575
-0.503176,999,155.291215
-38.401819,999,157.305771
-65.459464,999,159.273923
-1.958517,999,161.164051
81.1643,834,162.956668
-41.350439,999,164.90278
-2.92564,999,166.884463
-9.929344,999,168.97446
-10.621935,999,171.082366
-4.714145,999,173.358734
-63.492833,999,175.465259
-25.810636,999,177.581924
-60.123007,999,179.768422
-4.247197,999,181.892587
-15.064839,999,184.157491
-0.171575,999,186.406106
-13.082811,999,188.764382
