#{"t_start": 1543280768.4565003, "env_id": "MountainCarContinuous-v0"}
r,l,t
-31.316276,999,4.791821
-55.451328,999,7.802189
-40.403326,999,10.283201
-13.850636,999,12.070968
-15.437997,999,14.324121
-54.094539,999,16.433758
-4.839635,999,18.834347
-16.172555,999,20.834539
-22.605008,999,22.862621
-17.243985,999,25.192682
-8.167896,999,27.504047
-0.357184,999,29.501866
-12.385676,999,31.79212
-0.371318,999,34.077511
-0.477219,999,36.489763
-10.512638,999,38.584881
-14.778769,999,40.658125
-8.818338,999,42.744008
-5.857629,999,44.607419
-4.231068,999,47.079091
-12.021728,999,49.086185
-3.337715,999,51.192693
-22.128314,999,53.381004
-4.113148,999,55.802305
-13.283565,999,57.976789
-1.964313,999,60.228445
-28.851593,999,62.325504
-5.039809,999,64.754805
-18.324124,999,66.8908
-6.409915,999,69.084905
-22.129001,999,71.507895
-25.377126,999,73.60589
-11.237091,999,75.755049
-3.576263,999,77.894995
-14.215274,999,80.150806
-2.867375,999,82.460112
-5.944954,999,84.624409
-37.451295,999,86.710003
-1.444055,999,88.90924
-7.123793,999,91.798861
-1.862158,999,93.98105
-4.153457,999,96.238758
-13.539777,999,98.457971
-2.045907,999,100.675539
-1.582875,999,103.051097
-1.966581,999,105.398644
-0.018448,999,107.47955
-1.209559,999,109.482313
-27.736178,999,111.719659
-2.423302,999,113.982955
-14.816351,999,116.039728
-4.351021,999,118.174015
-0.467271,999,120.107013
-6.981853,999,122.601062
-7.824872,999,124.798429
-61.794923,999,127.070765
-47.724819,999,129.165891
-0.410956,999,131.152116
-2.162622,999,133.577955
-0.209056,999,135.690744
-18.734866,999,137.898518
-25.307234,999,139.956329
-4.265361,999,142.100037
-21.550253,999,144.220816
-2.042161,999,146.764793
-0.025443,999,149.10058
-1.049073,999,151.099894
-0.082033,999,153.621783
-1.232086,999,155.8888
-0.302093,999,157.994359
-7.773346,999,160.216674
-25.211152,999,162.109898
-2.167307,999,164.197054
-0.154019,999,166.273377
-1.463289,999,168.458358
-1.010049,999,170.549625
-5.729084,999,172.798771
-0.296265,999,174.879
-0.801443,999,177.203145
-0.148743,999,179.354203
-0.121302,999,181.450915
-2.162394,999,183.801098
-11.425706,999,186.194624
-29.152909,999,188.629629
-0.021892,999,190.863204
-1.959936,999,192.895426
-8.153063,999,195.010631
-49.308517,999,197.152553
-49.056154,999,199.212877
-1.224937,999,201.188862
-1.596148,999,203.714943
-16.626234,999,206.203441
-4.702501,999,208.651161
-0.356145,999,210.884817
-5.985234,999,212.876643
-10.481601,999,215.038903
-2.618207,999,217.354904
-0.141564,999,219.374306
-11.106305,999,221.796505
-1.677309,999,223.750805
-11.417361,999,225.846906
-0.031876,999,227.865256
-12.732164,999,230.451083
-4.271475,999,232.544863
-0.234073,999,234.659266
-0.390389,999,237.066661
-6.549955,999,239.279536
-4.699012,999,241.259885
-3.225228,999,243.425359
-0.20158,999,245.495474
-3.228396,999,247.71657
-24.236914,999,249.685618
-7.308346,999,251.555496
-23.726447,999,253.72056
-0.252455,999,255.923975
-0.264577,999,258.183088
-2.411771,999,260.624626
-9.346598,999,262.818744
-7.522297,999,265.04761
-21.625515,999,267.303163
-1.622986,999,270.025675
-22.602596,999,272.252719
-23.15603,999,274.389665
-0.100413,999,276.515246
-0.448192,999,278.931854
-0.715275,999,281.046671
-18.147658,999,283.176787
-16.63008,999,285.243565
-26.806358,999,287.697809
-14.446633,999,289.557266
-2.732917,999,291.837553
-0.024697,999,293.981804
-0.324794,999,296.264519
