#{"t_start": 1543291066.1517124, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-327.540233,121,1.448761
-1873.089725,262,2.07037
-615.391981,85,2.266917
-509.543228,59,2.462409
-753.55847,84,2.653918
-496.589571,68,2.69414
-849.848119,82,2.909778
-615.411346,66,3.098995
-532.718535,66,3.15192
-470.630828,59,3.351194
-1414.028805,113,3.60897
-1120.507063,88,3.836426
-1262.497553,98,4.106354
-781.446514,64,4.323922
-909.363403,83,4.388797
-443.947727,73,4.604343
-267.653758,60,4.800011
-660.771755,58,4.849965
-332.240352,51,5.039346
-709.041886,71,5.247297
-630.964475,96,5.474831
-390.26861,47,5.51658
-483.370007,58,5.717983
-699.080321,80,5.780401
-651.285388,70,6.010762
-462.509128,69,6.197922
-335.672568,87,6.401409
-799.753178,78,6.455822
-859.393358,75,6.698262
-704.203307,71,6.915004
-784.13608,76,7.125194
-359.613403,70,7.166852
-505.478713,69,7.378762
-555.268006,83,7.613504
-516.45845,64,7.842055
-385.701607,56,7.886928
-759.67227,76,8.108913
-490.98689,58,8.155469
-504.880321,68,8.396154
-476.651749,62,8.624599
-1364.793054,107,8.915531
-1011.40503,87,9.141053
-350.694005,52,9.177224
-442.072442,72,9.395151
-652.4636,70,9.625465
-484.185818,65,9.669667
-961.975089,90,9.910223
-495.344685,62,10.133972
-588.940356,64,10.179428
-1074.252691,92,10.411964
-404.750215,54,10.599301
-410.832237,58,10.634499
-592.566939,64,10.823969
-171.05355,79,11.028794
-212.164594,56,11.066763
-862.477873,80,11.270934
-637.640494,66,11.464374
-688.605842,90,11.663347
-762.68369,77,11.85202
-385.587329,57,11.888921
-468.383171,61,12.074139
-517.214786,56,12.114961
-796.197201,81,12.310665
-467.241253,73,12.4965
-866.181558,80,12.699748
-759.595083,80,12.755003
-471.093111,60,12.946756
-844.372772,86,13.158704
-456.037654,77,13.377123
-399.734049,56,13.418001
-357.085682,54,13.613365
-475.646622,53,13.652279
-644.306267,72,13.846659
-816.959602,83,14.059087
-404.778828,58,14.094336
-552.201672,70,14.336013
-717.338738,72,14.54897
-498.549262,63,14.751743
-506.695515,66,14.805882
-639.577581,66,15.001493
-599.954956,64,15.044479
-530.986848,71,15.267448
-488.27107,71,15.493704
-434.615119,52,15.525573
-451.072339,78,15.742185
-504.815232,77,15.967181
-778.055435,77,16.201063
-135.612816,89,16.43603
-190.60074,66,16.476776
-147.495721,58,16.675309
-251.782585,52,16.713032
-476.292151,76,16.929442
-314.110057,51,17.127141
-97.781989,54,17.163075
-339.547872,52,17.359829
-527.940361,67,17.400845
-408.676172,53,17.573391
-206.095548,84,17.762148
-137.407515,56,17.793461
-421.120132,52,17.97595
-267.61911,98,18.186453
-145.216423,62,18.219272
-441.463856,78,18.461645
-246.19108,53,18.662784
-311.655069,68,18.714876
-515.779282,73,18.937075
-308.833029,61,19.150737
-306.246098,51,19.187718
-306.734193,52,19.387975
-708.333824,83,19.61998
-298.218247,83,19.676993
-622.811093,88,19.926615
-112.346034,90,20.187672
-58.784612,107,20.440651
-343.346377,60,20.650579
-289.273836,53,20.687557
-298.884702,66,20.911478
-203.178838,68,21.162168
-138.005088,52,21.203584
-160.848389,68,21.403153
-161.534518,50,21.430143
-166.424498,54,21.610522
-216.849441,79,21.796564
-460.640078,70,21.845827
-73.57314,119,22.222513
-168.810611,62,22.254476
