#{"t_start": 1543291066.1783476, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-716.289549,58,1.107696
-108.261474,62,1.388764
-146.450315,54,1.41321
-106.607554,68,1.64205
-479.082109,54,1.684363
-842.656034,81,1.975201
-342.185087,55,2.168425
-135.684051,76,2.345811
-782.897426,108,2.592521
-752.263014,77,2.647202
-308.05563,92,2.873788
-588.60001,64,3.072773
-383.856708,87,3.29858
-137.330837,51,3.32595
-488.408165,64,3.562221
-419.272398,70,3.756612
-462.760609,66,3.795058
-589.159227,70,3.992556
-398.392271,55,4.228325
-229.475519,52,4.259452
-160.838095,81,4.524136
-946.622078,88,4.736317
-464.543713,55,4.768925
-98.16192,58,4.95237
-845.955786,86,5.166958
-519.509968,56,5.198195
-412.817676,57,5.385695
-444.491764,59,5.617787
-379.770114,51,5.645503
-485.136897,62,5.877219
-488.839617,76,5.928502
-316.19489,53,6.145771
-397.12758,54,6.182347
-163.788596,66,6.385945
-409.305707,50,6.569971
-372.87394,50,6.598722
-133.989944,68,6.788238
-521.233605,59,6.824923
-459.964624,67,7.043701
-546.252637,63,7.229167
-351.42545,61,7.272799
-562.025725,72,7.536565
-452.834819,69,7.752606
-509.763408,57,7.792393
-459.796779,85,7.997801
-126.880286,77,8.215782
-377.585152,57,8.420166
-163.889173,74,8.459983
-257.753651,103,8.72915
-211.906245,57,8.915154
-144.934717,67,9.102039
-458.825179,65,9.14161
-312.15384,51,9.353788
-1024.068176,90,9.608232
-101.261243,58,9.639846
-114.910221,88,9.880893
-387.692014,53,10.152999
-192.620572,63,10.19848
-102.231029,56,10.403249
-109.138051,84,10.606241
-98.351075,56,10.638874
-253.15316,73,10.845908
-372.838816,82,11.055287
-125.537185,52,11.085546
-142.963608,73,11.274811
-123.441383,91,11.494832
-165.298724,89,11.708253
-128.293186,59,11.737088
-119.220862,71,11.932816
-152.943267,77,12.135733
-121.714351,84,12.334494
-89.023127,53,12.36507
-157.797193,66,12.589687
-163.038333,83,12.821789
-118.835688,52,12.852166
-302.682018,64,13.083916
-555.590469,68,13.288828
-91.156672,87,13.327407
-183.625134,73,13.54511
-217.907955,82,13.744058
-185.036283,79,13.953005
-138.045506,52,13.983435
-318.282113,63,14.182039
-435.461792,61,14.223078
-212.054783,52,14.405761
-126.739705,65,14.624941
-382.665251,63,14.66372
-157.528403,74,14.847707
-133.949488,63,15.025773
-121.637731,56,15.056966
-269.142527,72,15.429555
-230.91242,87,15.688121
-119.892264,67,15.72652
-152.969307,85,15.951298
-140.970919,81,16.171912
-237.966962,83,16.401805
-375.944633,84,16.630757
-268.137742,83,16.886426
-197.763541,153,17.198367
-358.58813,157,17.663646
-171.031029,58,17.70131
-162.084078,63,17.902222
-137.492922,82,18.124468
-217.679717,59,18.164869
-109.604206,70,18.407053
-216.924153,62,18.620294
-349.608461,69,18.663194
-217.681155,64,18.868709
-119.333275,74,19.098808
-176.960618,81,19.31671
-143.007417,67,19.358443
-10.573586,61,19.565141
-90.077142,56,19.612856
-143.867819,90,19.843763
-175.029304,84,20.096788
-134.347181,79,20.321214
-414.370977,60,20.53168
-356.222601,88,20.59203
-378.876904,71,20.814879
-172.190118,58,21.073738
-120.393002,65,21.11255
-164.298612,52,21.337261
-271.971694,87,21.579939
-122.213332,55,21.61699
-143.055729,81,21.859694
-113.708044,56,22.053528
-96.373774,58,22.08891
-544.085211,87,22.312603
-136.120325,58,22.515692
-144.919189,79,22.56401
-120.249891,61,22.770779
-121.261922,69,22.984802
-148.528997,64,23.023419
-429.174954,65,23.249995
-110.773251,55,23.462325
-230.830742,83,23.521882
-136.152808,75,23.752891
-132.056505,74,23.994892
-89.143586,91,24.221608
-409.983101,79,24.467518
-225.575031,58,24.499349
-374.698284,84,24.744306
-131.893142,57,25.001281
-532.372078,67,25.04047
-133.881725,82,25.228171
-142.600635,75,25.450732
-132.434326,83,25.66472
-226.731429,87,25.855322
-368.813945,78,25.906309
-186.566729,51,26.094439
-152.277101,62,26.134323
-289.745261,87,26.344054
-207.975409,87,26.542962
-166.724489,66,26.721299
-139.096699,69,26.904654
-122.704718,60,26.945767
-227.303386,109,27.148686
-138.427886,69,27.34117
-125.143953,61,27.519878
-111.633869,73,27.566334
-143.08748,79,27.748255
-191.198854,90,27.947619
-173.116699,73,28.149225
-168.980176,66,28.18683
-106.389576,57,28.372907
-85.472364,90,28.621476
-122.64657,85,28.814938
-105.715863,53,28.845959
-129.306594,89,29.051238
-140.711664,82,29.24097
-124.390008,59,29.429778
-126.920528,72,29.467885
-119.643982,77,29.667033
-249.260083,85,29.881614
-300.874193,72,30.076474
-130.656316,56,30.109281
-131.131414,53,30.276438
-39.308774,72,30.311179
-141.103767,76,30.508537
-180.724002,63,30.683782
-133.025659,61,30.714987
-103.999286,66,30.900761
-94.831894,55,31.099589
-166.538983,64,31.138338
-123.824998,62,31.341099
-258.575824,64,31.547573
-121.245508,52,31.577361
-160.733785,80,31.789135
-120.391352,78,32.007063
-127.405017,72,32.050944
-163.163397,63,32.234811
-126.730943,59,32.425768
-187.651762,84,32.47872
-180.448934,72,32.665931
-161.804602,81,32.884485
-162.488843,75,33.081484
-110.356954,82,33.120555
-144.764384,69,33.315376
-162.49111,80,33.528053
-128.407387,60,33.706432
-120.181937,83,33.748946
-151.025253,68,33.926659
-144.297835,92,34.130388
-82.597694,78,34.311292
-153.81524,64,34.344559
-150.52582,73,34.542695
-132.422583,78,34.730863
-155.183564,60,34.906374
-148.530866,83,34.953617
-160.696298,54,35.115406
-166.414749,68,35.304966
-176.852123,67,35.335422
-154.940907,72,35.502121
-172.073369,60,35.694721
-92.440942,90,35.739048
-162.700325,76,35.961281
-136.202031,70,36.146388
-253.212296,79,36.313013
-157.558754,75,36.348338
-138.089923,56,36.516519
-152.349734,69,36.687841
-158.032857,65,36.727163
-161.221188,68,36.978648
-117.101163,64,37.200445
-138.01407,65,37.232762
-35.188088,58,37.431028
-128.985543,54,37.45949
-134.297713,62,37.655942
-130.769871,67,37.851969
-173.186299,69,37.896514
-115.255073,80,38.086306
-208.96978,74,38.269484
-200.539159,81,38.453281
-145.367843,80,38.637691
-163.173488,57,38.670016
-119.679094,54,38.854343
-156.898827,73,38.900441
-139.155246,51,39.087164
-157.078025,55,39.115992
-146.918498,53,39.292204
-171.24044,64,39.489754
-118.013235,74,39.53706
-0.535567,79,39.752599
-86.546516,53,39.918467
-179.108862,73,39.952378
-115.758848,68,40.141729
-109.577943,63,40.339053
-157.368047,51,40.367158
-166.291986,63,40.545542
-111.021754,52,40.573747
-114.37173,70,40.792054
-149.145376,58,40.968048
-90.049246,53,40.99678
-156.391697,67,41.173605
-65.834524,82,41.42822
-110.073923,189,41.952907
-143.609093,86,42.004031
-2006.345786,293,42.816285
-155.27917,61,43.027148
-132.647379,63,43.238094
-913.026816,157,43.504809
-118.527699,91,43.705041
-617.298541,199,44.3478
-1010.975948,264,45.180535
-79.371834,80,45.37857
-113.108418,411,46.747982
-146.223106,123,46.986893
-235.556521,158,47.248332
-155.679186,124,47.645374
-150.708788,579,50.156403
-70.281112,496,52.072513
-190.329272,475,53.677343
-160.619241,286,54.529545
-126.33295,112,54.741498
-192.060926,360,55.950021
-219.710865,853,60.153036
-145.981128,117,60.363249
-153.153417,228,61.039341
-165.075454,228,61.524552
-53.05015,466,63.32879
-241.723393,185,63.74917
-291.142724,212,64.214003
-411.865842,1000,67.470827
-207.980501,109,67.756397
-151.196128,229,68.339255
-203.951819,206,68.929259
-210.230199,289,69.785702
-157.7602,119,70.077327
-144.280982,186,70.703851
-321.369665,1000,75.425091
-145.293843,725,78.145321
-260.388748,1000,82.418739
-274.277269,601,84.529597
-111.561713,1000,88.587658
-147.358958,262,89.29508
-172.632564,781,92.579406
-135.915655,274,93.136725
-248.451062,590,95.180333
-396.396516,944,98.289688
-397.758045,1000,103.420822
-166.37349,1000,109.258266
-85.708805,1000,115.284421
-147.949277,242,115.82
-160.997632,1000,122.837716
-268.820877,834,126.442292
-166.262206,467,127.855422
-119.645932,1000,132.420074
-317.607982,849,135.894996
-236.285529,1000,139.876644
-251.101504,656,142.263844
-157.925291,265,143.105959
-123.502353,684,145.466239
-31.602073,248,146.006577
-307.131791,703,150.605596
-210.590418,488,151.985941
-310.932302,1000,155.898457
-123.470607,605,158.582809
-161.976352,230,159.21466
-255.350178,551,161.074403
-256.600835,438,162.524866
-270.81587,403,163.688907
-328.888532,756,166.453552
-205.366403,199,167.032526
-308.201094,1000,172.218158
-349.630045,890,176.308416
-202.060822,1000,179.779825
-392.681268,383,180.862654
-374.000814,351,181.713562
-236.998137,412,182.758851
-213.556546,212,183.219769
-233.139424,546,185.318652
-308.191714,371,186.466722
-200.193756,214,187.002154
-232.600874,446,188.540631
-418.219303,642,191.288235
-215.699459,179,191.631806
-164.636042,229,192.387386
-401.698827,356,193.495538
-318.390646,408,195.056709
-287.181078,445,196.546654
-243.633704,389,197.776185
-231.334884,673,200.251928
-190.047451,199,200.772992
-159.00953,329,201.93534
-175.072246,182,202.378675
-503.682122,364,203.295382
-244.44479,560,205.308219
-290.399227,388,206.352702
-172.10663,244,206.969723
-223.263061,166,207.465357
-239.631546,497,209.001465
-221.396457,496,210.992012
-496.545205,407,212.37496
-163.509352,1000,216.508518
-195.229965,531,218.68023
-408.375596,412,220.103106
-276.729787,416,221.289608
-213.775302,323,222.237469
-289.928379,430,223.496579
-179.498864,198,223.94899
-428.538424,406,225.226586
-272.083236,398,226.526426
-198.35542,161,226.983922
-336.112718,419,228.346196
-297.470292,661,230.434371
-169.952438,174,230.964856
-182.634249,263,231.767957
-222.900989,521,233.561758
-183.855164,1000,238.59011
-95.80536,1000,241.819975
-247.236739,292,242.573756
-143.478558,193,243.026425
-431.934856,328,243.949043
-183.680144,183,244.470818
-313.052458,303,245.266939
-231.262058,214,245.795006
-432.135427,420,247.149403
-228.395162,494,249.059346
-301.768605,276,249.82961
-193.018759,256,250.539154
-176.327785,257,251.108528
-163.267996,142,251.563237
-190.404593,235,252.18849
-360.469553,411,253.377474
-191.261138,451,254.718233
-265.164058,427,256.453282
-269.144161,456,258.167397
-344.669779,339,259.288625
-370.351837,879,262.423708
-254.601497,392,263.729318
-137.801662,137,264.211093
-277.625577,496,265.842343
-311.103486,447,267.052591
-198.922078,240,267.764888
-320.17283,488,269.4207
-338.786251,403,270.757052
-230.7192,296,271.426531
-307.076199,756,274.347715
-164.954282,147,274.791161
-144.208,1000,280.427605
-311.03744,420,282.187517
-99.564954,1000,285.632606
-361.629878,357,286.81904
-211.266036,137,287.23559
-297.176482,327,288.157227
-198.139612,239,288.687621
-155.884054,269,289.481188
-172.382663,398,290.624268
-273.412697,446,292.015938
-93.959772,165,292.464856
-189.961163,241,293.098451
-153.770192,206,293.737832
-195.055603,255,294.309199
-193.36706,183,294.759531
-248.482947,203,295.293854
-161.608344,1000,298.69812
-101.706353,334,299.649696
-229.079286,446,301.195227
-117.21713,1000,306.1166
-302.809373,452,307.696659
-110.130626,1000,311.099781
-193.412486,230,311.84666
-189.104805,228,312.419258
-158.391083,275,313.329663
-275.235048,458,314.816313
-304.020302,476,316.47369
-309.939454,558,318.831759
-285.899292,407,320.4698
-148.336595,296,321.41727
-312.078788,246,321.969522
-372.120652,444,323.547845
-162.710434,238,324.436266
-246.163854,415,325.771231
-260.856661,478,327.502116
-247.345579,579,329.432035
-112.559379,213,330.035077
-296.737058,532,331.955768
-344.822138,409,333.276358
-300.424349,236,333.932283
-193.459045,219,334.711908
-128.784888,307,335.835036
-284.296972,992,341.361722
-287.308991,469,342.956304
-264.620076,227,343.755844
-260.236121,823,347.846276
-331.814294,214,348.360082
-142.527438,1000,353.09013
-147.898319,1000,357.310101
-107.779886,1000,360.875644
-117.720395,1000,366.069335
-275.00895,324,367.24033
-200.167735,117,367.50941
-102.915384,1000,373.787538
-252.939291,450,375.558902
-289.166446,333,376.722408
-217.360286,324,377.808014
-255.979077,335,379.074052
-172.20762,282,379.925094
-257.132135,402,381.198112
-107.603138,359,382.056389
-157.822409,269,382.831048
-92.532705,214,383.33803
-378.443371,661,385.883899
-206.616063,421,387.113554
-261.514793,323,388.082098
-140.965428,1000,395.228459
-140.653243,1000,401.050925
-66.546709,1000,404.668128
-145.942581,316,405.569398
-127.708662,349,406.795336
-223.972058,212,407.348084
-210.67561,441,408.663518
-112.68966,1000,412.463179
-103.342186,1000,417.630272
-141.269995,111,417.875646
-130.478664,1000,422.079928
-207.993706,246,422.793644
-156.197426,521,424.937752
-284.583694,283,425.859758
-159.866708,274,426.666723
-304.208482,505,428.78629
-120.463666,1000,433.266358
-379.898256,273,434.082809
-389.527034,328,435.347755
-239.752946,319,436.363012
-268.553116,315,437.159216
-184.729479,729,440.162417
-296.42639,407,441.599628
-262.500973,465,443.30783
-264.247151,252,444.075545
-72.101959,170,444.389729
-213.009929,240,445.160772
-266.807689,139,445.443511
-129.856433,1000,449.451638
-130.432218,1000,453.739132
