#{"t_start": 1543291066.1756935, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-714.928234,83,2.460947
-99.271536,56,2.743396
-161.330208,52,2.772454
-94.433984,55,3.017578
-2123.021293,292,3.836832
-815.803257,68,4.03855
-666.842629,61,4.095295
-1130.658448,89,4.339032
-375.964968,77,4.594763
-541.459713,67,4.646251
-182.94939,78,4.854402
-354.392619,60,5.059467
-133.879444,52,5.091303
-673.440748,86,5.331409
-164.746156,61,5.558283
-269.512507,51,5.60801
-474.810171,65,5.866406
-505.791269,66,6.090456
-102.948651,58,6.127619
-493.587926,71,6.360551
-435.6811,60,6.585177
-252.442092,77,6.635796
-314.914998,56,6.903878
-668.353692,78,7.108649
-551.589688,69,7.159222
-461.73012,85,7.367246
-360.119439,85,7.572592
-535.624218,76,7.794358
-144.109506,88,7.990072
-547.604329,62,8.025764
-405.862363,84,8.236194
-460.184884,89,8.454848
-235.353348,53,8.658712
-496.06887,55,8.698204
-961.719149,86,8.908741
-440.098122,58,9.098954
-378.398288,52,9.132343
-145.007381,71,9.346825
-342.115896,71,9.57851
-336.850335,79,9.621479
-706.918304,85,9.839265
-383.615708,53,10.048601
-491.940178,74,10.15367
-392.732778,67,10.351292
-329.838737,68,10.533604
-401.005702,80,10.727481
-241.839367,62,10.759988
-142.021106,62,10.949993
-247.363881,70,11.152208
-215.97803,78,11.193167
-113.709283,62,11.387553
-94.954245,57,11.429248
-564.65907,83,11.656301
-15.363679,73,11.86598
-401.848713,62,12.046684
-158.702945,75,12.093874
-110.52395,58,12.278121
-138.386375,53,12.447213
-493.776203,68,12.48519
-240.956965,73,12.680509
-76.932984,73,12.877134
-164.005216,60,12.905137
-356.936122,51,13.109737
-118.246163,59,13.148677
-265.547252,68,13.32928
-306.966566,71,13.531006
-240.095009,71,13.56622
-124.496354,73,13.753332
-438.493407,55,13.951126
-643.041234,76,14.146664
-291.760471,76,14.187735
-330.9654,79,14.389889
-171.201858,67,14.594939
-209.308553,64,14.638161
-444.188589,59,14.82446
-287.345602,80,15.007476
-94.749994,72,15.046059
-175.951201,59,15.265503
-134.511918,68,15.494062
-441.547697,85,15.724445
-245.065683,55,15.757933
-142.543074,54,15.972877
-265.055765,61,16.015279
-411.761565,59,16.201194
-469.133867,66,16.409178
-269.302864,59,16.447525
