#{"t_start": 1543291066.146265, "env_id": "MountainCarContinuous-v0"}
r,l,t
-45.581917,999,3.330805
-68.645322,999,5.557598
-40.960825,999,7.771232
-3.808494,999,9.897772
-3.865345,999,12.039755
-3.556544,999,14.135224
-12.502184,999,16.226298
-0.116206,999,18.26997
-10.393796,999,20.259511
-7.931356,999,22.500262
-55.758592,999,24.663302
-13.30963,999,26.805272
-1.865183,999,29.223516
-1.073967,999,31.281849
-41.404982,999,33.383165
-0.646849,999,35.447437
-32.174838,999,37.878617
-6.459831,999,40.106584
-30.594544,999,42.294555
-35.876242,999,44.340536
-1.440881,999,46.614337
-6.671885,999,48.867305
-6.243824,999,50.890009
-2.456619,999,53.043784
-25.313898,999,55.212856
-9.488201,999,57.311587
-13.7354,999,59.219342
-0.48635,999,61.280963
-24.846374,999,63.62479
-37.924599,999,65.662962
-8.567742,999,67.722718
-6.115226,999,69.686398
-6.777415,999,71.593776
-16.60858,999,73.640858
-2.476216,999,75.543855
-2.629019,999,77.646186
-1.755453,999,79.546946
-9.629213,999,81.505951
-1.071763,999,83.595015
-0.193744,999,85.709492
-7.042145,999,87.854616
-4.95435,999,89.77586
-16.90704,999,91.911095
-12.411607,999,93.846384
-3.669782,999,95.768734
-1.630532,999,97.668069
-12.005905,999,99.641783
-0.358641,999,101.495468
-4.546152,999,103.292212
-20.552546,999,105.347355
-0.373639,999,107.323864
-2.644273,999,109.305552
-8.145214,999,111.314234
-0.179362,999,113.223578
-0.759412,999,115.329595
-6.749735,999,117.340008
-0.492242,999,119.386137
-26.010268,999,121.312921
-10.699836,999,123.309633
-16.824455,999,125.240911
-3.483692,999,127.327608
-1.031137,999,129.245363
-0.380306,999,131.164022
-0.464569,999,133.146101
-1.105624,999,135.250118
-0.666992,999,137.521516
-5.379658,999,139.43171
-12.725381,999,141.477645
-2.694365,999,143.482428
-0.454157,999,145.485317
-0.269702,999,147.496935
-3.714794,999,149.455078
-19.82843,999,151.40332
-0.257034,999,153.593604
-2.300999,999,155.636121
-6.281322,999,157.712614
-24.93362,999,159.720842
-0.329028,999,161.801866
-7.763393,999,163.653134
-2.155068,999,165.670672
-0.614866,999,167.778126
-4.043162,999,170.044854
-2.426498,999,172.175351
-0.882773,999,174.340922
-2.34525,999,176.249447
-10.137044,999,178.230142
-1.410593,999,180.308765
-1.624221,999,182.362673
-0.959645,999,184.36098
-9.134987,999,186.404601
-10.077489,999,188.411411
-2.796555,999,190.278042
-4.430257,999,192.240062
-49.730469,999,194.059134
-3.800605,999,195.896917
-2.183113,999,198.014805
-19.362105,999,199.960543
-13.816952,999,202.182227
-5.690387,999,204.486661
-3.266251,999,206.500692
-1.101691,999,208.747473
-11.07162,999,210.824632
-1.570493,999,212.749684
97.484968,843,214.565782
-0.490089,999,216.604897
-3.14916,999,218.673157
96.622563,857,220.351212
-1.566268,999,222.366075
-3.486198,999,224.398936
-10.505208,999,226.384492
-2.882918,999,228.652331
-0.830855,999,230.794415
-23.166173,999,232.906049
-1.038318,999,235.029189
-8.421996,999,237.12621
-8.718449,999,239.402828
-11.764531,999,241.453874
-2.934155,999,243.542504
-11.286578,999,245.59049
-2.544456,999,247.740687
-0.641815,999,250.010073
-2.992767,999,252.16819
-1.684323,999,254.210669
-2.141763,999,256.272088
-10.039735,999,258.314244
-1.099169,999,260.451838
-1.683812,999,262.508865
-7.640186,999,264.540391
-1.076708,999,266.633964
-4.295952,999,268.913664
-2.066395,999,271.184814
-2.433778,999,273.304137
-5.818572,999,275.396099
-6.175018,999,277.528845
-3.029599,999,279.562236
-2.164874,999,281.619552
-4.079428,999,283.670537
-2.691102,999,285.860695
-3.618648,999,288.057812
-2.855138,999,290.229011
-18.174671,999,292.471644
-1.391459,999,294.476863
-2.936859,999,296.557998
-1.092983,999,298.89101
-5.472876,999,301.00518
-12.074409,999,303.038205
-5.454802,999,305.226702
-2.160029,999,307.351583
-18.264707,999,309.663702
-1.363667,999,311.968964
-7.355282,999,314.607049
-4.348604,999,316.801234
-12.695204,999,318.91813
-3.239638,999,321.055636
-4.069683,999,323.226952
-4.527156,999,325.328204
-10.102692,999,327.56073
-13.463687,999,329.798896
-3.132284,999,331.9573
-1.92657,999,334.091913
-8.377608,999,336.604524
-2.11232,999,338.7088
-9.742177,999,340.85738
-15.874561,999,343.134515
-10.038636,999,345.449476
-12.810614,999,347.608583
-16.505217,999,349.887381
-11.029883,999,351.959055
-14.910384,999,354.16218
-6.373789,999,356.167618
69.945258,981,358.566861
-7.019466,999,360.783482
-2.580511,999,363.063658
-26.683211,999,365.22982
-3.173908,999,367.34938
92.087785,603,368.617668
94.076401,752,370.075311
93.754176,677,371.50377
93.684349,481,372.585746
93.084089,405,373.387487
89.559566,456,374.237998
93.35198,268,374.840172
-8.811259,999,376.895323
93.729633,413,377.729418
91.584831,439,378.984519
93.611921,486,379.885165
96.420968,389,380.70326
93.395723,712,382.20111
94.222266,295,382.797718
95.053403,372,383.606525
94.017379,270,384.267174
84.975772,239,384.738533
93.85124,324,385.3762
92.88747,226,385.987763
90.84498,362,386.599959
91.298742,341,387.453276
88.003039,303,388.077659
90.867396,445,389.028258
91.933918,201,389.553981
94.577382,307,390.15938
94.227456,690,391.651704
90.856064,298,392.257455
94.589598,260,392.891818
86.318546,294,393.50089
90.396965,232,393.963012
91.195713,286,394.643161
92.055502,310,395.32596
86.401618,737,396.83961
91.713414,172,397.236028
