#{"t_start": 1543787069.1340315, "env_id": "BipedalWalker-v2"}
r,l,t
-147.468825,1600,7.958631
-121.316318,43,8.305967
-115.241869,1600,14.393383
-123.838891,76,14.735176
-123.59139,42,14.772763
-123.57353,42,15.079641
-122.112386,43,15.119026
-120.30438,43,15.156439
-115.272947,128,15.773905
-122.959276,42,15.809041
-125.017573,87,16.127421
-122.756871,41,16.161595
-123.409315,41,16.447452
-123.058045,42,16.490104
-109.576506,142,17.12567
-117.275173,80,17.196099
-110.800041,46,17.483928
-124.099815,1600,23.442093
-109.241257,1600,29.173022
-105.036631,50,29.233084
-163.139493,1600,35.017525
-159.206499,1600,40.944698
-106.79215,136,41.635157
-105.759616,1600,47.312487
-118.478189,137,47.705787
-108.471164,49,48.020241
-101.011728,150,48.447279
-175.159927,1600,54.304388
-110.155124,100,54.68511
-123.874095,1600,60.311515
-101.694525,108,60.653085
-102.253005,63,60.973819
-168.216065,1600,66.571972
-147.692046,1600,72.278068
-119.169841,73,72.617823
-160.881416,1600,78.544672
-137.753114,1600,84.190938
-119.308872,1600,89.569177
-102.320884,50,89.609516
-112.512933,1600,95.176411
-95.214306,1600,100.763752
-104.645338,45,100.805272
-100.660973,60,101.153998
-102.592678,57,101.479407
-101.238436,74,101.547699
-127.710264,82,101.877845
-103.18239,97,102.232767
-107.427801,46,102.538399
-135.896171,110,102.89205
-139.387326,1600,108.323999
-138.431413,169,108.727748
-122.746403,1600,114.639765
-125.662095,1600,120.735269
-143.253212,206,121.455698
-131.322963,1600,127.264271
-87.287456,1600,132.714132
-100.26919,79,133.046445
-102.522554,42,133.351645
-101.625778,95,133.693848
-119.894992,98,134.023015
-140.785561,123,134.363594
-102.164295,133,134.718226
-99.795783,83,135.042272
-99.728252,77,135.348975
-162.748841,1600,140.804677
-107.033941,46,140.843224
-107.853363,47,141.151289
-137.666446,195,141.843509
-103.506035,103,142.217964
-98.872505,77,142.297177
-101.200742,47,142.63028
-124.041695,99,143.009208
-129.252842,1600,148.546685
-104.226629,44,148.582378
-108.205358,46,148.863567
-101.466462,49,148.903827
-100.589762,78,149.215803
