#{"t_start": 1543787069.1404412, "env_id": "BipedalWalker-v2"}
r,l,t
-124.716844,92,2.928051
-131.141733,1600,9.697274
-117.082673,67,10.072724
-100.330163,98,10.504918
-129.28533,1600,16.668744
-126.533035,46,16.997072
-101.705104,53,17.043554
-120.077776,45,17.375952
-99.33174,64,17.432872
-107.606435,58,17.769923
-130.824187,1600,23.47903
-120.683429,46,23.520501
-112.356724,143,24.198634
-121.280764,46,24.239352
-109.336003,54,24.561375
-122.934157,42,24.596771
-123.284482,42,24.630505
-123.327038,42,24.934904
-119.519787,45,24.970913
-122.415196,42,25.27622
-122.112069,42,25.314775
-119.338525,45,25.633398
-109.199768,106,26.000275
-124.117095,136,26.419895
-101.350893,100,26.845129
-112.384743,1600,32.761453
-106.457994,50,33.084517
-121.960929,108,33.518635
-74.972781,1600,39.427836
-125.636351,1600,45.177806
-137.765025,174,45.610232
-102.356719,1600,51.539053
-100.63622,103,51.876544
-105.178309,57,52.181311
-127.732582,141,52.552619
-101.209979,82,52.873234
-102.635762,78,53.18451
-123.130681,146,53.585171
-92.543982,1600,59.370959
-84.998941,1600,65.057001
-124.998292,120,65.717294
-99.891348,55,65.760955
-101.025067,57,66.07489
-56.678924,1600,71.538317
-108.443659,63,71.588987
-104.828058,61,71.901419
-107.66087,48,71.941052
-105.938564,51,72.236089
-102.629058,67,72.543865
-102.941525,68,72.598041
-102.014614,76,72.918327
-107.512379,46,73.208591
-106.894663,46,73.244669
-102.734885,66,73.546772
-103.839425,53,73.589297
-107.139959,47,73.876934
-102.623003,65,73.928213
-106.436164,45,74.219203
-106.074163,46,74.255848
-104.910462,51,74.550323
-107.241663,46,74.586691
-102.007655,70,74.893234
-102.439053,107,75.241252
-106.926885,46,75.279267
-107.020263,46,75.57572
-107.084622,47,75.617423
-102.49169,63,75.921856
-102.378864,63,76.259653
-106.439853,48,76.29804
-106.591016,46,76.591785
-103.522307,124,76.954112
-107.14026,47,76.993594
-102.154541,71,77.306233
-107.50052,47,77.344524
-102.682612,64,77.647067
-106.529568,47,77.952927
-107.967961,46,77.993073
-101.811615,93,78.330271
-107.51975,48,78.373298
-106.282998,47,78.684754
-105.990292,48,78.724235
-100.911552,59,79.031375
-101.579147,52,79.073796
-101.236383,52,79.375215
-102.009257,96,79.715157
-101.332246,88,80.034389
-107.956909,94,80.375712
-104.405672,83,80.70777
-107.520086,53,80.755147
-105.338524,54,81.058439
-123.860505,69,81.114043
-104.691229,47,81.427529
-106.889705,54,81.47271
-104.386072,100,81.844958
-100.850742,104,82.202429
-99.013102,70,82.53323
-101.054153,89,82.888988
-101.175413,66,83.213008
-99.277857,86,83.541623
-102.24781,104,83.890339
-101.436381,66,83.946786
-105.52485,49,84.267557
-101.689389,70,84.329156
-101.294673,100,84.689337
-102.945108,107,85.082628
-100.1396,86,85.443345
-106.419028,60,85.756185
-105.289884,68,86.083644
-104.755236,54,86.130682
-102.305942,115,86.486849
-100.400098,75,86.79942
-100.948311,78,87.138875
-106.074293,47,87.178698
-101.47615,70,87.551114
-100.372835,81,87.908665
-100.9424,87,88.270125
-101.069865,85,88.633411
-101.059565,76,88.6985
-100.576479,80,89.063532
-100.746388,71,89.408237
-108.033875,48,89.454619
-100.395679,57,89.884971
-100.631793,58,89.949129
-100.469604,56,90.301525
-103.696209,45,90.340436
-105.382643,49,90.68474
-100.641773,98,91.091457
-105.816599,46,91.139576
-106.275344,47,91.462574
-101.178874,61,91.516572
-101.341998,61,91.889894
-104.955731,49,92.261727
-105.644684,46,92.301701
-105.703404,47,92.664506
-105.671239,47,92.708434
-100.788912,73,93.071603
-102.731632,54,93.132473
-105.760098,47,93.458517
-103.981626,52,93.513035
-106.095906,49,93.886224
-105.82846,47,93.935168
-102.563471,57,94.28146
-101.473493,67,94.339514
-106.018036,46,94.682435
-106.157651,46,94.723814
-102.295407,75,95.091675
-104.491875,52,95.462355
-102.041163,76,95.526233
-105.052207,49,95.844863
-106.152442,46,95.880124
-106.386819,46,96.173663
-102.101094,77,96.520712
-107.147526,47,96.563723
-106.344844,46,96.60422
-102.063105,76,96.946892
-106.243225,46,97.259803
-101.670386,71,97.322846
