#{"t_start": 1543787069.1162038, "env_id": "MountainCarContinuous-v0"}
r,l,t
-67.266306,999,5.554901
-0.981391,999,9.531353
-84.801148,999,13.471139
-22.929269,999,17.072067
-56.951684,999,20.845073
-55.332258,999,24.709259
-51.239677,999,28.244886
-0.136541,999,32.084028
-51.261493,999,35.604309
-7.182448,999,39.383055
-64.512323,999,42.801212
-0.004273,999,46.097192
-2.927686,999,49.652832
-42.937055,999,53.102128
-5.04276,999,56.564067
-17.004387,999,59.793194
-2.699003,999,63.015528
-43.036881,999,66.290988
-10.416817,999,69.584177
-0.836153,999,72.813806
-0.040932,999,76.356191
-3.770603,999,79.653532
-18.803775,999,82.818396
-7.300255,999,86.089222
-26.993887,999,89.230755
-2.211006,999,92.290534
-15.388775,999,95.850129
-34.967676,999,99.214417
-1.592675,999,102.436037
-3.83,999,105.821356
-28.83591,999,108.89321
-0.390705,999,112.273394
-35.927075,999,116.034151
-6.637195,999,119.418577
-5.634336,999,122.839577
-12.752696,999,126.33063
-8.301354,999,129.792453
-0.187571,999,132.977127
-10.526985,999,136.092482
-10.538069,999,139.169736
-0.125028,999,142.521793
-0.730797,999,146.032714
-24.5688,999,149.101112
-9.414675,999,152.459377
-10.922483,999,155.933235
-0.227131,999,159.140996
-0.848738,999,162.533364
-26.318349,999,165.758507
-14.090341,999,168.963648
-1.740715,999,172.221392
-0.175757,999,175.360383
-48.848431,999,178.671959
-11.857213,999,182.040926
-5.87716,999,185.307476
-0.277509,999,188.739431
-2.834088,999,191.955431
-1.635591,999,195.079171
-0.501773,999,198.264858
-0.02539,999,201.4796
-24.693503,999,204.60483
-3.976186,999,207.731293
-10.940009,999,211.006242
-10.141425,999,214.260549
-17.234362,999,217.574355
-5.427507,999,220.984004
-30.367238,999,224.42642
-11.606583,999,227.640613
-39.938548,999,231.045444
-3.135838,999,234.302859
-10.819856,999,237.617123
-13.009732,999,241.083546
-0.714532,999,244.129435
-48.248688,999,247.713119
-28.483623,999,251.435818
-23.16434,999,255.165305
-8.371237,999,258.684841
-28.619485,999,262.191693
-1.231154,999,265.548453
-1.47937,999,268.791239
-2.158489,999,272.199075
-5.47562,999,275.803685
-4.406973,999,279.172628
-0.692024,999,282.499007
-0.044359,999,285.568334
-0.166087,999,289.006221
-0.694407,999,292.099007
-31.793731,999,295.247971
-1.810218,999,298.515494
-24.210136,999,301.882644
-4.99374,999,305.252995
-18.169275,999,308.560231
-8.613421,999,311.749577
-0.114091,999,315.314331
-0.720151,999,318.615214
-3.356606,999,322.075593
-1.475947,999,325.400572
-0.238578,999,328.871281
-0.786575,999,332.215353
-3.058263,999,335.554125
-1.718896,999,338.74979
-10.801534,999,342.222884
-15.063926,999,345.320339
-8.50828,999,348.795725
-22.90396,999,352.166684
-9.809489,999,355.283261
-24.591598,999,358.547669
-1.7228,999,361.941723
-7.796217,999,365.343772
-6.671296,999,368.576614
-8.586407,999,371.92989
-13.195396,999,375.618907
-5.991944,999,379.212821
-11.677428,999,382.488588
-1.240592,999,385.677269
-3.184028,999,389.039791
-6.684104,999,392.332918
-8.076381,999,395.729449
-9.37957,999,399.146488
-3.338634,999,402.488482
-20.81515,999,405.675254
-2.93146,999,409.157063
-10.690768,999,412.599758
-5.189783,999,416.293798
-7.028045,999,419.816528
-8.904865,999,423.139345
-6.194784,999,426.418228
-3.079219,999,429.74266
-3.545706,999,433.104947
-7.081361,999,436.456562
-14.151636,999,439.90094
-12.547141,999,443.466965
-5.331405,999,447.071613
-6.606618,999,450.531728
-6.6369,999,453.91583
-6.809873,999,457.185519
-18.8137,999,460.673665
-7.234781,999,463.936059
-10.271807,999,467.319124
-1.29496,999,470.653858
-2.303297,999,473.741824
-7.5502,999,477.171206
-8.681001,999,480.610354
-2.315432,999,483.854313
-3.791663,999,487.240651
-3.831558,999,490.950314
-10.122392,999,494.600914
-10.461836,999,498.030706
-24.775799,999,501.333087
-11.214565,999,504.807006
-4.55301,999,508.409931
-11.133052,999,512.35056
-5.652684,999,515.820246
-35.209263,999,519.355618
-3.709674,999,523.004131
-22.973569,999,526.611099
-17.642487,999,530.143574
-4.38579,999,533.52681
-2.813789,999,536.92085
-10.967167,999,540.592224
-5.736359,999,543.978317
-16.324981,999,547.539187
-19.033484,999,550.910163
-14.079669,999,554.119774
-1.731408,999,557.50322
-5.424211,999,560.888772
-15.059178,999,564.312971
-5.013994,999,568.147809
-9.591034,999,571.670318
-5.615585,999,575.172588
-3.583366,999,579.094994
-7.881138,999,582.895091
-2.742153,999,586.326756
-4.710652,999,589.979274
-18.82822,999,593.537724
-2.55197,999,597.234147
-6.499393,999,600.749151
-4.191443,999,604.268615
-6.825165,999,607.539846
-2.57882,999,610.990404
-9.738629,999,614.577406
-3.7578,999,618.281315
-3.923434,999,621.601083
-3.952683,999,625.060988
-18.242951,999,628.572473
-34.001472,999,632.270165
-1.870337,999,635.97813
-13.411851,999,639.493964
-9.623511,999,642.942025
-3.466512,999,646.788912
-6.895514,999,650.285347
-2.996399,999,654.123497
-32.530166,999,657.744676
-1.382735,999,661.353631
-5.851704,999,664.998925
-6.326742,999,668.242039
-2.528659,999,671.708813
-17.725763,999,675.254049
-3.355049,999,678.714428
-26.197337,999,682.224391
-4.027076,999,685.783103
-3.795096,999,689.614106
-37.585381,999,693.039035
-3.558,999,696.595229
-5.363872,999,700.039885
-5.006218,999,703.705194
-13.13686,999,707.351369
-2.455966,999,710.69925
-12.797221,999,714.117631
-6.982077,999,717.557607
-12.452615,999,721.029362
-3.634685,999,724.859083
-7.261613,999,728.479122
-16.640057,999,731.869672
-27.019509,999,735.256407
-7.860796,999,738.837274
-19.432026,999,742.502222
-5.714316,999,746.104419
-19.408102,999,749.64979
-1.496961,999,753.264198
-15.921481,999,756.740589
-11.28402,999,760.356241
-2.881779,999,764.075385
-4.891177,999,767.550305
-27.550318,999,771.120939
-2.481732,999,774.676593
-2.45749,999,778.255141
-41.325413,999,781.875975
-2.312715,999,785.263062
-6.868288,999,788.704965
-4.377677,999,792.433506
-15.061482,999,796.087619
-2.215208,999,799.575103
-4.562053,999,803.000142
-8.392255,999,806.450236
-3.550357,999,809.814533
-5.683376,999,813.214868
-3.413701,999,816.946084
-4.254678,999,820.453967
-6.215087,999,823.75875
-3.751371,999,827.188705
-5.875809,999,830.964709
-7.078713,999,834.487256
-15.810423,999,837.918373
-34.567952,999,841.500596
-5.977745,999,845.070399
-6.098574,999,848.659141
-6.04348,999,851.895278
-18.303134,999,855.516696
-1.618098,999,858.850253
-10.585885,999,862.355347
-6.269605,999,866.17881
-29.671881,999,869.587212
-1.696998,999,873.068003
-4.065657,999,876.554119
-15.588598,999,880.19523
-4.749833,999,883.608952
-3.342536,999,887.173685
-21.734153,999,890.70372
-2.360992,999,894.159012
-2.618039,999,897.628253
-3.063262,999,901.419876
-11.022142,999,905.053125
-6.875822,999,908.522558
-36.481381,999,912.07926
-5.018462,999,915.579002
-10.544048,999,919.123439
-14.44991,999,922.667649
-17.248017,999,926.065312
-1.889277,999,929.564564
-5.868458,999,933.106035
-1.003009,999,936.97926
-18.688367,999,940.720126
-2.334609,999,944.027629
-6.730405,999,947.638094
-2.471253,999,951.135827
-16.48591,999,954.66169
-3.215452,999,958.432346
-4.919103,999,961.966754
-3.014,999,965.383745
-3.441836,999,968.894867
-11.90833,999,972.705745
-6.643046,999,976.467531
-9.62646,999,979.977457
-5.440633,999,983.299447
-3.479255,999,986.924767
-3.617617,999,990.362615
-1.430524,999,993.811393
-7.72307,999,997.544355
-3.570313,999,1000.991036
-6.68986,999,1004.766785
-9.836236,999,1008.740517
-10.126506,999,1012.201691
-48.374591,999,1015.787833
-4.486307,999,1019.516963
-4.670725,999,1023.129372
-5.154033,999,1026.657513
-1.675881,999,1030.162555
-5.134229,999,1033.762824
-3.323566,999,1037.194352
-12.038765,999,1040.66431
-4.505246,999,1044.569526
-4.15766,999,1048.311618
-4.432259,999,1051.929154
-13.148514,999,1055.472883
-15.78199,999,1059.01422
-8.070044,999,1062.520715
-1.777218,999,1066.062461
-12.382372,999,1069.712895
-17.157638,999,1073.287917
-4.823577,999,1076.767649
-5.335983,999,1080.813929
-4.372473,999,1084.537186
-4.822593,999,1088.129456
-19.779778,999,1091.844264
-3.428423,999,1095.438861
-6.078344,999,1099.088334
-17.622925,999,1102.634819
-26.305573,999,1106.306586
-27.454718,999,1109.805727
-6.282048,999,1113.46083
-3.678892,999,1117.66768
-2.044368,999,1121.115788
-2.494388,999,1124.531519
-4.050039,999,1128.116091
-3.892758,999,1131.622364
-57.596346,999,1135.089552
-4.812237,999,1138.655852
-10.7823,999,1141.92609
-1.526745,999,1145.397484
-8.723504,999,1148.89842
-22.855698,999,1152.869176
-3.486922,999,1156.379322
-8.843441,999,1160.058094
-4.079667,999,1163.863466
-7.135733,999,1167.330495
-3.07118,999,1170.743684
-9.461753,999,1174.19741
-2.542932,999,1177.558688
-19.649226,999,1181.093712
-3.045947,999,1184.574637
-3.277916,999,1188.729122
-39.690529,999,1192.266493
-40.378837,999,1195.656997
-12.741731,999,1199.210979
-7.643353,999,1202.694957
-7.514196,999,1206.165979
-8.817948,999,1209.533188
-4.610906,999,1213.046867
-23.818076,999,1216.705818
-15.47771,999,1220.397042
-5.067694,999,1224.591019
-7.597918,999,1228.458612
-4.232231,999,1232.18241
-1.782772,999,1235.898474
-2.569095,999,1239.494966
-3.038675,999,1243.310383
-5.729291,999,1246.846639
-1.6915,999,1250.705589
-4.425876,999,1254.466969
-9.049815,999,1258.514343
-26.446199,999,1262.780178
-16.951084,999,1266.617634
-1.243913,999,1270.221799
-14.118848,999,1273.925649
-3.116774,999,1277.622915
-26.65145,999,1281.326353
-5.846028,999,1284.824564
-4.821299,999,1288.49403
-9.526201,999,1291.931587
-17.372176,999,1295.620044
-15.814899,999,1299.873648
-3.871853,999,1303.504436
-5.460001,999,1307.188466
-6.875602,999,1310.914874
-6.091068,999,1314.469459
-2.009617,999,1318.147847
-5.435034,999,1321.684197
-17.577666,999,1325.442195
-6.181775,999,1329.231432
-9.784405,999,1333.059464
-22.107979,999,1337.149187
-1.998819,999,1340.910857
-3.246011,999,1344.568376
-1.487122,999,1348.146512
-6.170362,999,1351.660257
-18.446828,999,1355.25337
-10.93783,999,1358.766435
-2.835598,999,1362.331856
-7.349688,999,1366.011515
-5.984663,999,1369.617168
-6.735591,999,1373.725265
-15.524637,999,1377.499654
-3.893528,999,1381.305425
-22.881587,999,1385.033296
-1.885433,999,1388.682101
-12.285263,999,1392.411232
-15.910374,999,1396.091439
-1.887359,999,1400.008016
-4.506921,999,1403.903049
-5.327177,999,1407.219549
-5.710865,999,1411.625808
-2.616699,999,1415.249509
-6.515131,999,1419.120952
-6.366211,999,1422.8056
-10.215355,999,1426.588811
-4.919261,999,1430.589478
-9.691251,999,1434.426117
-13.093427,999,1438.362654
-3.216873,999,1442.186942
-6.286891,999,1445.576327
-6.008642,999,1449.702277
-2.42601,999,1453.342579
-26.917482,999,1457.076902
-3.425428,999,1460.798843
-3.781175,999,1464.458284
-8.564899,999,1468.010567
-9.731655,999,1471.657463
-9.883157,999,1475.390662
-6.450446,999,1479.169962
-2.050656,999,1482.719632
-4.712032,999,1487.055798
-21.19215,999,1490.913122
