#{"t_start": 1543286836.154433, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
375.0,626,67.903295
85.0,301,71.694782
170.0,586,136.262633
65.0,465,194.147769
0.0,454,249.917553
380.0,600,323.541575
390.0,716,411.76936
20.0,422,463.757947
165.0,512,527.058661
80.0,303,564.364571
210.0,617,640.523176
80.0,489,701.45469
250.0,881,810.638593
85.0,492,870.991783
100.0,607,945.528406
345.0,976,1065.994693
105.0,481,1125.398189
300.0,730,1215.138
370.0,1210,1365.207214
125.0,523,1429.681787
230.0,746,1520.912947
140.0,540,1587.319883
615.0,910,1699.61576
340.0,1056,1829.747471
290.0,891,1939.529634
75.0,305,1977.189929
110.0,544,2044.658855
260.0,684,2128.853127
415.0,834,2231.74624
105.0,328,2272.457168
120.0,474,2330.788692
155.0,608,2405.67444
110.0,384,2453.302569
105.0,416,2504.754081
255.0,489,2565.296242
110.0,549,2632.88875
195.0,617,2709.034985
70.0,463,2765.540701
245.0,636,2843.800493
250.0,696,2928.92861
235.0,552,2997.215867
600.0,1019,3122.149323
105.0,289,3158.013022
235.0,706,3244.107369
180.0,614,3319.358215
85.0,488,3378.89279
425.0,722,3467.406717
75.0,500,3528.603769
155.0,602,3603.133615
405.0,793,3700.852221
110.0,424,3753.634943
20.0,363,3798.423648
130.0,494,3859.223138
180.0,604,3932.878276
110.0,558,4001.095294
210.0,710,4088.468106
130.0,508,4151.876094
105.0,494,4212.870914
135.0,594,4286.371226
405.0,574,4357.849431
125.0,569,4427.827472
195.0,605,4502.641831
130.0,469,4560.490356
110.0,330,4600.729326
280.0,743,4691.459332
360.0,772,4786.613202
105.0,497,4847.550026
185.0,456,4904.127251
370.0,808,5004.570266
165.0,593,5076.729867
115.0,524,5140.958878
70.0,326,5181.228168
305.0,974,5302.266273
105.0,491,5363.564298
155.0,611,5438.365042
35.0,386,5486.111828
195.0,502,5547.806719
105.0,509,5610.598799
125.0,478,5670.357785
80.0,325,5710.080182
15.0,454,5765.96214
360.0,713,5853.154168
180.0,458,5910.265857
120.0,475,5969.147403
105.0,271,6002.143836
110.0,509,6064.915813
275.0,631,6142.736786
385.0,887,6251.891321
150.0,511,6315.555984
105.0,358,6359.877771
210.0,812,6459.728457
65.0,487,6519.606828
105.0,443,6574.767118
105.0,513,6638.304181
30.0,484,6697.676983
215.0,525,6762.827128
160.0,464,6820.367003
530.0,988,6942.192983
110.0,398,6991.384915
210.0,620,7067.100027
175.0,603,7141.410585
55.0,492,7202.380846
75.0,398,7251.908483
275.0,850,7357.180428
85.0,452,7413.351193
140.0,496,7474.640036
105.0,472,7532.794205
75.0,334,7573.265138
145.0,523,7637.479829
75.0,383,7684.788391
105.0,511,7747.881436
165.0,639,7826.362849
160.0,642,7905.752498
195.0,810,8005.068331
145.0,431,8057.940998
130.0,566,8127.657317
150.0,555,8195.713473
295.0,630,8273.159103
15.0,391,8321.210537
120.0,495,8382.473755
140.0,489,8442.314496
335.0,942,8559.100677
290.0,623,8635.517003
280.0,652,8715.839648
280.0,770,8810.881258
220.0,605,8884.867019
140.0,507,8947.994424
30.0,290,8983.930071
200.0,814,9083.441962
120.0,596,9156.387313
120.0,520,9219.700087
110.0,609,9294.341579
120.0,298,9330.745073
130.0,606,9405.573697
270.0,857,9511.589243
180.0,621,9588.302174
295.0,862,9694.234258
70.0,364,9739.223796
280.0,928,9853.174325
260.0,745,9945.122719
145.0,532,10011.069035
75.0,327,10051.296034
300.0,710,10138.723347
125.0,507,10201.287389
35.0,368,10246.556433
45.0,489,10306.39698
170.0,639,10385.041406
15.0,273,10418.998721
195.0,701,10505.159867
235.0,1067,10636.762554
280.0,736,10727.529093
105.0,391,10776.440486
130.0,523,10841.044793
145.0,699,10927.232338
20.0,379,10973.778296
195.0,446,11028.130819
65.0,376,11074.739779
30.0,339,11116.754786
225.0,934,11232.156028
105.0,484,11291.277117
130.0,560,11360.172328
65.0,519,11424.342213
630.0,1232,11576.226589
145.0,501,11637.818265
255.0,827,11739.479723
45.0,488,11799.094022
135.0,591,11871.998849
265.0,864,11978.022798
300.0,871,12085.502133
335.0,796,12183.704384
