#{"t_start": 1543300629.696266, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
55.0,464,13.281129
85.0,489,14.92785
80.0,365,52.295923
110.0,515,141.232091
45.0,352,186.266325
85.0,488,247.993495
30.0,442,304.530941
105.0,453,361.524694
210.0,933,480.036064
120.0,412,532.489355
140.0,601,608.850716
240.0,612,686.249954
155.0,467,745.998334
35.0,317,786.19338
140.0,500,849.700024
155.0,483,910.865674
130.0,547,981.012029
50.0,412,1033.33625
135.0,521,1099.592314
150.0,577,1172.783845
130.0,407,1224.038072
70.0,406,1275.565596
70.0,453,1333.307061
390.0,704,1422.37571
145.0,526,1488.250983
175.0,601,1564.39065
210.0,813,1667.095729
100.0,353,1711.830389
285.0,898,1825.752881
145.0,500,1889.244168
135.0,407,1941.188349
155.0,460,1999.534056
180.0,511,2064.750706
125.0,454,2122.353446
295.0,640,2203.403086
90.0,375,2250.910324
310.0,850,2359.220046
140.0,387,2408.259103
95.0,356,2453.353238
75.0,360,2499.100693
115.0,515,2564.276406
315.0,948,2684.272702
175.0,541,2752.784212
90.0,499,2816.384372
160.0,504,2880.92276
100.0,464,2940.232509
70.0,306,2979.090013
10.0,365,3025.775906
65.0,390,3074.554294
65.0,492,3136.808283
120.0,494,3199.488316
305.0,863,3309.320548
110.0,412,3361.596068
105.0,486,3423.624316
125.0,279,3459.269949
155.0,632,3538.934658
185.0,699,3627.823875
375.0,956,3749.030526
180.0,646,3830.886079
295.0,682,3916.756971
190.0,485,3978.29557
240.0,661,4062.103103
135.0,375,4109.304143
305.0,828,4214.743529
545.0,687,4301.370063
20.0,459,4359.838518
140.0,671,4445.295687
745.0,1004,4573.038899
80.0,373,4620.0932
145.0,580,4693.587022
95.0,540,4762.165654
170.0,890,4874.032617
235.0,577,4946.917459
175.0,610,5023.514024
130.0,542,5092.7183
155.0,507,5156.990729
160.0,482,5218.072044
135.0,515,5283.67087
100.0,484,5345.772175
365.0,846,5452.380806
80.0,416,5504.899225
105.0,359,5550.085245
465.0,738,5644.013508
175.0,595,5719.76045
120.0,391,5770.010654
105.0,471,5829.64425
165.0,520,5895.301873
165.0,530,5962.382821
295.0,678,6047.642677
125.0,384,6096.159368
200.0,785,6196.314004
200.0,879,6307.863821
135.0,322,6348.506451
185.0,501,6412.784453
330.0,992,6538.581393
115.0,472,6597.974691
195.0,560,6665.924565
145.0,482,6713.018451
445.0,736,6779.066422
80.0,354,6809.847382
135.0,457,6845.897594
35.0,298,6866.906362
210.0,605,6908.02051
95.0,293,6928.051279
260.0,678,6974.630658
75.0,376,7000.396849
320.0,1057,7072.508224
110.0,573,7111.976077
255.0,667,7157.739365
300.0,831,7214.615693
55.0,331,7236.978628
105.0,305,7257.676612
140.0,508,7292.310834
425.0,1006,7361.939386
80.0,317,7383.963261
130.0,487,7417.616601
90.0,321,7439.655618
240.0,644,7483.92302
145.0,540,7520.958647
150.0,522,7556.967556
90.0,269,7575.278348
365.0,602,7617.227893
390.0,623,7659.998143
75.0,305,7680.933407
260.0,949,7746.37065
105.0,380,7772.301142
80.0,394,7799.693154
105.0,438,7829.753005
420.0,813,7885.929774
180.0,591,7926.325842
235.0,759,7978.630657
185.0,718,8027.606096
95.0,472,8060.022076
375.0,605,8101.640629
105.0,480,8134.556067
145.0,480,8167.6189
130.0,455,8199.052652
195.0,541,8235.912973
160.0,487,8269.165815
455.0,1019,8338.437761
35.0,283,8357.642912
155.0,733,8407.875772
90.0,384,8434.482008
255.0,745,8485.753329
155.0,923,8549.571331
145.0,526,8585.760786
450.0,1078,8660.252979
110.0,286,8680.015714
185.0,503,8714.587025
70.0,260,8732.796295
190.0,675,8778.771854
260.0,652,8824.007082
120.0,481,8856.980636
195.0,582,8897.264863
55.0,285,8916.823523
55.0,470,8949.244189
250.0,937,9013.480925
170.0,509,9048.487488
105.0,456,9079.946308
200.0,562,9118.802563
190.0,728,9169.229582
260.0,891,9230.568411
65.0,384,9257.277317
145.0,744,9308.673827
240.0,552,9346.402305
140.0,568,9385.187593
170.0,664,9431.09515
635.0,818,9487.26356
65.0,366,9512.274633
180.0,561,9551.036217
400.0,818,9607.641044
90.0,355,9631.727724
185.0,480,9664.517506
120.0,408,9692.834205
155.0,503,9727.404214
220.0,602,9768.85575
205.0,807,9824.654979
95.0,514,9860.238664
75.0,308,9881.556727
75.0,377,9908.175759
