#{"t_start": 1543286836.1509242, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
0.0,687,74.388583
95.0,476,99.176576
265.0,608,175.475624
0.0,503,239.219278
210.0,598,315.076438
210.0,609,391.40473
35.0,473,451.017765
80.0,507,514.877707
5.0,552,584.684029
75.0,309,623.720348
410.0,1075,758.229575
65.0,348,802.11517
20.0,284,838.109776
5.0,518,903.75426
320.0,918,1018.817587
125.0,925,1134.590256
75.0,311,1173.250618
135.0,480,1233.601934
80.0,310,1272.908943
60.0,364,1318.920959
75.0,289,1355.458468
65.0,345,1398.705419
295.0,739,1491.501855
225.0,570,1562.378113
105.0,481,1622.419293
170.0,412,1674.221791
105.0,295,1711.032517
355.0,607,1787.011673
70.0,272,1821.584646
100.0,279,1856.169477
315.0,741,1949.209449
135.0,467,2007.878845
220.0,612,2085.465154
190.0,608,2161.476339
175.0,547,2230.259082
120.0,549,2299.013775
195.0,720,2389.512007
205.0,829,2493.630941
185.0,474,2552.794899
210.0,620,2629.930356
210.0,631,2709.574028
105.0,517,2774.453207
110.0,344,2817.84634
90.0,358,2862.018325
265.0,772,2958.536286
110.0,421,3011.497665
110.0,526,3078.119694
95.0,517,3143.210719
185.0,908,3256.709064
60.0,287,3292.484464
185.0,853,3399.49149
180.0,604,3475.433564
235.0,543,3543.658763
85.0,388,3592.500205
425.0,756,3687.012938
155.0,472,3746.107924
70.0,356,3790.598086
55.0,258,3822.689149
145.0,466,3881.08196
175.0,699,3969.030519
100.0,486,4030.037692
120.0,490,4091.371996
455.0,615,4168.586709
105.0,403,4218.992015
395.0,1076,4352.657498
125.0,489,4413.881515
335.0,703,4502.469588
225.0,712,4591.87315
225.0,656,4674.147294
180.0,447,4729.77525
105.0,462,4787.989573
215.0,638,4867.828549
150.0,501,4930.773766
50.0,359,4975.888254
75.0,290,5012.26106
285.0,617,5090.294883
310.0,825,5194.110928
50.0,295,5231.244379
180.0,619,5308.072154
275.0,868,5416.965711
170.0,738,5509.835262
80.0,488,5570.936951
135.0,503,5633.921385
230.0,932,5750.585598
305.0,833,5855.658007
120.0,355,5899.73195
160.0,471,5958.879201
320.0,754,6052.897486
420.0,975,6175.31622
410.0,620,6253.115147
160.0,623,6331.654589
260.0,498,6394.371273
75.0,383,6442.665117
430.0,939,6560.485801
190.0,479,6621.62237
215.0,605,6698.010228
370.0,864,6806.87092
210.0,621,6884.864251
120.0,483,6945.653953
205.0,721,7037.167399
105.0,682,7122.954928
295.0,680,7208.699594
215.0,612,7285.827367
410.0,631,7364.950039
55.0,386,7413.270734
195.0,600,7488.669064
50.0,377,7535.877226
85.0,479,7596.919097
260.0,641,7677.944376
60.0,284,7713.56764
245.0,880,7823.910731
450.0,799,7924.971722
125.0,614,8001.973824
105.0,474,8061.772162
105.0,587,8135.773689
135.0,484,8196.732081
160.0,732,8289.328523
160.0,502,8352.629485
115.0,561,8423.630932
230.0,904,8537.297577
330.0,920,8653.698856
365.0,704,8742.694228
240.0,843,8849.782404
130.0,477,8910.538806
115.0,915,9025.69047
555.0,746,9119.81636
75.0,393,9169.355147
500.0,962,9290.969262
185.0,602,9366.748278
90.0,470,9425.940082
110.0,488,9487.363382
155.0,488,9549.188328
110.0,477,9609.804315
165.0,474,9669.319413
335.0,613,9746.448967
110.0,493,9808.312233
225.0,717,9898.763443
520.0,858,10006.585935
130.0,615,10083.975544
120.0,483,10145.383803
110.0,493,10207.360603
425.0,648,10288.957404
125.0,595,10364.274403
35.0,414,10416.049854
60.0,386,10464.594977
100.0,496,10526.797526
125.0,712,10616.348486
135.0,473,10676.302561
110.0,427,10730.337254
75.0,376,10777.316543
135.0,580,10850.559088
110.0,696,10937.9289
105.0,504,11000.568781
65.0,503,11064.252778
155.0,493,11126.143157
170.0,474,11185.964117
80.0,471,11245.124724
350.0,1021,11374.383094
215.0,783,11472.325604
600.0,1195,11621.848096
50.0,352,11665.419469
380.0,641,11747.154214
110.0,401,11797.266473
145.0,493,11859.400758
410.0,609,11935.767244
155.0,698,12023.36113
175.0,711,12112.695277
80.0,353,12157.26584
155.0,603,12233.094017
120.0,624,12301.595084
95.0,450,12339.726357
75.0,497,12382.568487
120.0,505,12423.589129
