#{"t_start": 1543300629.6941621, "env_id": "TutankhamNoFrameskip-v4"}
r,l,t
1.0,680,15.466713
1.0,779,122.238341
1.0,584,221.770162
2.0,935,381.804359
17.0,1903,706.978972
17.0,1148,903.231068
2.0,587,1003.318494
12.0,839,1146.342709
10.0,554,1240.529417
47.0,1159,1437.785221
43.0,1142,1632.298336
98.0,1998,1971.572448
121.0,2039,2318.192085
104.0,1589,2588.49033
87.0,1684,2875.686341
21.0,656,2986.843693
85.0,985,3155.063594
25.0,631,3263.019866
9.0,3970,3940.01171
37.0,1506,4197.096748
29.0,594,4298.146268
73.0,1227,4507.069463
31.0,472,4587.631246
98.0,1893,4908.465794
86.0,1295,5127.25961
80.0,1067,5307.620989
119.0,1795,5612.057061
121.0,2219,5990.22804
54.0,928,6148.422237
25.0,433,6222.346458
65.0,867,6369.617794
45.0,836,6511.959704
34.0,779,6644.709816
74.0,1391,6827.484494
24.0,357,6867.168012
35.0,881,6961.653202
56.0,1322,7103.133915
29.0,555,7162.751046
51.0,860,7254.849966
19.0,580,7317.091971
87.0,1694,7499.623494
44.0,841,7589.902155
38.0,6685,8307.08982
48.0,674,8378.877063
45.0,881,8473.761493
38.0,636,8542.319639
21.0,717,8619.290715
21.0,676,8692.153391
23.0,681,8765.405468
32.0,480,8816.845208
26.0,7700,9644.167975
43.0,676,9716.986345
35.0,854,9809.032067
30.0,629,9876.846931
31.0,526,9932.717403
37.0,5924,10527.383859
26.0,789,10606.550458
26.0,811,10687.511077
27.0,646,10751.952649
40.0,1907,10942.200159
46.0,853,11027.365804
37.0,10037,12027.828093
32.0,767,12104.172182
24.0,741,12178.067968
30.0,659,12243.679429
46.0,1941,12436.851998
24.0,2881,12723.74292
42.0,1159,12839.170308
