#{"t_start": 1543286836.1624558, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
150.0,473,65.477401
185.0,593,80.839599
0.0,454,136.890249
105.0,492,197.162259
240.0,745,289.372655
225.0,634,367.461067
155.0,598,441.132903
180.0,609,515.727056
10.0,683,600.326776
105.0,480,660.094882
240.0,524,725.607907
5.0,626,803.026973
105.0,506,864.989257
105.0,491,925.097548
180.0,610,1000.625945
0.0,535,1066.458144
155.0,685,1151.491938
230.0,496,1212.690902
205.0,826,1314.38956
120.0,593,1386.789298
230.0,814,1487.18425
30.0,503,1549.25877
210.0,630,1627.102365
325.0,845,1731.309013
75.0,480,1790.701978
180.0,604,1865.097908
350.0,810,1964.5934
155.0,599,2038.734199
400.0,838,2142.512401
260.0,745,2234.953109
120.0,542,2301.725976
125.0,503,2364.059795
120.0,586,2436.306145
190.0,479,2495.203952
75.0,297,2531.796735
340.0,801,2630.57457
55.0,531,2695.963548
105.0,578,2766.610714
185.0,613,2842.124205
125.0,1054,2972.136957
380.0,778,3068.233386
160.0,456,3124.645173
210.0,631,3202.538674
105.0,501,3264.307921
50.0,304,3301.975457
155.0,600,3375.694811
80.0,270,3408.944781
210.0,613,3484.35656
165.0,486,3544.195167
255.0,597,3617.432299
210.0,634,3695.406828
365.0,817,3795.734679
270.0,435,3848.790219
105.0,509,3912.036466
310.0,926,4025.76847
170.0,504,4088.177521
740.0,998,4209.803966
260.0,787,4307.113986
70.0,467,4365.115074
210.0,607,4439.711293
120.0,556,4508.25375
130.0,477,4566.240132
130.0,410,4616.760007
75.0,525,4681.848093
150.0,692,4767.78296
305.0,503,4829.827667
255.0,567,4899.176045
320.0,661,4980.361632
110.0,407,5029.984621
110.0,277,5064.418772
240.0,744,5155.529984
365.0,1136,5295.981684
155.0,474,5354.815276
110.0,425,5406.400205
50.0,263,5438.585271
185.0,591,5511.872779
200.0,620,5587.737489
75.0,391,5636.174388
125.0,805,5735.355785
280.0,737,5826.859377
245.0,925,5940.524747
170.0,699,6026.682559
135.0,555,6095.023091
745.0,1015,6220.187617
70.0,601,6294.11399
490.0,686,6378.775234
90.0,480,6437.782971
105.0,491,6498.018301
105.0,493,6558.583474
130.0,664,6639.653833
90.0,277,6674.369529
30.0,263,6706.580088
260.0,751,6797.625036
25.0,393,6846.124295
125.0,520,6909.390637
375.0,909,7021.277041
275.0,686,7106.205416
100.0,469,7163.984916
150.0,713,7251.034625
380.0,952,7368.802846
205.0,492,7429.723726
220.0,619,7506.441172
280.0,983,7627.429321
150.0,998,7750.759247
590.0,1286,7909.615792
300.0,1068,8041.672573
155.0,659,8122.821563
150.0,489,8182.810446
205.0,613,8258.850727
125.0,831,8361.445504
105.0,489,8421.490233
195.0,610,8496.715763
55.0,455,8552.73891
155.0,475,8611.152512
285.0,681,8694.445502
120.0,619,8770.368621
425.0,1161,8913.22175
55.0,351,8956.732028
105.0,481,9015.83905
105.0,491,9076.307773
275.0,832,9178.891993
260.0,632,9256.327894
105.0,482,9316.123765
80.0,305,9353.947261
240.0,838,9457.007617
15.0,481,9516.457219
90.0,305,9553.756037
320.0,867,9661.075374
220.0,829,9763.059083
45.0,279,9797.544363
60.0,774,9892.646195
210.0,445,9947.256143
520.0,948,10063.980381
225.0,706,10150.492422
225.0,703,10237.55448
110.0,508,10299.666086
115.0,538,10365.663371
620.0,1292,10524.541407
105.0,485,10583.747351
150.0,492,10644.454723
210.0,619,10720.109728
0.0,508,10782.842022
105.0,475,10841.73436
165.0,608,10916.341039
105.0,494,10977.119708
50.0,442,11031.910249
120.0,504,11094.472156
210.0,627,11171.120629
190.0,607,11245.642577
180.0,607,11320.618084
105.0,468,11378.665841
430.0,750,11470.892707
155.0,605,11545.767779
120.0,524,11610.650142
315.0,991,11732.285918
240.0,917,11845.069694
100.0,365,11890.150378
155.0,644,11969.223426
80.0,300,12006.062649
430.0,1002,12129.102525
65.0,487,12189.089226
185.0,603,12266.361912
