#{"t_start": 1543300662.2165039, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
155.0,468,77.723865
55.0,312,82.140855
350.0,672,115.140824
70.0,375,140.262625
175.0,619,181.248067
105.0,495,214.395443
135.0,492,246.975679
100.0,274,264.847228
205.0,701,310.698932
105.0,492,343.218414
185.0,617,384.21584
180.0,691,430.466562
130.0,468,461.695643
295.0,800,514.032185
50.0,443,543.62715
140.0,717,591.433315
255.0,686,637.47361
105.0,302,657.548473
135.0,625,699.072835
100.0,533,733.575775
120.0,360,757.57398
65.0,359,781.28839
155.0,589,820.707791
420.0,900,880.944462
40.0,508,914.520248
550.0,730,962.885789
50.0,291,982.338799
180.0,649,1025.591734
155.0,636,1068.436904
260.0,639,1110.517779
80.0,472,1141.639441
195.0,604,1181.860339
130.0,725,1229.874167
350.0,964,1294.013186
305.0,950,1357.613384
120.0,415,1384.946036
140.0,520,1419.200212
75.0,490,1451.372541
20.0,248,1467.807343
180.0,463,1498.361337
235.0,772,1549.399945
310.0,522,1583.662405
125.0,714,1630.737278
170.0,699,1676.295178
205.0,680,1721.055113
195.0,904,1780.367068
280.0,861,1837.168021
75.0,400,1863.666095
720.0,962,1927.693802
135.0,497,1960.684716
300.0,854,2017.380896
150.0,449,2047.332028
105.0,485,2079.568785
265.0,661,2123.552872
280.0,505,2157.076216
30.0,274,2175.198055
150.0,912,2235.543576
165.0,482,2267.518922
285.0,512,2301.442935
65.0,373,2326.085365
210.0,636,2368.062917
180.0,612,2409.243032
270.0,808,2463.212377
155.0,800,2516.321329
185.0,601,2556.4243
155.0,671,2600.71833
75.0,302,2620.434003
140.0,500,2653.594651
160.0,865,2710.83628
315.0,856,2767.39975
210.0,870,2824.519185
230.0,632,2866.641696
375.0,1048,2936.032596
840.0,1430,3031.061589
185.0,488,3063.813398
185.0,632,3106.090431
225.0,929,3167.304939
125.0,719,3214.792119
445.0,825,3269.25663
60.0,476,3301.17211
80.0,491,3333.70112
55.0,270,3351.806046
170.0,985,3417.116063
55.0,411,3444.556902
225.0,856,3502.101962
210.0,824,3557.412817
105.0,354,3581.07637
130.0,699,3627.857997
80.0,511,3661.683303
50.0,463,3692.774616
400.0,763,3743.301026
210.0,628,3785.10804
185.0,697,3831.694235
255.0,616,3872.741914
155.0,525,3907.668416
110.0,509,3941.729031
360.0,1048,4010.761491
110.0,599,4050.779415
85.0,381,4076.055636
365.0,953,4139.750988
110.0,437,4168.787921
80.0,415,4196.402889
210.0,633,4238.571775
110.0,483,4270.528207
330.0,654,4313.883953
185.0,663,4357.802802
95.0,533,4393.359249
70.0,472,4424.894421
90.0,492,4457.437726
105.0,402,4484.344353
350.0,864,4541.805003
185.0,707,4588.686427
185.0,893,4647.948816
245.0,783,4700.626103
330.0,898,4760.749344
395.0,657,4804.388966
275.0,792,4857.427068
75.0,365,4881.510987
340.0,675,4926.401307
110.0,378,4951.589726
120.0,618,4993.254856
170.0,389,5019.059652
115.0,368,5043.398964
140.0,1008,5110.964338
165.0,684,5156.735084
370.0,813,5211.0529
70.0,392,5237.329062
80.0,422,5265.275766
70.0,454,5295.780562
455.0,1039,5365.005548
245.0,769,5416.326634
85.0,528,5451.641643
220.0,601,5491.401663
820.0,959,5555.601987
20.0,361,5579.925977
345.0,717,5627.525786
240.0,1038,5697.084546
115.0,472,5728.671469
110.0,495,5761.781135
140.0,508,5796.047306
305.0,831,5851.111431
130.0,502,5884.126718
545.0,710,5931.137358
210.0,612,5971.972047
190.0,683,6017.576173
65.0,475,6049.013824
90.0,684,6094.645505
365.0,994,6160.949756
115.0,714,6208.490625
85.0,291,6228.012805
230.0,777,6279.900006
195.0,524,6314.83251
355.0,735,6363.781442
425.0,1040,6432.984262
105.0,460,6463.588741
105.0,501,6496.965945
570.0,834,6552.176821
120.0,292,6571.567081
445.0,944,6631.490775
