#{"t_start": 1543453200.2316282, "env_id": "BeamRider-ramNoFrameskip-v4"}
r,l,t
220.0,1539,13.138038
176.0,1127,27.225925
308.0,1554,46.354717
396.0,1550,64.023773
352.0,1259,78.345744
88.0,988,89.552352
220.0,1169,102.576103
440.0,1351,117.933868
308.0,1083,130.731837
660.0,1955,151.988046
396.0,1033,163.684313
484.0,1245,177.845278
396.0,1326,193.029784
440.0,1139,205.545182
264.0,1017,216.155243
176.0,877,225.506514
308.0,1139,238.196271
484.0,1716,257.553645
264.0,1180,270.719975
616.0,1990,292.634095
132.0,816,301.836288
528.0,1371,318.227839
616.0,1424,333.69376
572.0,1357,348.832229
88.0,934,359.317907
352.0,967,370.103968
616.0,1643,387.420582
264.0,890,397.587031
528.0,1542,414.81285
220.0,911,425.137661
572.0,1553,442.33559
660.0,1666,460.543916
264.0,936,471.099051
572.0,1558,488.956442
660.0,1821,509.421356
220.0,1007,520.807205
220.0,978,531.626283
396.0,1374,547.788151
440.0,1111,560.403794
396.0,1534,577.93517
308.0,1085,589.771708
264.0,1227,604.243224
176.0,831,613.203647
132.0,812,622.12617
572.0,1621,639.966147
440.0,1501,656.201269
572.0,1549,672.751876
660.0,2169,696.647371
528.0,1660,715.126148
660.0,2593,742.864493
660.0,2393,768.76079
660.0,2133,792.072562
660.0,2395,819.312918
616.0,2649,849.298374
308.0,930,859.7424
572.0,1512,876.885115
852.0,2331,902.345818
440.0,1700,921.254422
132.0,1073,933.397451
572.0,2039,956.088726
264.0,1511,972.922772
440.0,1287,987.017694
220.0,1225,1000.233338
660.0,2176,1024.266628
616.0,1602,1041.653277
484.0,1443,1057.524134
176.0,966,1068.223881
220.0,995,1079.33444
572.0,1514,1096.047301
396.0,1293,1109.821216
