#{"t_start": 1543453200.232386, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,146,2.105248
4.0,290,2.786751
4.0,328,4.018988
1.0,174,4.504466
2.0,207,8.825488
0.0,145,11.275907
0.0,135,12.520948
6.0,391,18.111512
1.0,160,20.252721
1.0,166,22.583937
1.0,158,24.67109
1.0,163,27.046678
1.0,182,29.605175
2.0,202,32.388722
0.0,134,34.296695
1.0,210,37.539744
1.0,188,40.729479
1.0,186,43.283396
0.0,147,45.496235
0.0,140,47.842425
2.0,210,51.149839
1.0,170,53.987777
2.0,214,57.564892
1.0,156,59.939277
0.0,140,62.316345
2.0,227,65.854223
3.0,251,69.751028
0.0,138,71.960629
3.0,238,75.174785
6.0,433,80.757808
1.0,212,83.920677
2.0,265,87.406422
0.0,155,89.227285
0.0,157,91.259797
5.0,333,95.848556
3.0,283,99.811948
1.0,213,102.259292
5.0,352,107.048709
1.0,209,109.621621
2.0,249,112.642249
6.0,413,117.902369
1.0,186,120.093714
0.0,248,123.118228
2.0,342,127.557368
3.0,337,131.872685
0.0,179,134.065326
0.0,192,136.343357
3.0,307,140.222559
3.0,339,144.374094
4.0,459,149.568535
1.0,207,151.769051
1.0,282,155.09267
0.0,173,157.309826
0.0,319,161.631907
0.0,300,165.218109
0.0,201,167.423942
1.0,253,170.423579
0.0,216,172.927453
0.0,179,175.183474
0.0,332,179.079273
1.0,308,182.852058
5.0,395,187.627058
0.0,198,189.934425
1.0,337,193.857451
1.0,225,196.561451
1.0,225,199.473099
2.0,310,203.207036
0.0,161,205.270477
4.0,406,210.190154
1.0,249,213.311775
1.0,288,216.678777
5.0,443,222.236424
5.0,528,228.390603
10.0,514,234.632938
1.0,320,238.237532
3.0,313,241.911037
5.0,421,246.901874
0.0,202,249.178248
1.0,184,251.536333
2.0,275,254.820668
0.0,315,258.619304
5.0,409,263.427595
2.0,242,266.014774
0.0,203,268.420352
2.0,348,272.727912
1.0,219,275.222257
2.0,258,278.298767
4.0,395,283.366743
2.0,249,286.467247
1.0,205,288.99295
2.0,351,292.787682
2.0,365,297.442317
0.0,320,301.786177
2.0,329,305.575993
3.0,386,310.365959
0.0,379,314.86752
6.0,443,320.044584
3.0,474,325.670511
0.0,356,330.178267
0.0,570,336.954367
1.0,445,341.891508
1.0,449,346.743593
0.0,494,352.121835
2.0,515,358.059022
11.0,1199,372.322559
4.0,1010,384.372524
3.0,447,389.5353
1.0,445,395.045784
7.0,934,406.008604
0.0,586,412.755393
7.0,1260,427.619634
5.0,1361,444.347636
11.0,1841,465.423807
0.0,628,472.647962
3.0,1129,485.758313
5.0,594,492.713243
1.0,223,495.548933
0.0,123,496.916131
0.0,123,498.432144
3.0,374,502.880647
0.0,153,504.750734
2.0,308,508.378426
3.0,258,511.447064
1.0,151,513.171424
7.0,596,519.984486
3.0,267,522.808642
0.0,146,524.413655
0.0,123,525.67818
4.0,295,529.463042
3.0,228,532.276443
7.0,393,536.926034
0.0,138,538.516347
2.0,197,541.012444
0.0,148,542.866288
0.0,147,544.489011
0.0,266,547.793889
2.0,198,550.059035
0.0,125,551.649182
3.0,248,554.702875
0.0,123,556.248316
0.0,126,557.788577
0.0,125,559.231722
2.0,199,561.505819
0.0,122,562.86006
2.0,197,565.271979
3.0,245,568.205865
2.0,198,570.534168
1.0,169,572.640449
3.0,245,575.636656
2.0,197,577.957018
0.0,122,579.606189
0.0,124,581.012792
0.0,124,582.407198
2.0,197,584.573521
0.0,125,586.334437
1.0,178,588.538268
2.0,197,590.766928
0.0,122,592.432365
2.0,197,594.773902
0.0,165,596.756786
3.0,248,599.657411
1.0,249,602.494102
0.0,124,603.997241
0.0,153,605.60526
0.0,123,607.174245
11.0,267,610.544475
4.0,263,613.269994
7.0,446,618.225708
0.0,149,620.091302
0.0,124,621.276245
1.0,178,623.275261
1.0,177,625.232509
3.0,248,628.081933
3.0,246,631.060458
1.0,226,633.662259
1.0,153,635.213029
11.0,267,638.127012
0.0,125,639.639021
0.0,125,640.936579
0.0,125,642.373704
0.0,123,643.97007
0.0,126,645.382111
13.0,541,651.528635
17.0,573,658.398976
0.0,125,660.173203
0.0,125,661.747172
2.0,182,663.714736
11.0,469,669.346012
7.0,434,674.406074
11.0,267,677.421153
6.0,392,681.729426
0.0,145,683.671456
3.0,213,686.336153
8.0,300,689.872679
0.0,204,692.155364
1.0,214,694.525679
9.0,323,698.227775
0.0,126,699.717139
7.0,417,704.159544
0.0,133,705.523414
2.0,198,707.940511
0.0,125,709.246021
11.0,267,712.377552
11.0,267,715.710309
0.0,125,717.295697
2.0,186,719.538532
14.0,616,727.107916
7.0,432,732.179615
0.0,173,734.189734
8.0,464,739.343847
7.0,246,742.128542
0.0,209,744.320683
0.0,169,746.193936
2.0,222,748.95853
0.0,125,750.253366
0.0,133,751.760802
1.0,171,753.718267
11.0,267,756.706016
8.0,417,761.428571
12.0,315,765.217651
0.0,245,768.024766
0.0,265,770.884903
9.0,523,777.102079
11.0,537,783.517106
7.0,245,786.269627
