#{"t_start": 1543455335.9167697, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
2.0,203,3.471016
3.0,265,5.210651
0.0,128,5.996906
2.0,230,7.429127
2.0,188,9.121615
1.0,154,10.487357
1.0,181,12.131533
4.0,302,14.694552
9.0,411,18.265767
2.0,210,20.190411
0.0,143,21.43142
0.0,150,22.784017
6.0,383,26.18717
0.0,132,27.281947
0.0,145,28.546805
1.0,181,30.097097
0.0,142,31.251227
0.0,126,32.351827
1.0,186,33.904799
2.0,219,35.844139
5.0,373,38.972668
1.0,178,40.464581
0.0,145,41.638585
2.0,234,43.786864
1.0,161,45.026378
0.0,184,46.592597
0.0,166,48.011143
3.0,251,50.067911
0.0,176,51.544091
0.0,176,52.957574
1.0,245,55.010611
2.0,200,56.650066
0.0,203,58.280622
2.0,198,59.86533
0.0,196,61.403428
0.0,159,62.7013
0.0,206,64.40825
0.0,253,66.45519
1.0,152,67.748735
0.0,215,69.514696
2.0,182,71.106042
0.0,176,72.462223
1.0,171,73.924389
3.0,214,75.716533
0.0,317,78.205527
0.0,124,79.188229
2.0,405,82.664582
1.0,1829,97.756232
0.0,710,103.710143
2.0,184,105.321634
0.0,1007,113.830868
0.0,859,120.921698
0.0,123,121.96635
0.0,122,122.990672
0.0,1274,133.371911
2.0,1305,144.205633
11.0,1497,156.59114
2.0,1302,167.359147
2.0,1134,176.661724
0.0,1148,186.033662
0.0,976,193.911907
0.0,1096,202.609507
0.0,1209,212.470701
0.0,1111,221.430468
0.0,126,222.477776
0.0,1883,237.398203
1.0,903,244.564836
0.0,1131,253.647962
2.0,939,260.94381
3.0,848,267.658246
0.0,123,268.692773
0.0,1484,280.484049
8.0,292,282.854644
2.0,241,284.849861
0.0,865,291.870723
0.0,123,292.856922
0.0,1558,305.280957
0.0,1251,315.179806
3.0,2488,335.218548
0.0,1289,345.455085
0.0,776,351.709299
0.0,1569,364.28253
2.0,808,370.89318
0.0,1597,383.540825
0.0,123,384.473916
0.0,122,385.433644
0.0,534,389.685403
9.0,970,397.555756
0.0,985,405.462423
9.0,1580,417.966419
1.0,1390,429.079348
0.0,123,430.080433
0.0,324,432.753048
0.0,1012,440.781569
1.0,1102,449.182709
0.0,658,454.349232
0.0,731,460.181544
0.0,1229,470.161764
0.0,1454,481.579908
11.0,962,489.046735
7.0,814,495.366357
0.0,1325,505.842133
0.0,122,506.848078
0.0,876,513.84426
11.0,1350,524.576573
1.0,703,530.102069
0.0,122,531.085601
0.0,122,532.02204
0.0,1312,542.562727
0.0,895,549.533989
0.0,960,557.10596
0.0,1767,571.081008
0.0,959,578.689319
1.0,2369,597.38289
0.0,657,602.475298
9.0,1030,610.768178
9.0,1420,621.853559
2.0,198,623.484804
0.0,1628,636.162983
0.0,122,637.167225
1.0,150,638.337878
0.0,122,639.384368
0.0,122,640.378241
0.0,769,646.577756
1.0,151,647.789188
9.0,1344,658.371085
0.0,792,664.52916
0.0,1404,675.847614
0.0,1414,686.881485
0.0,1360,697.38405
0.0,928,704.716495
0.0,123,705.582963
0.0,597,710.328682
0.0,646,715.332166
0.0,123,716.350451
0.0,492,720.241272
0.0,123,721.164001
0.0,941,728.73269
0.0,628,733.894908
4.0,1288,744.296773
0.0,727,749.879
3.0,211,751.65742
0.0,1038,759.769817
2.0,180,761.19054
0.0,1572,773.31185
1.0,870,780.190131
11.0,1010,787.963536
0.0,603,792.627514
1.0,1009,800.038055
