#{"t_start": 1543453200.0575314, "env_id": "Enduro-ramNoFrameskip-v4"}
r,l,t
0.0,3322,55.906826
0.0,3327,113.133402
0.0,3326,167.93234
0.0,3324,222.902595
26.0,3327,276.522203
35.0,3322,330.917397
0.0,3324,385.440091
0.0,3321,439.085314
0.0,3325,492.355603
0.0,3323,546.132326
0.0,3322,599.939012
0.0,3327,652.785237
1.0,3325,705.281545
6.0,3323,759.30305
0.0,3325,812.689988
0.0,3323,865.688021
0.0,3325,917.922201
0.0,3326,971.453439
0.0,3322,1022.963275
0.0,3326,1075.690135
0.0,3328,1126.550602
0.0,3321,1177.5515
0.0,3325,1227.454926
0.0,3325,1277.717927
3.0,3322,1326.652757
3.0,3321,1377.082605
1.0,3324,1426.557643
45.0,3325,1477.041971
11.0,3325,1525.098184
0.0,3325,1573.49814
