#{"t_start": 1543453200.1276107, "env_id": "Enduro-ramNoFrameskip-v4"}
r,l,t
0.0,3328,40.231294
0.0,3326,88.931539
0.0,3322,136.385152
0.0,3323,183.174348
0.0,3324,230.070637
0.0,3328,277.139347
0.0,3322,317.926294
0.0,3323,358.158877
0.0,3327,397.525041
0.0,3326,437.008216
0.0,3327,477.189855
0.0,3327,516.842076
0.0,3325,556.675762
1.0,3322,595.632516
0.0,3323,634.63748
4.0,3326,675.104411
5.0,3325,716.196486
5.0,3326,754.883221
0.0,3328,795.623827
10.0,3325,834.839607
15.0,3324,874.43871
9.0,3327,913.546751
22.0,3327,952.858229
5.0,3324,991.333234
3.0,3328,1030.437606
47.0,3325,1070.214428
46.0,3321,1108.766029
26.0,3324,1145.85335
35.0,3327,1183.290235
73.0,3327,1219.036307
