#{"t_start": 1543453200.21328, "env_id": "Enduro-ramNoFrameskip-v4"}
r,l,t
0.0,3325,61.711646
0.0,3326,127.777678
0.0,3326,193.151113
0.0,3328,259.726969
0.0,3326,328.946515
0.0,3326,397.690331
0.0,3323,466.433747
0.0,3324,536.463696
0.0,3324,604.06592
0.0,3325,671.526044
0.0,3325,739.334286
0.0,3326,806.122329
0.0,3325,874.41263
0.0,3327,941.70839
0.0,3323,1008.998997
0.0,3324,1076.049588
0.0,3321,1143.80733
0.0,3327,1207.037871
0.0,3322,1270.074069
0.0,3326,1330.978019
0.0,3323,1391.474832
0.0,3326,1454.699579
0.0,3323,1515.763048
0.0,3324,1577.450982
0.0,3325,1630.333385
0.0,3322,1666.150321
0.0,3321,1692.932549
0.0,3324,1713.784919
0.0,3321,1731.975486
0.0,3322,1748.073375
