#{"t_start": 1543455335.9209068, "env_id": "Enduro-ramNoFrameskip-v4"}
r,l,t
0.0,3325,28.874456
0.0,3322,56.592459
0.0,3328,84.578696
0.0,3326,112.282038
0.0,3325,139.703061
0.0,3324,167.472399
0.0,3322,195.581366
0.0,3325,223.343897
0.0,3328,250.485485
13.0,3326,277.831917
41.0,3328,305.588243
0.0,3321,333.111754
0.0,3322,360.410499
0.0,3326,387.744611
0.0,3323,415.23077
0.0,3324,442.147301
0.0,3327,469.212792
0.0,3323,496.226964
0.0,3322,522.958235
0.0,3325,550.06852
12.0,3328,577.155202
0.0,3327,603.85243
0.0,3325,630.631627
0.0,3325,657.843654
0.0,3322,685.161744
0.0,3328,711.791452
0.0,3323,738.602279
0.0,3327,765.522813
0.0,3321,792.289593
0.0,3326,814.056044
