#{"t_start": 1543453200.2265751, "env_id": "Pong-ramNoFrameskip-v4"}
r,l,t
-21.0,762,9.029724
-21.0,757,22.457776
-21.0,758,39.321878
-21.0,757,55.681584
-21.0,760,72.079677
-21.0,760,88.372879
-21.0,817,105.433743
-21.0,762,121.94363
-21.0,759,138.937629
-21.0,758,155.227475
-21.0,764,172.152829
-21.0,757,188.52739
-21.0,760,204.707418
-21.0,760,220.541378
-21.0,759,235.882341
-21.0,762,252.521584
-21.0,762,268.009275
-21.0,763,283.606363
-21.0,820,300.517604
-21.0,759,316.561417
-21.0,759,331.610049
-21.0,762,347.390712
-21.0,762,362.804909
-21.0,763,378.367604
-21.0,763,394.029658
-21.0,760,410.068452
-21.0,761,426.229035
-21.0,758,441.922052
-21.0,764,458.56736
-21.0,758,473.960054
-21.0,764,490.281669
-21.0,763,505.769676
-21.0,760,521.844562
-21.0,757,538.421347
-21.0,764,554.124166
-21.0,762,569.881427
-21.0,760,585.597496
-21.0,760,601.146374
-21.0,759,616.816584
-21.0,758,632.992272
-21.0,758,648.922844
-21.0,760,664.011096
-21.0,758,679.917431
-21.0,758,695.346286
-21.0,759,711.305321
-21.0,761,727.021121
-21.0,763,743.605913
-21.0,762,759.41222
-21.0,762,775.818452
-21.0,760,792.24772
-21.0,758,807.243485
-21.0,760,823.096442
-21.0,764,838.763261
-21.0,759,854.319512
-21.0,761,870.340241
-21.0,761,886.242894
-21.0,760,902.229204
-21.0,759,917.193781
-21.0,760,932.58226
-21.0,811,948.975646
-21.0,759,965.27751
-21.0,764,981.072529
-21.0,759,997.113566
-21.0,757,1013.423876
-21.0,758,1029.306699
-21.0,760,1045.59144
-21.0,761,1060.96825
-21.0,758,1077.314158
-21.0,758,1093.058339
-21.0,760,1108.879128
-21.0,758,1124.636243
-21.0,763,1139.640375
-21.0,764,1154.143212
-21.0,759,1168.690525
-21.0,758,1183.238345
-21.0,758,1197.383512
-21.0,761,1212.276536
-21.0,764,1225.646006
-21.0,757,1239.339426
-21.0,764,1253.468379
-21.0,757,1266.390226
-21.0,761,1279.464093
-21.0,757,1292.173608
-21.0,761,1304.431143
-21.0,806,1317.597987
-21.0,762,1330.091487
-21.0,757,1342.319613
-21.0,761,1354.151542
-21.0,761,1366.176625
-21.0,808,1379.159251
-21.0,763,1390.763677
-21.0,818,1403.762199
-21.0,759,1415.265966
-21.0,762,1427.310068
-21.0,762,1438.902393
-21.0,762,1450.974793
-21.0,760,1463.433487
-21.0,758,1475.327625
-21.0,758,1487.415448
-21.0,762,1499.377709
-21.0,759,1510.897631
-21.0,758,1522.587915
-21.0,761,1533.968885
-21.0,763,1546.236372
-21.0,758,1558.600984
-21.0,759,1570.926241
-21.0,760,1582.993305
-21.0,763,1595.037302
-21.0,760,1605.919516
-21.0,760,1616.504135
-21.0,761,1627.281098
-21.0,757,1636.065295
-21.0,761,1644.075834
-21.0,764,1651.753957
-21.0,762,1658.648784
-21.0,760,1665.509535
-21.0,761,1671.733153
-21.0,764,1677.577943
-21.0,758,1682.967455
-21.0,760,1688.066262
-21.0,762,1692.905061
-21.0,759,1697.496305
-21.0,760,1701.858948
-21.0,760,1706.216659
-21.0,759,1710.465569
-21.0,760,1714.449895
-21.0,819,1718.787291
-21.0,759,1722.659846
-21.0,763,1726.483451
-21.0,757,1730.243451
-21.0,760,1733.830161
