#{"t_start": 1543453200.2250705, "env_id": "Pong-ramNoFrameskip-v4"}
r,l,t
-20.0,957,3.522112
-20.0,881,15.808929
-21.0,791,26.435066
-20.0,955,39.422607
-20.0,926,51.302586
-21.0,854,61.203686
-21.0,962,71.587285
-20.0,1014,82.958037
-21.0,833,91.126934
-20.0,879,101.193054
-20.0,879,110.824148
-21.0,823,119.819655
-21.0,820,128.508998
-21.0,758,136.830662
-20.0,1037,147.695397
-19.0,993,158.512375
-21.0,884,168.442158
-21.0,820,177.116024
-19.0,945,187.537077
-21.0,763,195.815831
-20.0,865,205.480194
-21.0,822,213.850689
-20.0,1004,224.864326
-21.0,760,232.658056
-20.0,901,242.611719
-21.0,880,251.834924
-21.0,760,259.878541
-21.0,849,269.377872
-20.0,840,277.960938
-21.0,759,286.633139
-21.0,824,295.63605
-20.0,881,305.026289
-21.0,788,313.203129
-20.0,920,323.472893
-21.0,880,332.96847
-21.0,759,340.785593
-21.0,841,350.179987
-20.0,837,359.215482
-21.0,790,367.75301
-20.0,896,377.436423
-19.0,996,388.34592
-20.0,910,398.309653
-21.0,760,406.748131
-21.0,820,415.683082
-21.0,758,424.339386
-21.0,819,433.489603
-21.0,764,441.698462
-20.0,960,451.879101
-20.0,839,460.857692
-21.0,903,470.834221
-21.0,1025,482.065201
-20.0,1034,492.537939
-21.0,820,501.363964
-21.0,852,510.59135
-21.0,791,519.335689
-20.0,837,528.75155
-21.0,852,537.750585
-20.0,893,547.737518
-21.0,941,557.717149
-21.0,844,567.518609
-20.0,837,576.371163
-21.0,880,585.350477
-21.0,764,593.721417
-20.0,925,603.653751
-21.0,840,612.284335
-21.0,817,620.517868
-21.0,757,628.24789
-21.0,819,636.786034
-21.0,790,645.070199
-20.0,866,653.798063
-19.0,1037,664.607392
-21.0,962,674.868679
-21.0,990,685.906344
-20.0,931,695.629228
-18.0,1158,707.757193
-21.0,886,717.201033
-17.0,1207,730.389778
-21.0,848,738.954938
-17.0,1156,751.359907
-21.0,849,760.377336
-20.0,893,769.678108
-19.0,1161,781.908059
-20.0,1047,793.197857
-19.0,1057,804.505978
-21.0,1003,815.459011
-21.0,974,825.827764
-21.0,883,835.045901
-21.0,824,844.020754
-21.0,763,851.857189
-21.0,902,861.549218
-21.0,945,871.136732
-20.0,841,879.92192
-19.0,1010,890.665858
-20.0,927,900.581852
-21.0,851,909.446847
-21.0,778,918.112084
-19.0,999,928.778987
-20.0,1102,940.316797
-21.0,1004,951.041738
-19.0,1029,962.16489
-19.0,1100,973.668435
-19.0,1114,985.7979
-18.0,1242,998.935971
-19.0,965,1009.336756
-19.0,984,1020.054214
-17.0,1165,1032.622152
-20.0,1003,1042.913439
-17.0,1226,1056.695245
-19.0,1011,1067.471358
