#{"t_start": 1543453200.2200477, "env_id": "Pong-ramNoFrameskip-v4"}
r,l,t
-21.0,764,9.69398
-21.0,761,21.655414
-21.0,762,36.554012
-21.0,759,52.292657
-21.0,760,67.371973
-21.0,758,81.063161
-21.0,758,94.274532
-21.0,763,107.61096
-21.0,809,121.054626
-21.0,763,134.067634
-21.0,763,146.89797
-21.0,757,159.738352
-21.0,880,175.293522
-21.0,763,187.582546
-21.0,762,200.243223
-21.0,758,212.01403
-21.0,760,224.12705
-21.0,757,236.536751
-21.0,760,248.463647
-21.0,758,261.027037
-21.0,761,273.187848
-21.0,761,285.354426
-21.0,759,297.409537
-21.0,761,309.674534
-21.0,762,322.185765
-21.0,762,335.216163
-21.0,759,347.988906
-21.0,760,360.910704
-21.0,819,374.511989
-21.0,764,386.669314
-21.0,759,399.547653
-21.0,759,411.590226
-21.0,761,423.696284
-21.0,758,435.890707
-21.0,761,447.797606
-21.0,760,459.838282
-21.0,763,472.652628
-21.0,761,485.055636
-21.0,759,497.269732
-21.0,763,510.006015
-21.0,811,523.228086
-21.0,763,535.266266
-21.0,759,547.563529
-21.0,758,560.193299
-21.0,758,572.936756
-21.0,760,585.254731
-21.0,819,598.124125
-21.0,764,610.621677
-21.0,764,622.795025
-21.0,760,634.939104
-21.0,762,647.536271
-21.0,810,660.733087
-21.0,762,672.896858
-21.0,764,685.670272
-21.0,762,697.818724
-21.0,757,709.637344
-21.0,758,721.535405
-21.0,758,734.09359
-21.0,757,746.162924
-21.0,760,758.352635
-21.0,764,770.425149
-21.0,761,782.644282
-21.0,762,794.652512
-21.0,760,806.752942
-21.0,759,819.104116
-21.0,764,832.07173
-21.0,758,844.265
-21.0,762,856.64341
-21.0,760,868.836292
-21.0,761,880.978117
-21.0,762,892.777463
-21.0,762,905.189577
-21.0,761,917.42728
-21.0,761,929.106021
-21.0,819,942.372723
-21.0,760,954.965102
-21.0,762,966.965104
-21.0,762,978.858593
-21.0,762,990.796462
-21.0,758,1003.244503
-21.0,807,1015.640874
-21.0,762,1028.16949
-21.0,758,1040.471082
-21.0,760,1052.216274
-21.0,759,1064.440002
-21.0,764,1076.42219
-21.0,757,1088.571017
-21.0,762,1100.937559
-21.0,761,1113.577033
-21.0,759,1125.407351
-21.0,761,1137.371482
-21.0,757,1149.329863
-21.0,758,1160.971725
-21.0,764,1172.968635
-21.0,762,1185.216313
-21.0,763,1197.173415
-21.0,758,1209.116246
-21.0,811,1221.412608
-21.0,758,1232.533062
-21.0,763,1244.3794
-21.0,764,1255.638624
-21.0,762,1267.132234
-21.0,757,1278.457022
-21.0,758,1289.627148
-21.0,764,1300.864513
-21.0,758,1312.706528
-21.0,763,1324.134165
-21.0,757,1335.32448
-21.0,764,1346.880035
-21.0,757,1358.298697
-21.0,759,1369.837712
-21.0,757,1381.050791
-21.0,824,1393.578099
-21.0,763,1404.808693
-21.0,764,1416.199244
-21.0,757,1427.464149
-21.0,764,1438.738502
-21.0,758,1450.802629
-21.0,764,1462.427559
-21.0,761,1473.686402
-21.0,763,1484.841861
-21.0,760,1496.704553
-21.0,762,1508.335691
-21.0,762,1519.962731
-21.0,760,1531.405859
-21.0,760,1542.836724
-21.0,763,1554.798365
-21.0,760,1566.376295
-21.0,762,1577.562494
-21.0,762,1589.105548
