#{"t_start": 1543455335.9150517, "env_id": "Pong-ramNoFrameskip-v4"}
r,l,t
-20.0,867,7.268803
-21.0,759,13.664534
-21.0,764,20.197307
-19.0,1029,29.069427
-21.0,762,35.615799
-21.0,761,42.021771
-19.0,1007,50.346985
-21.0,763,56.827021
-20.0,925,64.274971
-21.0,880,71.558433
-21.0,762,77.727517
-21.0,762,83.688228
-21.0,761,89.788269
-21.0,757,95.981753
-21.0,758,102.241678
-21.0,759,108.427721
-21.0,808,114.909444
-21.0,759,121.180372
-21.0,943,128.745085
-21.0,762,134.869978
-21.0,760,140.937386
-21.0,757,146.968707
-21.0,819,153.501668
-21.0,760,159.544237
-21.0,760,165.771989
-21.0,757,171.782294
-21.0,762,177.878953
-21.0,762,184.068184
-21.0,761,190.033807
-21.0,820,196.73696
-21.0,758,203.051725
-20.0,980,210.986873
-21.0,764,217.191471
-21.0,763,223.359394
-21.0,819,230.004321
-21.0,757,236.118662
-21.0,937,243.808963
-21.0,761,249.784287
-21.0,764,256.101508
-21.0,759,262.442527
-21.0,763,268.565856
-21.0,764,274.725272
-21.0,761,280.886066
-21.0,759,286.928677
-21.0,760,293.229024
-21.0,762,299.617667
-21.0,764,305.646526
-21.0,823,312.460771
-21.0,757,318.604661
-21.0,759,324.826245
-21.0,763,331.15008
-21.0,818,337.774789
-21.0,761,344.12126
-21.0,757,350.180301
-21.0,762,356.275405
-21.0,758,362.597528
-21.0,759,368.78646
-21.0,758,375.09504
-21.0,759,381.232795
-21.0,999,389.467811
-21.0,820,396.035292
-21.0,758,402.13604
-21.0,758,408.466551
-21.0,758,414.551496
-21.0,759,420.863971
-21.0,760,426.696591
-21.0,763,432.758403
-21.0,759,438.695241
-21.0,760,444.735796
-21.0,937,452.089417
-21.0,761,458.428588
-21.0,757,464.637377
-21.0,763,470.835343
-21.0,763,477.009401
-20.0,834,483.650226
-21.0,760,489.930868
-21.0,759,496.097565
-21.0,762,502.258091
-20.0,831,508.974337
-21.0,757,515.06431
-21.0,777,521.411275
-21.0,760,527.442731
-21.0,761,533.652524
-21.0,757,539.74105
-21.0,761,545.668962
-21.0,757,552.140673
-21.0,762,558.395263
-21.0,762,564.592857
-21.0,759,570.591101
-21.0,758,576.80996
-21.0,825,583.514396
-21.0,758,589.813086
-21.0,760,595.894631
-21.0,762,601.946042
-21.0,759,607.872128
-21.0,820,614.587449
-21.0,762,620.744936
-21.0,759,626.828911
-21.0,821,633.526475
-21.0,758,639.63188
-21.0,759,645.890408
-21.0,764,652.078298
-21.0,763,658.198727
-21.0,757,664.324802
-21.0,757,670.246343
-21.0,758,676.281607
-21.0,760,682.382417
-21.0,763,688.527259
-20.0,831,695.470958
-21.0,762,701.563777
-21.0,762,707.730788
-21.0,760,713.882701
-21.0,763,720.039398
-21.0,759,726.180238
-20.0,842,733.127784
-21.0,763,739.421123
-21.0,759,745.379847
-21.0,764,751.526384
-21.0,763,757.594059
-21.0,757,763.62504
-21.0,806,770.211189
-21.0,805,776.868807
-21.0,764,783.06532
-21.0,757,789.19711
-21.0,762,795.427665
-21.0,759,801.048654
-21.0,760,806.066628
