#{"t_start": 1543453200.190694, "env_id": "SpaceInvaders-ramNoFrameskip-v4"}
r,l,t
0.0,510,6.212496
180.0,612,14.004193
85.0,368,20.040658
55.0,534,28.712294
90.0,718,41.167659
0.0,508,49.996729
0.0,464,58.256159
245.0,998,75.655677
15.0,489,83.972883
180.0,611,94.860299
135.0,590,104.789828
210.0,646,115.616181
0.0,488,123.479748
0.0,508,132.09294
5.0,294,137.320901
0.0,505,145.363869
0.0,456,152.653369
0.0,504,161.273843
180.0,614,172.173753
0.0,510,181.131559
0.0,457,188.676007
5.0,288,193.161958
210.0,620,204.122962
180.0,598,214.094666
155.0,613,224.460775
0.0,508,232.659501
110.0,616,242.690993
0.0,507,250.620145
235.0,872,265.236237
180.0,612,275.264319
0.0,457,283.481287
210.0,623,293.832579
15.0,481,301.957753
50.0,618,312.484577
0.0,452,320.334655
180.0,608,330.380352
70.0,517,338.795013
235.0,871,353.220716
155.0,629,363.937804
270.0,872,378.01298
180.0,609,388.697309
0.0,457,396.68138
180.0,608,406.743748
180.0,608,416.907258
205.0,785,429.531234
25.0,470,437.095314
445.0,616,447.179913
210.0,622,457.652143
235.0,870,472.170106
180.0,609,482.621329
145.0,584,492.403642
55.0,493,500.312581
120.0,475,508.095721
0.0,455,515.786529
390.0,507,523.662811
210.0,609,534.106097
180.0,609,543.646
15.0,476,551.625738
180.0,613,562.668895
180.0,607,573.427533
165.0,468,581.153008
180.0,610,591.485922
180.0,643,601.991216
45.0,348,607.855953
235.0,872,622.100926
60.0,510,630.575099
180.0,611,640.492272
180.0,611,650.578493
180.0,661,661.993841
180.0,612,671.822715
270.0,512,680.05708
105.0,492,688.043301
180.0,612,697.692874
180.0,608,708.007655
180.0,608,718.319191
235.0,870,732.627164
180.0,611,742.461545
105.0,491,750.448675
465.0,935,765.918895
260.0,752,777.654948
180.0,610,787.671501
75.0,496,796.345064
180.0,608,806.622336
185.0,405,813.30876
195.0,407,820.175479
30.0,689,831.394569
210.0,612,841.531246
135.0,595,851.269779
180.0,608,860.618468
420.0,606,871.148751
110.0,795,883.69106
155.0,486,891.604915
210.0,618,901.590037
95.0,318,906.704071
180.0,608,916.986481
180.0,613,926.44238
240.0,725,938.695529
210.0,611,948.425412
145.0,388,954.818381
180.0,608,964.849401
280.0,735,976.916998
180.0,612,986.540235
110.0,484,994.748351
365.0,998,1010.880252
105.0,493,1019.117277
285.0,719,1030.834586
105.0,364,1036.327821
130.0,676,1048.169984
160.0,655,1058.597096
150.0,486,1066.503015
150.0,625,1076.794869
180.0,613,1087.411098
140.0,710,1098.835197
180.0,608,1108.481488
180.0,647,1118.899304
110.0,350,1124.589769
105.0,496,1131.89466
340.0,724,1143.231846
75.0,515,1151.492086
210.0,647,1161.42674
210.0,616,1170.723884
395.0,1052,1186.957552
105.0,491,1194.495676
155.0,595,1203.113001
135.0,594,1211.474761
105.0,376,1217.391666
170.0,731,1227.965057
135.0,599,1236.977809
135.0,594,1245.633075
305.0,498,1252.979118
310.0,515,1260.645831
190.0,475,1267.74216
235.0,959,1281.439527
210.0,612,1290.934069
320.0,481,1297.789375
105.0,494,1305.428464
180.0,608,1314.485082
180.0,601,1323.283625
105.0,338,1328.333269
180.0,609,1337.320925
415.0,816,1348.856143
180.0,607,1358.494339
125.0,593,1366.929715
185.0,608,1375.705269
540.0,1021,1390.383244
180.0,611,1399.430488
155.0,591,1407.904249
460.0,742,1419.346183
210.0,636,1428.798996
180.0,595,1438.02107
150.0,384,1443.568434
430.0,644,1452.953944
75.0,402,1458.62724
55.0,373,1464.270114
200.0,698,1474.183028
180.0,610,1482.828563
415.0,782,1493.550742
180.0,614,1502.353479
100.0,420,1508.478127
165.0,640,1518.347333
105.0,482,1525.211721
135.0,551,1533.310577
145.0,585,1541.598922
155.0,592,1550.137398
180.0,608,1559.300257
135.0,349,1564.365576
180.0,483,1571.228306
210.0,612,1579.985812
270.0,725,1591.161225
