#{"t_start": 1543453200.0528846, "env_id": "SpaceInvaders-ramNoFrameskip-v4"}
r,l,t
180.0,612,2.423322
135.0,582,7.618837
180.0,385,12.260042
120.0,420,17.520761
135.0,476,23.662591
210.0,530,31.018533
210.0,549,38.920478
240.0,722,49.163325
180.0,463,55.524988
150.0,556,64.212993
320.0,613,72.267025
60.0,367,77.302543
210.0,667,86.295397
85.0,483,92.363869
180.0,546,99.122941
120.0,483,105.214203
190.0,764,114.964223
80.0,284,118.507825
205.0,613,125.728816
130.0,469,131.266653
170.0,510,137.307612
90.0,386,141.842836
145.0,491,148.192003
765.0,1077,161.052513
515.0,958,172.622113
140.0,406,177.398799
85.0,385,181.994563
335.0,762,190.825036
255.0,687,199.083177
110.0,316,203.014508
340.0,772,211.907877
95.0,417,216.912088
90.0,457,222.2894
110.0,306,226.017684
40.0,428,230.826681
100.0,462,237.344923
140.0,524,243.550975
275.0,850,253.553801
300.0,754,262.237865
110.0,281,265.593643
130.0,473,271.311151
375.0,957,282.439325
150.0,472,287.978412
110.0,450,293.057514
120.0,415,297.498066
530.0,895,308.476989
165.0,480,314.214392
485.0,902,324.644772
335.0,766,333.999693
385.0,933,344.722981
315.0,742,353.406085
85.0,404,357.830478
490.0,948,368.835183
65.0,276,371.967553
60.0,284,375.065081
710.0,887,385.142704
180.0,472,390.774093
325.0,680,398.523766
155.0,565,405.26203
165.0,680,413.075185
440.0,742,421.886396
245.0,915,432.661992
130.0,526,438.477397
185.0,654,446.092066
75.0,529,452.420341
285.0,738,461.031551
220.0,710,469.545253
300.0,602,476.504496
205.0,659,484.548773
480.0,915,495.348664
300.0,804,504.934648
285.0,683,513.199633
495.0,1045,525.019629
150.0,503,530.685653
250.0,738,539.332332
455.0,615,546.825099
325.0,596,554.158634
40.0,282,557.379205
215.0,703,565.46119
195.0,535,572.010983
180.0,465,577.416922
270.0,780,587.034664
210.0,1048,598.779352
165.0,602,606.045532
200.0,484,611.704691
280.0,741,619.855906
240.0,470,625.545206
215.0,472,631.430927
195.0,702,639.950259
130.0,539,645.73924
105.0,368,650.06712
390.0,894,660.305156
190.0,707,668.11927
230.0,742,677.408525
75.0,360,681.542625
200.0,499,687.684636
350.0,973,698.270434
110.0,315,701.9515
105.0,293,705.112602
250.0,825,714.494678
280.0,811,723.692472
95.0,545,729.891218
350.0,576,736.379782
120.0,461,741.51642
185.0,477,747.018624
195.0,492,752.961243
285.0,834,762.407062
275.0,526,768.334938
195.0,590,774.746965
175.0,521,780.762689
110.0,357,784.525118
265.0,775,793.456191
60.0,379,797.785227
80.0,258,800.607138
145.0,475,806.213504
70.0,257,808.977293
380.0,597,815.801497
375.0,722,824.501814
230.0,621,832.293773
210.0,485,837.828843
120.0,273,840.655196
125.0,399,845.085229
100.0,461,850.448497
225.0,530,856.328578
120.0,535,862.491426
345.0,862,872.490237
280.0,670,880.098085
220.0,705,888.424759
80.0,369,892.377417
150.0,487,898.467348
145.0,482,903.855003
125.0,501,909.750774
200.0,695,917.38898
165.0,488,922.919336
120.0,517,928.550421
180.0,603,935.958757
105.0,275,939.489887
230.0,725,947.902629
265.0,871,957.681751
120.0,362,961.658331
515.0,1098,974.426636
245.0,596,981.720099
595.0,1056,993.021378
350.0,926,1003.251857
115.0,495,1009.045087
160.0,493,1014.630815
380.0,520,1020.442311
365.0,506,1026.610271
80.0,493,1032.170706
95.0,381,1036.485467
370.0,757,1044.991222
300.0,1020,1056.607986
110.0,500,1062.293259
410.0,635,1069.775065
75.0,314,1073.535625
320.0,809,1083.25475
605.0,1122,1096.00841
155.0,404,1100.760806
185.0,606,1107.83881
265.0,721,1115.819135
105.0,446,1120.773421
515.0,838,1129.915721
50.0,284,1132.97487
180.0,602,1139.616902
295.0,797,1148.51094
200.0,692,1156.680148
365.0,588,1163.086968
