#{"t_start": 1543453200.227312, "env_id": "SpaceInvaders-ramNoFrameskip-v4"}
r,l,t
30.0,489,6.563107
145.0,479,11.172579
0.0,383,19.907225
375.0,1218,48.252712
15.0,357,56.975473
155.0,643,72.488269
180.0,607,86.020992
25.0,469,96.367046
210.0,628,109.653391
210.0,610,122.890074
180.0,608,136.851573
135.0,607,150.213158
415.0,725,166.829672
50.0,482,177.49368
0.0,503,188.13815
235.0,873,207.221235
180.0,609,220.761898
135.0,468,230.749277
305.0,674,244.892332
180.0,611,258.709594
195.0,493,269.297185
0.0,504,280.504963
210.0,606,293.857178
225.0,477,304.333144
30.0,514,315.552159
75.0,476,325.516745
430.0,833,343.372999
235.0,867,362.342695
180.0,613,375.471011
95.0,419,384.260473
30.0,518,395.345131
180.0,610,408.361491
235.0,869,426.672897
105.0,490,436.871419
210.0,617,449.321671
180.0,612,462.118372
80.0,400,470.644125
175.0,976,491.125644
440.0,780,508.240615
180.0,614,521.028485
240.0,732,537.137293
165.0,946,556.679945
180.0,609,570.733097
445.0,826,588.414582
335.0,815,605.695955
420.0,1100,629.257681
210.0,646,643.454723
250.0,493,654.42979
210.0,614,667.496553
150.0,499,678.801974
180.0,612,691.829741
30.0,467,701.627265
180.0,614,714.406516
55.0,317,721.026443
210.0,619,734.219317
180.0,611,746.827558
140.0,515,757.280299
155.0,599,770.094324
210.0,618,783.465614
105.0,490,793.693235
105.0,381,801.322224
180.0,613,813.201326
180.0,609,825.959759
210.0,609,838.742045
300.0,825,855.222986
180.0,609,868.051293
25.0,318,874.966874
180.0,615,886.92993
140.0,509,898.198899
180.0,608,909.863038
260.0,757,925.471221
155.0,363,933.323746
545.0,963,954.548251
130.0,510,965.173973
210.0,623,979.282948
0.0,454,989.074507
155.0,508,1000.21765
180.0,608,1012.948695
210.0,619,1026.543054
55.0,390,1035.172646
270.0,1032,1056.845599
180.0,609,1069.955318
20.0,272,1075.790767
210.0,614,1088.938628
230.0,599,1101.47731
210.0,625,1114.070771
120.0,602,1126.050962
210.0,614,1138.717396
105.0,491,1148.624719
285.0,711,1161.725627
180.0,611,1173.635087
125.0,304,1179.808622
150.0,506,1189.281862
130.0,516,1199.307003
235.0,867,1216.532413
185.0,1081,1236.12323
180.0,607,1246.947047
180.0,604,1258.700433
335.0,591,1270.337785
535.0,803,1285.294894
190.0,475,1294.297424
155.0,595,1305.942427
80.0,391,1313.318534
210.0,636,1325.901521
105.0,382,1333.430634
140.0,474,1342.59321
100.0,380,1349.910256
75.0,494,1359.25513
50.0,494,1368.562141
225.0,689,1381.042209
185.0,719,1395.053005
510.0,1164,1416.601966
135.0,429,1425.03347
105.0,494,1434.604193
120.0,468,1443.244777
180.0,613,1454.895227
245.0,1048,1474.611393
210.0,616,1486.330085
100.0,388,1494.021136
255.0,598,1505.438383
225.0,822,1521.013813
105.0,492,1529.906943
230.0,472,1538.936052
105.0,481,1548.510671
180.0,614,1560.21375
260.0,723,1573.898825
150.0,482,1582.091882
180.0,611,1593.600505
250.0,522,1602.660326
210.0,612,1612.027164
155.0,605,1621.691928
185.0,603,1630.158627
75.0,408,1635.281284
380.0,637,1642.862894
180.0,613,1649.60917
190.0,517,1655.103604
560.0,853,1663.226463
155.0,553,1668.551933
155.0,493,1672.950369
180.0,608,1677.896487
195.0,443,1681.460348
70.0,374,1684.266682
120.0,596,1688.715757
130.0,479,1692.047326
180.0,612,1696.193685
275.0,643,1700.228777
210.0,610,1703.899064
105.0,339,1705.930636
90.0,390,1708.381142
105.0,604,1711.816492
190.0,505,1714.777366
155.0,307,1716.514279
75.0,491,1719.316368
155.0,594,1722.659605
105.0,491,1725.409894
570.0,1353,1732.362533
210.0,610,1735.404034
180.0,714,1738.796712
125.0,437,1740.827683
235.0,470,1743.059021
105.0,381,1744.825028
480.0,967,1749.271896
135.0,592,1752.087065
180.0,597,1754.782723
180.0,607,1757.260983
185.0,609,1759.633238
180.0,658,1762.302082
