#{"t_start": 1543455335.915746, "env_id": "SpaceInvaders-ramNoFrameskip-v4"}
r,l,t
30.0,271,3.863983
200.0,630,7.928332
105.0,384,11.836094
110.0,460,15.764516
75.0,323,18.713052
155.0,626,24.14496
300.0,645,29.931226
20.0,436,33.630162
105.0,409,37.341675
45.0,384,40.662345
170.0,483,44.74095
135.0,588,49.927865
205.0,805,57.048657
495.0,700,62.892958
320.0,609,67.867134
165.0,602,73.002499
80.0,484,77.217602
75.0,681,83.019136
175.0,820,89.883365
320.0,791,96.512844
15.0,507,100.85121
50.0,470,104.900639
150.0,469,108.88823
15.0,500,113.082387
285.0,607,118.043552
255.0,711,123.92294
5.0,513,128.115293
10.0,258,130.251227
15.0,453,134.161889
160.0,550,138.724879
235.0,870,146.03434
5.0,488,150.132417
0.0,503,154.287224
75.0,495,158.385591
135.0,586,163.394819
305.0,1034,171.964655
285.0,1031,180.671153
515.0,620,185.851105
80.0,302,188.41244
75.0,269,190.650864
210.0,615,195.657658
105.0,500,199.931715
55.0,351,202.981593
0.0,454,206.900052
350.0,1054,215.774937
5.0,467,219.872978
125.0,578,224.612726
390.0,1108,233.904366
135.0,587,238.897654
5.0,298,241.336652
500.0,801,247.818451
260.0,747,254.152248
120.0,584,258.982461
180.0,611,264.011222
60.0,371,267.063303
210.0,623,272.106757
5.0,491,276.200564
75.0,513,280.396922
65.0,302,283.007102
155.0,582,287.849685
165.0,604,292.935089
180.0,605,297.813694
210.0,624,302.864903
75.0,404,306.151018
185.0,837,312.912674
70.0,693,318.695723
180.0,611,323.846879
5.0,274,326.135355
210.0,614,331.321425
320.0,625,336.464934
5.0,474,340.452196
15.0,471,344.296103
115.0,377,347.520894
105.0,489,351.645237
105.0,490,355.709972
210.0,603,360.739832
180.0,610,366.062917
180.0,608,371.23756
180.0,666,376.923695
155.0,663,382.377438
75.0,510,386.558817
75.0,498,390.905768
105.0,495,395.044895
800.0,1551,408.017084
240.0,914,415.692688
460.0,842,422.678102
210.0,611,427.649858
135.0,586,432.485171
210.0,618,437.508741
105.0,494,441.544182
15.0,474,445.603157
85.0,527,449.866916
105.0,318,452.370579
180.0,607,457.363276
50.0,708,463.055708
115.0,355,465.92674
265.0,996,473.837871
135.0,586,478.695796
145.0,606,483.680629
20.0,484,487.751584
135.0,597,492.519048
180.0,613,497.54126
140.0,703,503.323941
385.0,597,508.428683
0.0,508,512.483297
210.0,613,517.521091
130.0,653,522.71411
210.0,600,527.519643
140.0,406,530.876402
210.0,642,536.082976
210.0,616,540.936702
235.0,573,545.561682
210.0,603,550.472638
110.0,569,555.16582
360.0,1302,565.644432
155.0,587,570.410592
105.0,487,574.464704
180.0,608,579.619346
105.0,486,583.62402
180.0,617,588.707593
15.0,474,592.792326
35.0,458,596.665261
135.0,629,601.830793
75.0,491,605.844729
20.0,320,608.519972
180.0,614,613.419611
80.0,524,617.884735
120.0,346,620.722685
210.0,604,625.808118
420.0,814,632.589742
55.0,267,634.959454
155.0,612,639.857572
120.0,598,644.698217
180.0,612,649.821566
20.0,463,653.570024
70.0,270,655.672097
320.0,817,662.281567
180.0,611,667.168363
210.0,613,672.185903
365.0,637,677.339132
180.0,612,682.229395
165.0,1037,690.754571
185.0,609,695.85933
165.0,595,700.73095
135.0,572,705.35012
180.0,613,710.502273
145.0,561,715.201231
95.0,373,718.400578
50.0,463,722.159212
180.0,608,727.178596
210.0,646,732.610939
290.0,932,740.131222
130.0,546,744.560838
240.0,720,750.454142
15.0,357,753.39137
180.0,609,758.459352
245.0,577,763.033164
465.0,806,769.618598
180.0,599,774.658554
185.0,810,781.428487
95.0,867,788.67032
110.0,491,792.638924
75.0,486,796.437447
210.0,626,801.153642
410.0,594,805.169669
155.0,589,808.938302
180.0,610,812.497299
180.0,611,815.791425
215.0,484,818.152224
5.0,289,819.449212
