#{"t_start": 1543465128.7021275, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.981351
-500.0,500,2.362135
-500.0,500,4.923498
-500.0,500,6.929631
-500.0,500,9.059896
-500.0,500,11.267912
-500.0,500,13.454683
-500.0,500,15.629258
-500.0,500,17.769541
-500.0,500,19.917974
-500.0,500,22.130467
-500.0,500,24.251078
-500.0,500,26.370796
-500.0,500,28.528453
-500.0,500,30.615357
-500.0,500,32.709285
-500.0,500,34.803421
-500.0,500,36.950927
-279.0,280,38.135088
-500.0,500,40.24977
-500.0,500,42.373945
-500.0,500,44.556947
-500.0,500,46.79569
-500.0,500,48.924929
-500.0,500,51.033352
-206.0,207,51.924068
-187.0,188,52.73546
-309.0,310,54.099904
-357.0,358,55.615774
-187.0,188,56.463508
-500.0,500,58.659431
-500.0,500,60.872174
-500.0,500,63.042598
-500.0,500,65.158503
-500.0,500,67.295754
-167.0,168,67.992626
-283.0,284,69.191607
-226.0,227,70.101771
-434.0,435,71.963699
-146.0,147,72.5721
-138.0,139,73.184459
-151.0,152,73.800063
-440.0,441,75.59756
-198.0,199,76.452525
-354.0,355,77.927716
-102.0,103,78.353451
-99.0,100,78.739058
-212.0,213,79.576826
-163.0,164,80.254856
-116.0,117,80.72755
-310.0,311,82.087816
-163.0,164,82.855334
-145.0,146,83.480612
-237.0,238,84.47866
-119.0,120,84.974464
-132.0,133,85.519969
-123.0,124,86.037225
-230.0,231,86.971893
-148.0,149,87.570146
-92.0,93,87.948479
-146.0,147,88.533241
-259.0,260,89.589524
-209.0,210,90.411732
-191.0,192,91.163574
-158.0,159,91.81943
-235.0,236,92.818404
-246.0,247,93.836031
-138.0,139,94.398632
-153.0,154,95.004776
-141.0,142,95.583506
-85.0,86,95.935443
-317.0,318,97.262119
-94.0,95,97.681905
-102.0,103,98.110152
-147.0,148,98.71768
-120.0,121,99.207898
-111.0,112,99.667353
-126.0,127,100.203176
-162.0,163,100.88315
-100.0,101,101.29209
-192.0,193,102.118155
-166.0,167,102.852331
-199.0,200,103.684464
-369.0,370,105.213957
-101.0,102,105.848709
-128.0,129,106.393477
-102.0,103,106.802582
-166.0,167,107.511318
-142.0,143,108.094718
-135.0,136,108.69235
-223.0,224,109.628016
-132.0,133,110.164218
-141.0,142,110.733604
-132.0,133,111.262605
-185.0,186,112.028134
-140.0,141,112.604584
-150.0,151,113.23002
-200.0,201,114.087332
-183.0,184,114.838132
-167.0,168,115.562572
-158.0,159,116.209433
-149.0,150,116.821144
-120.0,121,117.327608
-211.0,212,118.205126
-300.0,301,119.419364
-223.0,224,120.428929
-408.0,409,122.159961
-90.0,91,122.54058
-191.0,192,123.332155
-168.0,169,124.021782
-131.0,132,124.555064
-139.0,140,125.105629
-133.0,134,125.688492
-109.0,110,126.21098
-106.0,107,126.648603
-87.0,88,127.000048
-113.0,114,127.504487
-154.0,155,128.167453
-108.0,109,128.654795
-157.0,158,129.302491
-89.0,90,129.742987
-300.0,301,130.998166
-140.0,141,131.583483
-134.0,135,132.158196
-124.0,125,132.669997
-136.0,137,133.219985
-107.0,108,133.667915
-151.0,152,134.298064
-165.0,166,134.939457
-88.0,89,135.30548
-100.0,101,135.712229
-195.0,196,136.516044
-133.0,134,137.079113
-110.0,111,137.554595
-122.0,123,138.078953
-136.0,137,138.612641
-133.0,134,139.154714
-126.0,127,139.690348
-126.0,127,140.209324
-111.0,112,140.64666
-234.0,235,141.618004
-163.0,164,142.309086
-154.0,155,142.907446
-143.0,144,143.589323
-127.0,128,144.158292
-159.0,160,144.825146
-141.0,142,145.435227
-98.0,99,145.844111
-137.0,138,146.409863
-112.0,113,146.870318
-122.0,123,147.381113
-124.0,125,147.896379
-353.0,354,149.415965
-96.0,97,149.820782
-500.0,500,151.867584
-131.0,132,152.417109
-212.0,213,153.288359
