#{"t_start": 1543465128.7021155, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.243543
-500.0,500,4.157971
-500.0,500,7.452219
-500.0,500,10.127115
-500.0,500,12.96124
-500.0,500,15.717037
-500.0,500,18.479673
-500.0,500,21.225849
-500.0,500,24.097415
-500.0,500,26.892426
-236.0,237,28.213221
-500.0,500,30.985347
-500.0,500,33.613231
-500.0,500,36.413689
-87.0,88,36.927912
-500.0,500,39.595448
-500.0,500,42.246807
-500.0,500,44.957172
-500.0,500,47.650026
-500.0,500,50.363338
-500.0,500,52.928666
-500.0,500,55.495441
-500.0,500,58.104702
-500.0,500,60.853541
-500.0,500,63.647002
-500.0,500,66.219634
-500.0,500,68.836668
-500.0,500,71.459618
-409.0,410,73.696936
-99.0,100,74.236587
-205.0,206,75.330194
-500.0,500,77.979601
-500.0,500,80.628452
-195.0,196,81.627895
-500.0,500,84.261242
-212.0,213,85.605052
-174.0,175,86.545388
-500.0,500,89.225785
-500.0,500,91.931356
-195.0,196,92.969995
-500.0,500,95.671643
-500.0,500,98.272764
-500.0,500,100.984584
-500.0,500,103.597759
-500.0,500,106.232751
-500.0,500,108.964716
-500.0,500,111.593628
-500.0,500,114.246
-500.0,500,116.88729
-213.0,214,118.00454
-500.0,500,120.575135
-88.0,89,121.039265
-500.0,500,123.635558
-104.0,105,124.181959
-133.0,134,124.910748
-107.0,108,125.496418
-142.0,143,126.238374
-105.0,106,126.777604
-106.0,107,127.343315
-500.0,500,130.07617
-358.0,359,131.949068
-110.0,111,132.501884
-259.0,260,133.884197
-115.0,116,134.495193
-500.0,500,137.185187
-193.0,194,138.28559
-500.0,500,141.000072
-500.0,500,143.674643
-500.0,500,146.330021
-500.0,500,148.960232
-239.0,240,150.230283
-161.0,162,151.069539
-500.0,500,153.709918
-500.0,500,156.389652
-500.0,500,158.977189
-171.0,172,159.887148
-87.0,88,160.383856
-117.0,118,161.012273
-71.0,72,161.395441
-500.0,500,164.02359
-106.0,107,164.617435
-186.0,187,165.616329
-101.0,102,166.153224
-119.0,120,166.784152
-91.0,92,167.268281
-116.0,117,167.888471
-73.0,74,168.326066
-138.0,139,169.065939
-80.0,81,169.527327
-500.0,500,172.304122
-500.0,500,175.034503
-106.0,107,175.598379
-148.0,149,176.460444
-98.0,99,176.987474
-85.0,86,177.454726
-151.0,152,178.308389
-500.0,500,180.956428
-500.0,500,183.580404
-117.0,118,184.21608
-112.0,113,184.828196
-160.0,161,185.672874
-147.0,148,186.438892
-98.0,99,186.961468
-78.0,79,187.381309
-93.0,94,187.87741
-89.0,90,188.351527
-500.0,500,191.120184
-500.0,500,193.731105
-82.0,83,194.158196
-136.0,137,194.86868
-119.0,120,195.482088
-108.0,109,196.077443
-87.0,88,196.526337
-92.0,93,197.025629
-104.0,105,197.565572
-94.0,95,198.063274
-91.0,92,198.56246
-80.0,81,198.991018
-139.0,140,199.733312
-68.0,69,200.116173
-101.0,102,200.672229
-95.0,96,201.173199
-104.0,105,201.749876
-100.0,101,202.279105
-96.0,97,202.77479
-124.0,125,203.417797
-114.0,115,204.009441
-112.0,113,204.603362
-86.0,87,205.063216
-104.0,105,205.618049
-72.0,73,206.034461
-141.0,142,206.826588
-117.0,118,207.403779
-109.0,110,207.970464
-182.0,183,208.914227
-83.0,84,209.367951
-79.0,80,209.810615
-105.0,106,210.352658
-189.0,190,211.346136
-91.0,92,211.82357
-70.0,71,212.195197
-76.0,77,212.598575
-91.0,92,213.092863
-93.0,94,213.595869
-84.0,85,214.048551
-85.0,86,214.497885
-86.0,87,214.949265
-90.0,91,215.39099
-87.0,88,215.845763
-86.0,87,216.32074
-85.0,86,216.796288
-225.0,226,218.030083
-98.0,99,218.519373
-110.0,111,219.089107
-83.0,84,219.522423
-216.0,217,220.673942
-103.0,104,221.211748
-105.0,106,221.756897
-103.0,104,222.319526
-82.0,83,222.74506
-184.0,185,223.687374
-500.0,500,226.371056
-137.0,138,227.066411
-94.0,95,227.567142
-73.0,74,227.945311
-88.0,89,228.414114
-500.0,500,231.007412
-124.0,125,231.659775
-93.0,94,232.146487
-500.0,500,234.837654
-500.0,500,237.496006
-500.0,500,240.190341
-118.0,119,240.836833
-114.0,115,241.444135
-61.0,62,241.773018
-84.0,85,242.186357
-130.0,131,242.852812
-85.0,86,243.301893
-110.0,111,243.89514
-95.0,96,244.408086
-75.0,76,244.832311
-262.0,263,246.305754
-94.0,95,246.789535
-500.0,500,249.372014
-106.0,107,249.917937
-89.0,90,250.361945
-116.0,117,250.959812
-132.0,133,251.651379
-100.0,101,252.205678
-500.0,500,254.805471
-79.0,80,255.216789
-98.0,99,255.735689
-70.0,71,256.098898
-76.0,77,256.506376
-500.0,500,259.12056
-122.0,123,259.741414
-81.0,82,260.150933
-141.0,142,260.881154
-109.0,110,261.454683
-84.0,85,261.895739
-134.0,135,262.594395
-119.0,120,263.20314
-128.0,129,263.877788
-85.0,86,264.329442
-140.0,141,265.097356
-153.0,154,265.947052
-132.0,133,266.616127
-86.0,87,267.051668
-500.0,500,269.752265
-83.0,84,270.200353
-126.0,127,270.879063
-98.0,99,271.403496
-76.0,77,271.798554
-78.0,79,272.248368
-206.0,207,273.356778
-71.0,72,273.732538
-98.0,99,274.258288
-113.0,114,274.875058
-69.0,70,275.241947
-69.0,70,275.601209
-119.0,120,276.215164
-90.0,91,276.685432
-65.0,66,277.036354
-221.0,222,278.174918
-81.0,82,278.598736
-86.0,87,279.047756
-93.0,94,279.541623
-91.0,92,280.046464
-97.0,98,280.586016
-89.0,90,281.05329
-82.0,83,281.49689
-74.0,75,281.882764
-96.0,97,282.393142
-118.0,119,282.984984
-92.0,93,283.437113
-62.0,63,283.754032
-500.0,500,286.231792
-81.0,82,286.618882
-82.0,83,287.052127
-181.0,182,287.968003
-81.0,82,288.396326
-109.0,110,288.948286
-91.0,92,289.394661
-83.0,84,289.807925
-88.0,89,290.27184
-96.0,97,290.775812
-97.0,98,291.269512
-74.0,75,291.64765
-63.0,64,291.972507
-72.0,73,292.349499
-500.0,500,294.939908
-122.0,123,295.585854
-81.0,82,296.005569
-61.0,62,296.322375
-70.0,71,296.682777
-123.0,124,297.331008
-85.0,86,297.76472
-62.0,63,298.090388
-84.0,85,298.527371
-96.0,97,299.016819
-77.0,78,299.421161
-78.0,79,299.849503
-88.0,89,300.314999
-92.0,93,300.805632
-86.0,87,301.269084
-71.0,72,301.650433
-110.0,111,302.252184
-83.0,84,302.660013
-85.0,86,303.078189
-76.0,77,303.461733
-95.0,96,303.985341
-94.0,95,304.53284
-138.0,139,305.276761
-114.0,115,305.858669
-86.0,87,306.303931
-83.0,84,306.721364
-164.0,165,307.687442
-71.0,72,308.066947
-80.0,81,308.477568
-90.0,91,308.962816
-97.0,98,309.491206
-125.0,126,310.169762
-95.0,96,310.665291
-151.0,152,311.46419
-221.0,222,312.658526
-97.0,98,313.182052
-76.0,77,313.613023
-123.0,124,314.327888
-108.0,109,314.927184
-63.0,64,315.26302
-71.0,72,315.622557
-106.0,107,316.162737
-82.0,83,316.599051
-90.0,91,317.089507
-142.0,143,317.904339
-71.0,72,318.288628
-121.0,122,318.918881
-92.0,93,319.401194
-75.0,76,319.796154
-97.0,98,320.308584
-92.0,93,320.827032
-70.0,71,321.194191
-70.0,71,321.572895
-63.0,64,321.887736
-92.0,93,322.334781
-99.0,100,322.851257
-118.0,119,323.49087
-96.0,97,324.028869
-88.0,89,324.490996
-63.0,64,324.835307
-119.0,120,325.467706
-96.0,97,326.026408
-140.0,141,326.757966
-109.0,110,327.306699
-83.0,84,327.738236
-74.0,75,328.147731
-76.0,77,328.573181
-89.0,90,329.057302
-85.0,86,329.520083
-269.0,270,330.97163
-97.0,98,331.477841
-84.0,85,331.928222
-70.0,71,332.336229
-70.0,71,332.735757
-68.0,69,333.110763
-94.0,95,333.594617
-142.0,143,334.302835
-115.0,116,334.867507
-85.0,86,335.307691
-80.0,81,335.704971
-94.0,95,336.203635
-70.0,71,336.60267
-113.0,114,337.241289
-76.0,77,337.638738
-79.0,80,338.058737
-68.0,69,338.417229
-70.0,71,338.787665
-118.0,119,339.390728
-92.0,93,339.875036
-90.0,91,340.333268
-110.0,111,340.943184
-92.0,93,341.420116
-77.0,78,341.83084
-70.0,71,342.211689
-116.0,117,342.813187
-79.0,80,343.220615
-75.0,76,343.615844
-69.0,70,344.001171
-78.0,79,344.408621
-62.0,63,344.77107
-83.0,84,345.233722
-92.0,93,345.745451
-88.0,89,346.232054
-85.0,86,346.693891
-104.0,105,347.249899
-111.0,112,347.856697
-85.0,86,348.315984
-75.0,76,348.715929
-74.0,75,349.118571
-132.0,133,349.786409
-85.0,86,350.220344
-88.0,89,350.68505
-106.0,107,351.229231
-68.0,69,351.574928
-111.0,112,352.168486
-73.0,74,352.549146
-100.0,101,353.07232
-98.0,99,353.599068
-93.0,94,354.074904
-94.0,95,354.564952
-84.0,85,354.990453
-84.0,85,355.444371
-160.0,161,356.290031
-128.0,129,356.946355
-85.0,86,357.413418
-95.0,96,357.931225
-120.0,121,358.558812
-98.0,99,359.064795
-136.0,137,359.781042
-106.0,107,360.320442
-63.0,64,360.664242
-86.0,87,361.124396
-111.0,112,361.722567
-84.0,85,362.142805
-101.0,102,362.669999
-87.0,88,363.130717
-128.0,129,363.839008
