#{"t_start": 1543465128.7019005, "env_id": "CartPole-v1"}
r,l,t
63.0,63,2.387774
81.0,81,2.519078
81.0,81,2.646931
56.0,56,2.738162
9.0,9,2.753458
31.0,31,2.807336
9.0,9,2.822178
10.0,10,2.839086
10.0,10,2.856807
9.0,9,2.872288
9.0,9,2.887592
19.0,19,2.920773
10.0,10,2.938564
9.0,9,2.953879
12.0,12,2.97766
43.0,43,3.056057
50.0,50,3.148285
12.0,12,3.174144
33.0,33,3.233632
13.0,13,3.25604
11.0,11,3.275377
10.0,10,3.294026
12.0,12,3.315939
10.0,10,3.335435
11.0,11,3.355517
9.0,9,3.373409
11.0,11,3.393856
10.0,10,3.410806
8.0,8,3.425681
12.0,12,3.450706
11.0,11,3.470758
9.0,9,3.487687
12.0,12,3.511116
9.0,9,3.53538
10.0,10,3.554144
9.0,9,3.569249
18.0,18,3.60323
11.0,11,3.624131
9.0,9,3.641321
8.0,8,3.656499
10.0,10,3.676794
9.0,9,3.693654
39.0,39,3.762947
9.0,9,3.786566
17.0,17,3.815756
9.0,9,3.831255
10.0,10,3.848705
10.0,10,3.866214
11.0,11,3.884403
12.0,12,3.905462
31.0,31,3.960539
66.0,66,4.689331
12.0,12,4.735976
19.0,19,4.825717
26.0,26,4.963323
10.0,10,5.011559
12.0,12,5.071004
10.0,10,5.124431
12.0,12,5.180679
9.0,9,5.225165
10.0,10,5.278729
11.0,11,5.334364
13.0,13,5.398144
11.0,11,5.449392
10.0,10,5.494714
10.0,10,5.541937
16.0,16,5.616341
13.0,13,5.685033
46.0,46,5.936748
15.0,15,6.013453
8.0,8,6.053324
9.0,9,6.09566
20.0,20,6.193657
12.0,12,6.253044
12.0,12,6.312087
34.0,34,6.485163
10.0,10,6.532786
9.0,9,6.575878
11.0,11,6.62933
16.0,16,6.701579
9.0,9,6.739655
12.0,12,6.793311
10.0,10,6.840994
12.0,12,6.897673
11.0,11,6.949605
10.0,10,7.001541
11.0,11,7.053077
61.0,61,7.379147
10.0,10,7.427095
10.0,10,7.487744
39.0,39,7.671999
10.0,10,7.720806
10.0,10,7.790206
9.0,9,7.835315
12.0,12,7.894759
9.0,9,7.940402
9.0,9,8.001643
9.0,9,8.060583
11.0,11,8.124958
12.0,12,8.206398
32.0,32,8.384817
60.0,60,8.834305
13.0,13,8.921037
11.0,11,8.998052
500.0,500,11.730314
12.0,12,11.828604
10.0,10,11.88841
106.0,106,12.468494
54.0,54,12.758435
9.0,9,12.803205
9.0,9,12.852832
9.0,9,12.916827
36.0,36,13.12225
10.0,10,13.182299
10.0,10,13.233479
10.0,10,13.285425
9.0,9,13.333715
16.0,16,13.430022
34.0,34,13.656283
25.0,25,13.78801
40.0,40,14.005117
11.0,11,14.059398
10.0,10,14.11728
9.0,9,14.161337
10.0,10,14.211146
10.0,10,14.26264
11.0,11,14.316637
12.0,12,14.379945
10.0,10,14.430861
10.0,10,14.486249
12.0,12,14.54687
17.0,17,14.633053
10.0,10,14.688081
8.0,8,14.739154
29.0,29,14.896802
20.0,20,15.015266
302.0,302,16.740889
9.0,9,16.790542
8.0,8,16.831662
12.0,12,16.898462
13.0,13,16.960773
12.0,12,17.027609
13.0,13,17.126963
12.0,12,17.194653
12.0,12,17.26299
65.0,65,17.632995
10.0,10,17.686093
24.0,24,17.805892
10.0,10,17.868813
9.0,9,17.91756
81.0,81,18.439576
9.0,9,18.493788
9.0,9,18.564341
31.0,31,18.733593
31.0,31,18.891562
9.0,9,18.940439
22.0,22,19.053515
10.0,10,19.107985
20.0,20,19.256213
22.0,22,19.385645
8.0,8,19.433776
11.0,11,19.499172
9.0,9,19.557008
10.0,10,19.65512
25.0,25,19.798452
26.0,26,19.948341
10.0,10,20.000317
9.0,9,20.047671
11.0,11,20.103533
11.0,11,20.164295
31.0,31,20.33139
13.0,13,20.409811
13.0,13,20.481708
10.0,10,20.53758
10.0,10,20.622081
68.0,68,20.998676
19.0,19,21.099983
11.0,11,21.168894
10.0,10,21.22327
45.0,45,21.536264
11.0,11,21.603904
12.0,12,21.682576
8.0,8,21.733002
10.0,10,21.785748
9.0,9,21.8289
12.0,12,21.887825
20.0,20,21.994206
168.0,168,22.895968
12.0,12,22.962323
9.0,9,23.013139
9.0,9,23.062207
11.0,11,23.118575
20.0,20,23.235318
8.0,8,23.290215
18.0,18,23.38819
10.0,10,23.445774
11.0,11,23.503996
10.0,10,23.559958
95.0,95,24.142359
37.0,37,24.379956
13.0,13,24.455787
11.0,11,24.51631
24.0,24,24.646033
9.0,9,24.691222
10.0,10,24.751732
13.0,13,24.834162
10.0,10,24.892502
11.0,11,24.957824
11.0,11,25.018271
11.0,11,25.081538
11.0,11,25.143318
14.0,14,25.212251
10.0,10,25.266377
12.0,12,25.337325
10.0,10,25.392042
12.0,12,25.459032
8.0,8,25.503215
9.0,9,25.556852
26.0,26,25.681924
13.0,13,25.765792
10.0,10,25.842914
14.0,14,25.941528
11.0,11,25.999972
10.0,10,26.065847
8.0,8,26.11436
44.0,44,26.363442
12.0,12,26.427376
27.0,27,26.579381
10.0,10,26.635391
16.0,16,26.722955
73.0,73,27.14136
18.0,18,27.231929
11.0,11,27.295258
14.0,14,27.380679
11.0,11,27.444778
10.0,10,27.497695
15.0,15,27.577872
13.0,13,27.659969
55.0,55,27.96228
11.0,11,28.039093
11.0,11,28.101635
89.0,89,28.585747
16.0,16,28.670775
11.0,11,28.726166
10.0,10,28.774232
10.0,10,28.827454
94.0,94,29.326027
11.0,11,29.397331
12.0,12,29.469413
11.0,11,29.532599
9.0,9,29.576674
45.0,45,29.828197
10.0,10,29.883296
9.0,9,29.93759
10.0,10,30.000782
63.0,63,30.416218
27.0,27,30.564124
10.0,10,30.621565
10.0,10,30.685774
10.0,10,30.750449
11.0,11,30.806205
10.0,10,30.859101
10.0,10,30.912461
10.0,10,30.971647
10.0,10,31.031801
66.0,66,31.389786
67.0,67,31.769857
12.0,12,31.829268
12.0,12,31.91094
9.0,9,31.95716
10.0,10,32.010665
10.0,10,32.088626
47.0,47,32.417983
10.0,10,32.475295
19.0,19,32.580224
10.0,10,32.633369
10.0,10,32.699774
8.0,8,32.749483
10.0,10,32.81883
12.0,12,32.886059
8.0,8,32.935463
9.0,9,32.98295
90.0,90,33.512439
9.0,9,33.559568
11.0,11,33.616959
10.0,10,33.668184
9.0,9,33.712863
17.0,17,33.81592
8.0,8,33.867388
11.0,11,33.925171
35.0,35,34.174661
10.0,10,34.226718
10.0,10,34.284852
11.0,11,34.366449
11.0,11,34.424324
9.0,9,34.469477
11.0,11,34.53248
11.0,11,34.587213
10.0,10,34.642379
11.0,11,34.702187
42.0,42,34.926149
13.0,13,34.9969
11.0,11,35.061498
84.0,84,35.583239
12.0,12,35.671292
69.0,69,36.085316
10.0,10,36.183664
11.0,11,36.241388
10.0,10,36.296096
10.0,10,36.349069
10.0,10,36.401547
11.0,11,36.463177
11.0,11,36.525581
9.0,9,36.57558
11.0,11,36.636064
13.0,13,36.706947
51.0,51,36.981248
12.0,12,37.068916
9.0,9,37.118959
10.0,10,37.16784
24.0,24,37.4021
16.0,16,37.486734
10.0,10,37.537497
10.0,10,37.594276
10.0,10,37.651099
8.0,8,37.731097
13.0,13,37.802042
10.0,10,37.860118
9.0,9,37.912098
8.0,8,37.953341
26.0,26,38.09825
22.0,22,38.207339
11.0,11,38.263119
8.0,8,38.302712
9.0,9,38.349058
12.0,12,38.407979
10.0,10,38.463683
10.0,10,38.530081
27.0,27,38.722786
10.0,10,38.7709
9.0,9,38.81692
10.0,10,38.877558
8.0,8,38.91784
9.0,9,38.962479
268.0,268,40.351027
9.0,9,40.399904
12.0,12,40.464597
330.0,330,42.326759
50.0,50,42.607495
9.0,9,42.65121
101.0,101,43.215516
12.0,12,43.278966
16.0,16,43.367152
9.0,9,43.427265
21.0,21,43.551637
10.0,10,43.607782
12.0,12,43.665107
9.0,9,43.715378
12.0,12,43.775326
25.0,25,43.908358
9.0,9,43.95755
142.0,142,44.727671
11.0,11,44.799011
12.0,12,44.874556
13.0,13,44.956362
35.0,35,45.152485
36.0,36,45.356133
41.0,41,45.577165
9.0,9,45.622173
12.0,12,45.68221
56.0,56,46.033922
12.0,12,46.095697
11.0,11,46.152675
115.0,115,46.747242
173.0,173,47.750484
106.0,106,48.379161
11.0,11,48.43554
111.0,111,49.034993
