#{"t_start": 1543465128.701869, "env_id": "CartPole-v1"}
r,l,t
67.0,67,1.630672
26.0,26,1.647753
31.0,31,1.668667
11.0,11,1.676078
29.0,29,1.695528
16.0,16,1.706301
20.0,20,1.718981
13.0,13,1.727617
14.0,14,1.737198
12.0,12,1.744725
18.0,18,1.756265
76.0,76,1.80471
25.0,25,1.820935
21.0,21,1.833855
13.0,13,1.841811
11.0,11,1.848474
30.0,30,1.86773
30.0,30,1.884388
56.0,56,1.917066
14.0,14,1.925432
41.0,41,1.949665
18.0,18,1.960763
15.0,15,1.97004
15.0,15,1.978113
63.0,63,2.016923
35.0,35,2.03884
24.0,24,2.054546
20.0,20,2.071616
18.0,18,2.082761
29.0,29,2.099185
11.0,11,2.105748
11.0,11,2.111614
18.0,18,2.124202
49.0,49,2.158041
31.0,31,2.17517
15.0,15,2.182998
23.0,23,2.195418
38.0,38,2.901018
13.0,13,2.95194
13.0,13,3.001703
49.0,49,3.186163
21.0,21,3.266905
37.0,37,3.413929
27.0,27,3.520253
17.0,17,3.588444
21.0,21,3.673803
13.0,13,3.727589
12.0,12,3.776115
14.0,14,3.83138
13.0,13,3.88768
14.0,14,3.943622
16.0,16,4.004234
46.0,46,4.180685
20.0,20,4.249188
53.0,53,4.40355
27.0,27,4.477297
13.0,13,4.513908
19.0,19,4.572527
24.0,24,4.645394
14.0,14,4.691597
13.0,13,4.742039
12.0,12,4.792161
10.0,10,4.830412
32.0,32,4.963588
13.0,13,5.031911
41.0,41,5.204823
11.0,11,5.248342
34.0,34,5.397472
37.0,37,5.56225
26.0,26,5.675516
15.0,15,5.740527
31.0,31,5.880212
15.0,15,5.943622
15.0,15,6.006485
34.0,34,6.155047
23.0,23,6.252195
12.0,12,6.300307
22.0,22,6.395456
21.0,21,6.481974
17.0,17,6.551207
50.0,50,6.765045
52.0,52,6.973375
20.0,20,7.054985
33.0,33,7.187751
17.0,17,7.251892
17.0,17,7.325958
17.0,17,7.398285
9.0,9,7.435422
15.0,15,7.499418
17.0,17,7.572423
11.0,11,7.620795
31.0,31,7.754278
45.0,45,7.936643
30.0,30,8.085065
19.0,19,8.173322
31.0,31,8.309735
22.0,22,8.404154
65.0,65,8.811205
15.0,15,8.880045
18.0,18,8.958422
13.0,13,9.021414
27.0,27,9.152369
147.0,147,9.755773
63.0,63,10.063016
22.0,22,10.154663
35.0,35,10.309589
66.0,66,10.580378
37.0,37,10.726287
29.0,29,10.854987
81.0,81,11.196794
15.0,15,11.26184
30.0,30,11.387162
94.0,94,11.841127
50.0,50,12.057636
72.0,72,12.352989
16.0,16,12.416651
11.0,11,12.464627
55.0,55,12.693506
22.0,22,12.790911
35.0,35,12.940831
22.0,22,13.033618
22.0,22,13.136318
130.0,130,13.774314
27.0,27,13.88875
78.0,78,14.24793
109.0,109,14.708709
24.0,24,14.809705
27.0,27,14.92275
35.0,35,15.091817
13.0,13,15.144829
40.0,40,15.304848
37.0,37,15.460767
18.0,18,15.53135
15.0,15,15.593229
29.0,29,15.722494
16.0,16,15.789444
52.0,52,16.021444
30.0,30,16.15758
17.0,17,16.231033
33.0,33,16.380478
20.0,20,16.46395
25.0,25,16.574785
19.0,19,16.660732
13.0,13,16.726346
36.0,36,16.872457
34.0,34,17.034588
71.0,71,17.350344
22.0,22,17.445987
15.0,15,17.514289
27.0,27,17.625777
40.0,40,17.787541
47.0,47,17.991523
43.0,43,18.169949
18.0,18,18.252123
39.0,39,18.42207
47.0,47,18.670362
48.0,48,18.870449
104.0,104,19.316225
13.0,13,19.419502
21.0,21,19.518379
38.0,38,19.701124
22.0,22,19.803374
41.0,41,20.000587
91.0,91,20.413041
21.0,21,20.500279
12.0,12,20.553781
17.0,17,20.626867
46.0,46,20.826214
22.0,22,20.935192
23.0,23,21.037374
16.0,16,21.107504
33.0,33,21.252105
24.0,24,21.366206
15.0,15,21.440777
40.0,40,21.612473
17.0,17,21.70397
16.0,16,21.773064
47.0,47,21.978461
18.0,18,22.062698
30.0,30,22.193341
19.0,19,22.274299
20.0,20,22.366572
54.0,54,22.581907
28.0,28,22.702298
105.0,105,23.175362
100.0,100,23.622079
31.0,31,23.751077
22.0,22,23.845843
40.0,40,24.024314
53.0,53,24.259547
13.0,13,24.321326
310.0,310,25.668606
14.0,14,25.73627
20.0,20,25.831889
19.0,19,25.927186
256.0,256,27.017084
13.0,13,27.074838
17.0,17,27.155071
24.0,24,27.255137
25.0,25,27.358173
17.0,17,27.431679
92.0,92,27.819842
81.0,81,28.20315
35.0,35,28.354137
18.0,18,28.441917
302.0,302,29.77345
