#{"t_start": 1543465128.692676, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.774692
-200.0,200,3.105687
-200.0,200,3.469575
-200.0,200,3.835665
-200.0,200,4.179413
-200.0,200,5.903514
-200.0,200,6.939989
-200.0,200,8.109937
-200.0,200,9.43459
-200.0,200,10.595506
-200.0,200,11.626468
-200.0,200,12.73308
-200.0,200,13.937553
-200.0,200,15.094122
-200.0,200,16.169451
-200.0,200,17.436207
-200.0,200,18.564301
-200.0,200,19.792892
-200.0,200,20.897733
-200.0,200,22.11077
-200.0,200,23.194278
-200.0,200,24.326321
-200.0,200,25.425565
-200.0,200,26.653038
-200.0,200,27.780054
-200.0,200,28.876383
-200.0,200,29.993715
-200.0,200,31.268876
-200.0,200,32.529368
-200.0,200,33.796749
-200.0,200,35.013132
-200.0,200,36.265929
-200.0,200,37.390266
-200.0,200,38.474953
-200.0,200,39.590544
-200.0,200,40.715331
-200.0,200,41.979414
-200.0,200,43.061477
-200.0,200,44.210823
-200.0,200,45.35522
-200.0,200,46.426595
-200.0,200,47.562936
-200.0,200,48.65456
-200.0,200,49.875329
-200.0,200,51.052876
-200.0,200,52.113601
-200.0,200,53.169125
-200.0,200,54.277089
-200.0,200,55.378314
-200.0,200,56.510302
-200.0,200,57.722721
-200.0,200,58.922865
-200.0,200,60.083484
-200.0,200,61.207716
-200.0,200,62.407644
-200.0,200,63.524154
-200.0,200,64.826195
-200.0,200,65.93477
-200.0,200,67.141453
-200.0,200,68.306649
-200.0,200,69.496308
-200.0,200,70.759561
-200.0,200,71.859682
-200.0,200,73.105151
-200.0,200,74.304567
-200.0,200,75.476416
-200.0,200,76.541325
-200.0,200,77.646837
-200.0,200,78.726279
-200.0,200,79.99858
-200.0,200,81.264733
-200.0,200,82.415947
-200.0,200,83.59728
-200.0,200,84.687436
-200.0,200,85.875512
-200.0,200,86.926483
-200.0,200,88.093599
-200.0,200,89.271347
-200.0,200,90.423635
-200.0,200,91.446008
-200.0,200,92.48145
-200.0,200,93.593726
-200.0,200,94.726875
-200.0,200,95.777737
-200.0,200,96.866878
-200.0,200,97.975666
-200.0,200,99.183879
-200.0,200,100.257989
-200.0,200,101.439327
-200.0,200,102.536402
-200.0,200,103.561791
-200.0,200,104.676413
-200.0,200,105.862474
-200.0,200,106.98931
-200.0,200,108.076843
-200.0,200,109.137593
-200.0,200,110.281458
-200.0,200,111.35615
-200.0,200,112.577667
-200.0,200,113.659869
-200.0,200,114.803484
-200.0,200,115.811781
-200.0,200,116.868532
-200.0,200,118.010102
-200.0,200,119.032457
-200.0,200,120.106983
-200.0,200,121.17807
-200.0,200,122.194033
-200.0,200,123.251886
-200.0,200,124.402214
-200.0,200,125.563339
-200.0,200,126.652343
-200.0,200,127.81198
-200.0,200,128.908774
-200.0,200,130.000506
-200.0,200,130.984883
-200.0,200,132.044826
-200.0,200,133.193988
-200.0,200,134.319834
-200.0,200,135.415537
-200.0,200,136.561521
-200.0,200,137.58386
-200.0,200,138.668997
-200.0,200,139.718803
-200.0,200,140.795214
-200.0,200,141.878646
-200.0,200,142.963297
-200.0,200,144.11228
-200.0,200,145.231596
-200.0,200,146.258254
-200.0,200,147.272477
-200.0,200,148.294349
-200.0,200,149.411195
-200.0,200,150.416327
-200.0,200,151.482364
-200.0,200,152.527616
-200.0,200,153.58264
-200.0,200,154.660068
-200.0,200,155.745239
-200.0,200,156.950699
-200.0,200,158.02598
-200.0,200,159.117745
-200.0,200,160.18178
-200.0,200,161.291504
-200.0,200,162.303584
-200.0,200,163.373882
-200.0,200,164.42154
-200.0,200,165.447934
-200.0,200,166.593628
-200.0,200,167.620716
-200.0,200,168.746277
-200.0,200,169.78541
-200.0,200,170.819863
-200.0,200,171.907161
-200.0,200,172.934283
-200.0,200,174.029124
-200.0,200,175.139204
-200.0,200,176.19821
-200.0,200,177.24492
-200.0,200,178.319382
-200.0,200,179.408891
-200.0,200,180.449494
-200.0,200,181.46956
-200.0,200,182.487774
-200.0,200,183.535952
-200.0,200,184.548838
-200.0,200,185.676513
-200.0,200,186.812356
-200.0,200,187.848821
-200.0,200,188.948481
-200.0,200,189.992513
-200.0,200,191.052285
-200.0,200,192.110101
-200.0,200,193.278328
-200.0,200,194.353351
-200.0,200,195.573025
-200.0,200,196.670604
-200.0,200,197.748265
-200.0,200,198.80293
-200.0,200,199.890635
-200.0,200,200.998185
-200.0,200,202.105791
-200.0,200,203.188045
-200.0,200,204.1959
-200.0,200,205.280319
-200.0,200,206.311834
-200.0,200,207.339606
-200.0,200,208.414592
-200.0,200,209.41624
-200.0,200,210.469915
-200.0,200,211.515725
-200.0,200,212.533962
-200.0,200,213.567525
-200.0,200,214.593581
-200.0,200,215.634235
-200.0,200,216.685629
-200.0,200,217.739951
-200.0,200,218.85177
-200.0,200,220.016667
-200.0,200,221.127466
-200.0,200,222.211827
-200.0,200,223.251235
-200.0,200,224.291654
-200.0,200,225.371803
-200.0,200,226.47025
-200.0,200,227.520346
-200.0,200,228.635525
-200.0,200,229.692803
-200.0,200,230.795966
-200.0,200,231.82263
-200.0,200,232.864318
-200.0,200,233.862128
-200.0,200,234.893392
-200.0,200,235.904458
-200.0,200,236.919819
-200.0,200,237.932578
-200.0,200,239.01788
-200.0,200,240.07757
-200.0,200,241.12756
-200.0,200,242.137145
-200.0,200,243.151108
-200.0,200,244.260256
-200.0,200,245.34467
-200.0,200,246.410425
-200.0,200,247.512212
-200.0,200,248.555034
-200.0,200,249.667364
-200.0,200,250.647682
-200.0,200,251.634166
-200.0,200,252.660289
-200.0,200,253.719563
-200.0,200,254.753082
-200.0,200,255.762336
-200.0,200,256.766295
-200.0,200,257.805858
-200.0,200,258.828044
-200.0,200,259.830799
-200.0,200,260.822159
-200.0,200,261.851057
-200.0,200,262.842766
-200.0,200,263.868109
-200.0,200,264.946627
-200.0,200,265.967971
-200.0,200,267.073855
-200.0,200,268.199004
-200.0,200,269.314399
-200.0,200,270.445755
-200.0,200,271.40955
-200.0,200,272.447579
-200.0,200,273.534509
-200.0,200,274.635267
-200.0,200,275.683191
-200.0,200,276.690884
-200.0,200,277.752032
-200.0,200,278.751143
-200.0,200,279.760263
-200.0,200,280.863744
-200.0,200,282.103659
-200.0,200,283.124724
-200.0,200,284.090084
-200.0,200,285.28119
-200.0,200,286.313963
-200.0,200,287.293174
-200.0,200,288.244379
-200.0,200,289.363694
-200.0,200,290.374659
-200.0,200,291.375594
-200.0,200,292.440094
-200.0,200,293.463009
-200.0,200,294.459272
-200.0,200,295.447104
