#{"t_start": 1543465128.7001183, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.72526
-200.0,200,3.070369
-200.0,200,3.411256
-200.0,200,3.757143
-200.0,200,4.097559
-200.0,200,5.809886
-200.0,200,6.895232
-200.0,200,7.98456
-200.0,200,9.316192
-200.0,200,10.370823
-200.0,200,11.462357
-200.0,200,12.624846
-200.0,200,13.796837
-200.0,200,14.886427
-200.0,200,16.11276
-200.0,200,17.349956
-200.0,200,18.440256
-200.0,200,19.64359
-200.0,200,20.739295
-200.0,200,22.022292
-200.0,200,23.076319
-200.0,200,24.1853
-200.0,200,25.270342
-200.0,200,26.43175
-200.0,200,27.4789
-200.0,200,28.649468
-200.0,200,29.758063
-200.0,200,30.998232
-200.0,200,32.141632
-200.0,200,33.449603
-200.0,200,34.653329
-200.0,200,35.808386
-200.0,200,36.97349
-200.0,200,38.084901
-200.0,200,39.209009
-200.0,200,40.290433
-200.0,200,41.443052
-200.0,200,42.604592
-200.0,200,43.761766
-200.0,200,44.934492
-200.0,200,46.039713
-200.0,200,47.117733
-200.0,200,48.334635
-200.0,200,49.455907
-200.0,200,50.57253
-200.0,200,51.716835
-200.0,200,52.783754
-200.0,200,53.797885
-200.0,200,54.916707
-200.0,200,55.9932
-200.0,200,57.17836
-200.0,200,58.327528
-200.0,200,59.405108
-200.0,200,60.519218
-200.0,200,61.700942
-200.0,200,62.808363
-200.0,200,64.001484
-200.0,200,65.109174
-200.0,200,66.268028
-200.0,200,67.409542
-200.0,200,68.504409
-200.0,200,69.596947
-200.0,200,70.792596
-200.0,200,71.872781
-200.0,200,73.162221
-200.0,200,74.291608
-200.0,200,75.368177
-200.0,200,76.429728
-200.0,200,77.497293
-200.0,200,78.529178
-200.0,200,79.795114
-200.0,200,80.891098
-200.0,200,81.965237
-200.0,200,83.123558
-200.0,200,84.19377
-200.0,200,85.31709
-200.0,200,86.421159
-200.0,200,87.530411
-200.0,200,88.641747
-200.0,200,89.701347
-200.0,200,90.870852
-200.0,200,91.905306
-200.0,200,92.975724
-200.0,200,94.122671
-200.0,200,95.180231
-200.0,200,96.25289
-200.0,200,97.278403
-200.0,200,98.412333
-200.0,200,99.51732
-200.0,200,100.569057
-200.0,200,101.683768
-200.0,200,102.798298
-200.0,200,103.876052
-200.0,200,104.949536
-200.0,200,106.146154
-200.0,200,107.214564
-200.0,200,108.300044
-200.0,200,109.429902
-200.0,200,110.53621
-200.0,200,111.667637
-200.0,200,112.741009
-200.0,200,113.79001
-200.0,200,114.933858
-200.0,200,115.988577
-200.0,200,117.029741
-200.0,200,118.159283
-200.0,200,119.17542
-200.0,200,120.29292
-200.0,200,121.293133
-200.0,200,122.34241
-200.0,200,123.380265
-200.0,200,124.452913
-200.0,200,125.606087
-200.0,200,126.629381
-200.0,200,127.678838
-200.0,200,128.797327
-200.0,200,129.874246
-200.0,200,130.864918
-200.0,200,131.950764
-200.0,200,133.056692
-200.0,200,134.128479
-200.0,200,135.164039
-200.0,200,136.324253
-200.0,200,137.366318
-200.0,200,138.430521
-200.0,200,139.498959
-200.0,200,140.551937
-200.0,200,141.622743
-200.0,200,142.689928
-200.0,200,143.891593
-200.0,200,145.054508
-200.0,200,146.106314
-200.0,200,147.136451
-200.0,200,148.176759
-200.0,200,149.271844
-200.0,200,150.282113
-200.0,200,151.352983
-200.0,200,152.45379
-200.0,200,153.591245
-200.0,200,154.66717
-200.0,200,155.72541
-200.0,200,156.873025
-200.0,200,157.897436
-200.0,200,158.954496
-200.0,200,159.995438
-200.0,200,161.093024
-200.0,200,162.108181
-200.0,200,163.178356
-200.0,200,164.282822
-200.0,200,165.307006
-200.0,200,166.468688
-200.0,200,167.493121
-200.0,200,168.55208
-200.0,200,169.588651
-200.0,200,170.585588
-200.0,200,171.633853
-200.0,200,172.728505
-200.0,200,173.751266
-200.0,200,174.859198
-200.0,200,175.942592
-200.0,200,177.003924
-200.0,200,178.041284
-200.0,200,179.188284
-200.0,200,180.26076
-200.0,200,181.327702
-200.0,200,182.367766
-200.0,200,183.400216
-200.0,200,184.446272
-200.0,200,185.522858
-200.0,200,186.565513
-200.0,200,187.606893
-200.0,200,188.690966
-200.0,200,189.745129
-200.0,200,190.805171
-200.0,200,191.844849
-200.0,200,192.948265
-200.0,200,194.046413
-200.0,200,195.163934
-200.0,200,196.22434
-200.0,200,197.400925
-200.0,200,198.428961
-200.0,200,199.481784
-200.0,200,200.556281
-200.0,200,201.664241
-200.0,200,202.688013
-200.0,200,203.78997
-200.0,200,204.833066
-200.0,200,205.915131
-200.0,200,206.916491
-200.0,200,208.039211
-200.0,200,209.064971
-200.0,200,210.094635
-200.0,200,211.128751
-200.0,200,212.182466
-200.0,200,213.224048
-200.0,200,214.27416
-200.0,200,215.340375
-200.0,200,216.39786
-200.0,200,217.461053
-200.0,200,218.530943
-200.0,200,219.602699
-200.0,200,220.632905
-200.0,200,221.665905
-200.0,200,222.697019
-200.0,200,223.749998
-200.0,200,224.901335
-200.0,200,225.984898
-200.0,200,227.078114
-200.0,200,228.170098
-200.0,200,229.162281
-200.0,200,230.246284
-200.0,200,231.274488
-200.0,200,232.298629
-200.0,200,233.350646
-200.0,200,234.391696
-200.0,200,235.403546
-200.0,200,236.44406
-200.0,200,237.469135
-200.0,200,238.529325
-200.0,200,239.608806
-200.0,200,240.676001
-200.0,200,241.693399
-200.0,200,242.703707
-200.0,200,243.79317
-200.0,200,244.847198
-200.0,200,245.961015
-200.0,200,246.987308
-200.0,200,248.094204
-200.0,200,249.156595
-200.0,200,250.157474
-200.0,200,251.151842
-200.0,200,252.197976
-200.0,200,253.254901
-200.0,200,254.270979
-200.0,200,255.306166
-200.0,200,256.322248
-200.0,200,257.407696
-200.0,200,258.427254
-200.0,200,259.488105
-200.0,200,260.463834
-200.0,200,261.467153
-200.0,200,262.504072
-200.0,200,263.533071
-200.0,200,264.635801
-200.0,200,265.758573
-200.0,200,266.810832
-200.0,200,267.853298
-200.0,200,268.896446
-200.0,200,270.026173
-200.0,200,271.057781
-200.0,200,272.125526
-200.0,200,273.159286
-200.0,200,274.2876
-200.0,200,275.320245
-200.0,200,276.345216
-200.0,200,277.403033
-200.0,200,278.420791
-200.0,200,279.448471
-200.0,200,280.48393
-200.0,200,281.524197
-200.0,200,282.715153
-200.0,200,283.658759
-200.0,200,284.706569
-200.0,200,285.639387
-200.0,200,286.604961
-200.0,200,287.584401
-200.0,200,288.570525
-200.0,200,289.589722
-200.0,200,290.605865
-200.0,200,291.654915
-200.0,200,292.659765
-200.0,200,293.640657
-200.0,200,294.654939
-200.0,200,295.642402
-200.0,200,296.679614
-200.0,200,297.699094
-200.0,200,298.711229
-200.0,200,299.754265
-200.0,200,300.773409
-200.0,200,301.80685
-200.0,200,302.801706
-200.0,200,303.933035
-200.0,200,305.032518
-200.0,200,306.0444
-200.0,200,307.091738
-200.0,200,308.182868
-200.0,200,309.191078
-200.0,200,310.222473
-200.0,200,311.321196
