#{"t_start": 1543466051.1710305, "env_id": "Acrobot-v1"}
r,l,t
-122.0,123,2.536036
-500.0,500,3.540505
-500.0,500,5.588634
-500.0,500,8.643504
-500.0,500,11.877853
-500.0,500,15.109697
-111.0,112,15.795881
-110.0,111,16.452908
-500.0,500,19.482048
-500.0,500,22.55927
-500.0,500,25.624214
-500.0,500,28.679132
-500.0,500,31.807045
-500.0,500,34.884166
-500.0,500,38.038023
-103.0,104,38.709324
-500.0,500,41.764708
-500.0,500,44.901792
-500.0,500,47.922256
-500.0,500,51.052874
-131.0,132,51.899547
-500.0,500,54.945376
-500.0,500,58.07306
-500.0,500,61.105964
-500.0,500,64.072047
-500.0,500,66.978951
-91.0,92,67.529916
-500.0,500,70.569359
-210.0,211,71.834294
-500.0,500,74.95708
-500.0,500,77.888333
-500.0,500,80.852996
-500.0,500,83.908137
-500.0,500,86.767127
-500.0,500,89.630787
-500.0,500,92.602332
-500.0,500,95.518894
-500.0,500,98.473182
-120.0,121,99.176296
-500.0,500,102.088251
-500.0,500,104.968562
-500.0,500,107.851464
-500.0,500,110.765746
-500.0,500,113.744601
-500.0,500,116.682763
-500.0,500,119.579008
-500.0,500,122.452482
-207.0,208,123.68991
-500.0,500,126.587276
-113.0,114,127.220232
-500.0,500,130.117391
-500.0,500,133.085856
-500.0,500,136.155165
-500.0,500,138.993272
-500.0,500,141.910475
-500.0,500,144.744429
-500.0,500,147.650983
-276.0,277,149.265016
-500.0,500,152.103954
-500.0,500,155.011237
-500.0,500,157.8665
-500.0,500,160.719285
-500.0,500,163.665706
-71.0,72,164.078709
-500.0,500,167.008048
-500.0,500,169.918608
-500.0,500,172.764735
-153.0,154,173.611927
-500.0,500,176.543123
-190.0,191,177.625988
-145.0,146,178.44709
-85.0,86,178.939205
-500.0,500,181.838666
-70.0,71,182.227528
-500.0,500,185.169085
-113.0,114,185.866357
-85.0,86,186.361575
-98.0,99,186.969089
-500.0,500,189.955148
-500.0,500,192.773527
-117.0,118,193.415903
-500.0,500,196.38221
-500.0,500,199.144136
-175.0,176,200.151729
-103.0,104,200.6903
-82.0,83,201.15158
-500.0,500,203.988047
-111.0,112,204.618581
-112.0,113,205.262975
-90.0,91,205.796378
-500.0,500,208.647398
-500.0,500,211.520621
-500.0,500,214.274081
-105.0,106,214.86001
-76.0,77,215.320176
-102.0,103,215.896271
-500.0,500,218.825633
-500.0,500,221.761724
-122.0,123,222.475126
-500.0,500,225.323876
-500.0,500,228.123487
