#{"t_start": 1543466051.1688898, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.332109
10.0,10,2.351173
10.0,10,2.370975
9.0,9,2.387565
9.0,9,2.404687
10.0,10,2.425364
10.0,10,2.444486
10.0,10,2.462461
11.0,11,2.481503
9.0,9,2.496215
9.0,9,2.511505
10.0,10,2.531432
9.0,9,2.546974
37.0,37,2.615285
10.0,10,2.639052
10.0,10,2.655658
12.0,12,2.67589
17.0,17,2.703861
9.0,9,2.718152
27.0,27,2.7628
15.0,15,2.790829
9.0,9,2.809591
10.0,10,2.829075
9.0,9,2.845058
9.0,9,2.8646
12.0,12,2.888351
11.0,11,2.911331
10.0,10,2.935115
10.0,10,2.955558
12.0,12,2.988603
147.0,147,3.270153
11.0,11,3.291171
11.0,11,3.317042
10.0,10,3.335582
9.0,9,3.351374
10.0,10,3.372339
15.0,15,3.408534
21.0,21,3.478235
10.0,10,3.498804
9.0,9,3.516438
10.0,10,3.536103
34.0,34,3.613331
232.0,232,4.066389
10.0,10,4.085046
19.0,19,4.118086
8.0,8,4.1334
9.0,9,4.152276
8.0,8,4.166874
9.0,9,4.182806
10.0,10,4.201662
36.0,36,4.25823
9.0,9,4.272274
44.0,44,5.125596
9.0,9,5.174942
11.0,11,5.238608
13.0,13,5.310747
9.0,9,5.356937
9.0,9,5.404891
10.0,10,5.464915
12.0,12,5.523497
10.0,10,5.577126
9.0,9,5.624682
44.0,44,5.862686
12.0,12,5.936821
9.0,9,5.983071
9.0,9,6.031025
9.0,9,6.079013
10.0,10,6.133999
9.0,9,6.184017
500.0,500,9.06567
11.0,11,9.129132
8.0,8,9.176453
13.0,13,9.251806
13.0,13,9.328187
9.0,9,9.378069
12.0,12,9.444132
11.0,11,9.521537
10.0,10,9.580543
11.0,11,9.645659
11.0,11,9.71539
11.0,11,9.780507
9.0,9,9.843018
9.0,9,9.908056
16.0,16,10.017047
10.0,10,10.099375
9.0,9,10.154896
9.0,9,10.203613
8.0,8,10.26694
11.0,11,10.326745
9.0,9,10.37356
11.0,11,10.431713
11.0,11,10.502954
11.0,11,10.565935
46.0,46,10.880627
12.0,12,10.949641
10.0,10,11.014062
13.0,13,11.095694
19.0,19,11.214169
11.0,11,11.283988
9.0,9,11.33166
12.0,12,11.396269
12.0,12,11.463716
9.0,9,11.51226
16.0,16,11.606721
9.0,9,11.656952
27.0,27,11.812257
11.0,11,11.876976
11.0,11,11.93868
12.0,12,11.997722
13.0,13,12.064112
11.0,11,12.122697
10.0,10,12.1807
8.0,8,12.225597
9.0,9,12.272412
10.0,10,12.324161
8.0,8,12.363315
28.0,28,12.520069
8.0,8,12.567194
92.0,92,13.118942
66.0,66,13.479516
10.0,10,13.556556
46.0,46,13.839867
10.0,10,13.895163
10.0,10,13.958419
13.0,13,14.037151
28.0,28,14.19859
11.0,11,14.258338
56.0,56,14.586581
76.0,76,15.028355
9.0,9,15.093291
10.0,10,15.150884
21.0,21,15.267592
9.0,9,15.324817
9.0,9,15.376295
10.0,10,15.433106
9.0,9,15.494028
29.0,29,15.66905
10.0,10,15.727274
9.0,9,15.776158
14.0,14,15.858682
10.0,10,15.912657
12.0,12,16.000976
11.0,11,16.064435
10.0,10,16.12589
12.0,12,16.187319
9.0,9,16.230819
10.0,10,16.288464
10.0,10,16.339972
10.0,10,16.412452
10.0,10,16.465014
13.0,13,16.535025
17.0,17,16.630163
12.0,12,16.700629
9.0,9,16.750421
28.0,28,16.912893
13.0,13,16.987489
10.0,10,17.044285
20.0,20,17.183592
9.0,9,17.232794
24.0,24,17.383346
9.0,9,17.443588
9.0,9,17.498291
91.0,91,18.020027
10.0,10,18.079199
9.0,9,18.134734
9.0,9,18.186553
12.0,12,18.283613
13.0,13,18.373502
85.0,85,18.935513
9.0,9,18.991178
9.0,9,19.044681
9.0,9,19.114284
9.0,9,19.166955
10.0,10,19.232366
12.0,12,19.309976
9.0,9,19.373048
11.0,11,19.439723
10.0,10,19.501606
79.0,79,19.972371
26.0,26,20.113056
10.0,10,20.176248
9.0,9,20.230446
86.0,86,20.771456
47.0,47,21.055356
12.0,12,21.134103
12.0,12,21.20418
14.0,14,21.280475
9.0,9,21.329737
10.0,10,21.392944
10.0,10,21.450613
9.0,9,21.498209
12.0,12,21.565416
9.0,9,21.624775
9.0,9,21.6793
17.0,17,21.770626
8.0,8,21.815963
10.0,10,21.871404
10.0,10,21.926087
12.0,12,21.991316
9.0,9,22.04016
10.0,10,22.105697
39.0,39,22.359365
8.0,8,22.404713
10.0,10,22.464813
10.0,10,22.5238
9.0,9,22.581913
13.0,13,22.659492
31.0,31,22.840844
39.0,39,23.098191
10.0,10,23.16566
13.0,13,23.257191
10.0,10,23.317781
10.0,10,23.384727
8.0,8,23.435475
12.0,12,23.516153
10.0,10,23.581149
11.0,11,23.652864
12.0,12,23.739686
12.0,12,23.814162
40.0,40,24.048057
11.0,11,24.112507
10.0,10,24.16175
10.0,10,24.218852
10.0,10,24.273363
11.0,11,24.33511
500.0,500,27.405871
10.0,10,27.472597
10.0,10,27.5347
10.0,10,27.598948
41.0,41,27.873692
16.0,16,27.972986
10.0,10,28.039852
14.0,14,28.120765
9.0,9,28.176352
25.0,25,28.312074
10.0,10,28.386554
11.0,11,28.451041
26.0,26,28.601332
19.0,19,28.718589
9.0,9,28.775747
9.0,9,28.830639
10.0,10,28.899927
10.0,10,28.953498
