#{"t_start": 1543466051.1702957, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.6781
-200.0,200,1.799082
-200.0,200,1.923485
-200.0,200,2.043107
-200.0,200,2.165102
-200.0,200,3.669597
-200.0,200,4.46124
-200.0,200,5.192036
-200.0,200,6.127724
-200.0,200,7.05157
-200.0,200,7.987061
-200.0,200,8.986665
-200.0,200,9.927319
-200.0,200,11.051296
-200.0,200,11.996178
-200.0,200,12.890688
-200.0,200,14.031258
-200.0,200,14.98262
-200.0,200,15.940346
-200.0,200,16.850064
-200.0,200,17.817229
-200.0,200,18.786754
-200.0,200,19.716429
-200.0,200,20.721831
-200.0,200,21.641914
-200.0,200,22.605039
-200.0,200,23.589883
-200.0,200,24.510365
-200.0,200,25.461141
-200.0,200,26.445945
-200.0,200,27.327846
-200.0,200,28.296349
-200.0,200,29.266593
-200.0,200,30.414274
-200.0,200,31.32871
-200.0,200,32.303594
-200.0,200,33.317533
-200.0,200,34.219182
-200.0,200,35.198679
-200.0,200,36.198921
-200.0,200,37.134838
-200.0,200,38.150845
-200.0,200,39.136025
-200.0,200,40.126923
-200.0,200,41.161408
-200.0,200,42.193032
-200.0,200,43.138612
-200.0,200,44.10667
-200.0,200,45.02358
-200.0,200,45.998668
-200.0,200,46.879025
-200.0,200,47.869061
-200.0,200,48.97507
-200.0,200,49.999708
-200.0,200,50.981241
-200.0,200,51.893063
-200.0,200,52.75635
-200.0,200,53.829236
-200.0,200,54.792902
-200.0,200,55.788553
-200.0,200,56.698035
-200.0,200,57.721067
-200.0,200,58.638825
-200.0,200,59.585012
-200.0,200,60.519242
-200.0,200,61.503715
-200.0,200,62.472286
-200.0,200,63.414553
-200.0,200,64.42546
-200.0,200,65.373454
-200.0,200,66.380998
-200.0,200,67.370414
-200.0,200,68.273936
-200.0,200,69.201122
-200.0,200,70.117908
-200.0,200,70.959104
-200.0,200,71.854777
-200.0,200,72.804747
-200.0,200,73.741179
-200.0,200,74.61721
-200.0,200,75.540296
-200.0,200,76.460418
-200.0,200,77.423812
-200.0,200,78.292785
-200.0,200,79.15873
-200.0,200,80.120653
-200.0,200,81.019216
-200.0,200,81.971869
-200.0,200,82.872686
-200.0,200,83.802904
-200.0,200,84.72405
-200.0,200,85.678291
-200.0,200,86.570055
-200.0,200,87.428769
-200.0,200,88.397783
-200.0,200,89.295804
-200.0,200,90.340907
-200.0,200,91.246059
-200.0,200,92.123921
-200.0,200,93.008657
-200.0,200,93.91046
-200.0,200,94.878967
-200.0,200,95.872623
-200.0,200,96.786391
-200.0,200,97.795506
-200.0,200,98.725662
-200.0,200,99.629273
-200.0,200,100.487222
-200.0,200,101.363667
-200.0,200,102.264084
-200.0,200,103.175634
-200.0,200,104.016455
-200.0,200,104.850645
-200.0,200,105.881447
-200.0,200,106.818597
-200.0,200,107.773726
-200.0,200,108.66427
-200.0,200,109.581651
-200.0,200,110.528526
-200.0,200,111.406534
-200.0,200,112.269852
-200.0,200,113.141809
-200.0,200,114.089943
-200.0,200,114.994063
-200.0,200,116.012225
-200.0,200,116.860578
-200.0,200,117.926594
-200.0,200,118.891078
-200.0,200,119.792514
-200.0,200,120.663232
-200.0,200,121.552576
-200.0,200,122.458516
-200.0,200,123.420737
-200.0,200,124.383074
-200.0,200,125.286693
-200.0,200,126.180402
-190.0,190,127.144016
-200.0,200,128.176179
-200.0,200,129.071778
-200.0,200,130.006975
-200.0,200,130.928432
-200.0,200,131.802401
-200.0,200,132.795327
-200.0,200,133.744103
-200.0,200,134.743843
-200.0,200,135.744429
-200.0,200,136.610336
-200.0,200,137.539416
-200.0,200,138.429178
-200.0,200,139.32438
-200.0,200,140.202714
-200.0,200,141.038182
-200.0,200,142.003867
-200.0,200,142.966655
-200.0,200,143.862756
-200.0,200,144.776343
-200.0,200,145.761675
-200.0,200,146.668459
-200.0,200,147.605251
-200.0,200,148.431051
-200.0,200,149.309984
-200.0,200,150.210937
-200.0,200,151.124886
-200.0,200,152.034461
-200.0,200,152.946866
-200.0,200,153.846972
-146.0,146,154.576878
-200.0,200,155.497836
-200.0,200,156.351936
-198.0,198,157.216975
-200.0,200,158.135158
-200.0,200,159.043142
-200.0,200,159.95669
-200.0,200,160.866284
-200.0,200,161.879997
-200.0,200,162.81289
