#{"t_start": 1543372978.9647055, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.652483
32.0,32,0.67406
41.0,41,0.701302
17.0,17,0.713826
86.0,86,0.767583
42.0,42,0.793301
14.0,14,0.803999
24.0,24,0.819366
11.0,11,0.825619
15.0,15,0.83551
11.0,11,0.842651
25.0,25,0.858529
20.0,20,0.871166
25.0,25,0.887002
16.0,16,0.898936
13.0,13,0.908134
15.0,15,0.917275
14.0,14,0.925478
14.0,14,0.93609
22.0,22,0.951938
15.0,15,0.962347
13.0,13,0.972091
13.0,13,0.98114
25.0,25,0.999904
16.0,16,1.010914
32.0,32,1.033034
13.0,13,1.043038
11.0,11,1.053022
42.0,42,1.10692
26.0,26,1.135651
21.0,21,1.184806
12.0,12,1.215725
18.0,18,1.269465
22.0,22,1.330217
28.0,28,1.361228
12.0,12,1.393425
19.0,19,1.437076
33.0,33,1.499918
12.0,12,1.519899
22.0,22,1.552514
36.0,36,1.614992
13.0,13,1.632546
31.0,31,1.685758
38.0,38,1.738811
39.0,39,2.064482
27.0,27,2.156761
9.0,9,2.189657
13.0,13,2.228942
11.0,11,2.269105
10.0,10,2.301848
19.0,19,2.358349
21.0,21,2.424793
48.0,48,2.579394
9.0,9,2.605608
27.0,27,2.682168
17.0,17,2.73204
18.0,18,2.78613
13.0,13,2.82441
16.0,16,2.873329
18.0,18,2.930568
13.0,13,2.9672
22.0,22,3.028693
16.0,16,3.076858
14.0,14,3.12187
13.0,13,3.160218
14.0,14,3.204672
18.0,18,3.271548
30.0,30,3.384005
30.0,30,3.478839
11.0,11,3.511739
21.0,21,3.584083
12.0,12,3.640038
14.0,14,3.68986
19.0,19,3.763629
35.0,35,3.9008
44.0,44,4.043253
15.0,15,4.087998
18.0,18,4.135296
24.0,24,4.206216
18.0,18,4.27026
20.0,20,4.33962
25.0,25,4.422681
48.0,48,4.574358
36.0,36,4.690712
49.0,49,4.856045
17.0,17,4.910822
22.0,22,4.986081
8.0,8,5.014088
26.0,26,5.086992
31.0,31,5.190685
28.0,28,5.275148
19.0,19,5.349461
35.0,35,5.485729
30.0,30,5.583299
24.0,24,5.662021
14.0,14,5.706795
25.0,25,5.787961
26.0,26,5.876973
14.0,14,5.921666
54.0,54,6.111949
13.0,13,6.148631
10.0,10,6.180979
19.0,19,6.244071
31.0,31,6.351387
40.0,40,6.481524
25.0,25,6.570823
17.0,17,6.621094
39.0,39,6.740708
26.0,26,6.822602
20.0,20,6.87958
26.0,26,6.961147
67.0,67,7.162319
15.0,15,7.209402
28.0,28,7.289115
19.0,19,7.342465
43.0,43,7.486818
27.0,27,7.591038
31.0,31,7.710683
26.0,26,7.836759
50.0,50,8.381593
14.0,14,8.470159
13.0,13,8.539832
20.0,20,8.610232
32.0,32,8.717163
28.0,28,8.84116
60.0,60,9.082152
84.0,84,9.394922
26.0,26,9.472309
33.0,33,9.66527
26.0,26,9.791967
35.0,35,9.923809
52.0,52,10.101077
63.0,63,10.444595
25.0,25,10.536324
79.0,79,10.792866
57.0,57,11.010904
14.0,14,11.054892
48.0,48,11.213969
93.0,93,11.53231
69.0,69,11.748043
22.0,22,11.839653
25.0,25,11.935665
54.0,54,12.104403
69.0,69,12.329549
29.0,29,12.439852
57.0,57,12.665134
83.0,83,12.963533
26.0,26,13.044354
10.0,10,13.073669
76.0,76,13.315991
34.0,34,13.438363
96.0,96,13.759078
23.0,23,13.836647
55.0,55,14.035517
102.0,102,14.372623
96.0,96,14.707583
50.0,50,14.91989
137.0,137,15.553067
11.0,11,15.615697
12.0,12,15.681401
64.0,64,15.949414
23.0,23,16.033384
62.0,62,16.298347
80.0,80,16.627018
104.0,104,17.074703
13.0,13,17.116879
146.0,146,17.783033
110.0,110,18.194719
111.0,111,18.633504
100.0,100,19.070108
98.0,98,19.431797
60.0,60,19.651211
144.0,144,20.47437
59.0,59,20.643414
119.0,119,21.075627
134.0,134,21.609601
129.0,129,22.168839
110.0,110,22.548832
86.0,86,22.885652
209.0,209,23.740718
147.0,147,24.369492
277.0,277,25.528724
62.0,62,25.797256
334.0,334,27.336219
143.0,143,27.935965
64.0,64,28.456704
214.0,214,29.409485
209.0,209,30.264617
166.0,166,30.947359
24.0,24,31.062378
153.0,153,31.734108
256.0,256,32.951387
156.0,156,33.642253
246.0,246,34.595145
208.0,208,35.584279
134.0,134,36.166761
349.0,349,37.633891
221.0,221,38.564091
201.0,201,39.378431
138.0,138,39.908979
89.0,89,40.339188
325.0,325,41.617027
190.0,190,42.455867
78.0,78,42.809563
104.0,104,43.288734
103.0,103,43.784913
97.0,97,44.252464
248.0,248,45.208406
135.0,135,45.953754
145.0,145,46.532107
73.0,73,46.829946
154.0,154,47.44843
136.0,136,48.046952
137.0,137,48.619861
126.0,126,49.094909
128.0,128,49.584413
127.0,127,50.131048
119.0,119,50.587008
113.0,113,51.088724
121.0,121,51.516596
114.0,114,51.992369
115.0,115,52.419581
111.0,111,53.019897
119.0,119,53.466401
115.0,115,53.941405
119.0,119,54.375872
122.0,122,54.827908
121.0,121,55.341529
118.0,118,55.790424
122.0,122,56.252872
119.0,119,56.730117
101.0,101,57.091562
116.0,116,57.533983
117.0,117,58.028508
112.0,112,58.472476
94.0,94,58.83763
120.0,120,59.366091
113.0,113,59.815479
123.0,123,60.321849
115.0,115,60.645936
121.0,121,61.097831
124.0,124,61.50147
92.0,92,61.818665
107.0,107,62.252975
117.0,117,62.742168
123.0,123,63.122043
130.0,130,63.685488
110.0,110,64.097605
108.0,108,64.460618
119.0,119,64.887814
115.0,115,65.338674
114.0,114,65.786376
121.0,121,66.232771
115.0,115,66.677986
115.0,115,67.211246
105.0,105,67.725778
104.0,104,68.107209
105.0,105,68.523306
120.0,120,69.005595
