#{"t_start": 1543374835.1740656, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.676862
10.0,10,0.68341
19.0,19,0.695421
9.0,9,0.701072
12.0,12,0.708538
21.0,21,0.721559
11.0,11,0.728659
9.0,9,0.734303
23.0,23,0.748686
9.0,9,0.754413
20.0,20,0.766913
10.0,10,0.77318
31.0,31,0.793355
19.0,19,0.80504
26.0,26,0.82111
11.0,11,0.827918
10.0,10,0.834211
9.0,9,0.839958
9.0,9,0.845561
12.0,12,0.853084
10.0,10,0.859328
10.0,10,0.865541
32.0,32,0.8855
10.0,10,0.891768
9.0,9,0.897843
9.0,9,0.90354
11.0,11,0.910329
17.0,17,0.92103
38.0,38,0.944326
10.0,10,0.950548
47.0,47,0.98035
9.0,9,0.986025
9.0,9,0.991866
12.0,12,0.999327
10.0,10,1.005831
10.0,10,1.012264
131.0,131,1.094102
108.0,108,1.161448
12.0,12,1.169146
21.0,21,1.182176
9.0,9,1.187898
12.0,12,1.195508
12.0,12,1.203167
13.0,13,1.21137
9.0,9,1.21704
12.0,12,1.22457
14.0,14,1.233311
22.0,22,1.247133
15.0,15,1.256545
31.0,31,1.275892
12.0,12,1.283516
9.0,9,1.289388
10.0,10,1.295774
10.0,10,1.405142
9.0,9,1.419831
10.0,10,1.436127
13.0,13,1.457227
12.0,12,1.476577
10.0,10,1.492933
10.0,10,1.509331
11.0,11,1.527515
12.0,12,1.546872
15.0,15,1.571395
10.0,10,1.58793
11.0,11,1.605952
30.0,30,1.655525
22.0,22,1.691105
13.0,13,1.711949
11.0,11,1.72949
20.0,20,1.76155
11.0,11,1.779449
19.0,19,1.810003
11.0,11,1.827569
9.0,9,1.842265
10.0,10,1.858333
10.0,10,1.874383
36.0,36,1.932109
9.0,9,1.946749
11.0,11,1.964696
12.0,12,1.983956
33.0,33,2.036925
12.0,12,2.056198
38.0,38,2.117344
12.0,12,2.13673
8.0,8,2.149553
22.0,22,2.184958
42.0,42,2.252314
13.0,13,2.27318
9.0,9,2.287706
10.0,10,2.303643
62.0,62,2.402981
39.0,39,2.465724
