#{"t_start": 1543375546.559525, "env_id": "CartPole-v1"}
r,l,t
55.0,55,0.450299
22.0,22,0.458459
18.0,18,0.465107
10.0,10,0.46883
12.0,12,0.473315
20.0,20,0.480707
22.0,22,0.488877
20.0,20,0.496345
20.0,20,0.503724
24.0,24,0.512521
18.0,18,0.519162
40.0,40,0.533821
14.0,14,0.539027
9.0,9,0.542404
20.0,20,0.549786
61.0,61,0.572274
20.0,20,0.579646
11.0,11,0.583761
12.0,12,0.588201
11.0,11,0.592303
18.0,18,0.59898
15.0,15,0.605604
23.0,23,0.614912
13.0,13,0.619772
25.0,25,0.629364
41.0,41,0.644496
21.0,21,0.652273
20.0,20,0.659692
34.0,34,0.672354
27.0,27,0.682658
12.0,12,0.687191
20.0,20,0.694628
14.0,14,0.699823
38.0,38,0.715087
25.0,25,0.724808
16.0,16,0.730984
9.0,9,0.734523
18.0,18,0.741457
26.0,26,0.751495
23.0,23,0.760441
18.0,18,0.767456
43.0,43,0.78397
22.0,22,0.792505
27.0,27,0.802932
13.0,13,0.808012
10.0,10,0.920606
23.0,23,0.950459
14.0,14,0.968964
11.0,11,0.98458
19.0,19,1.010055
30.0,30,1.048643
9.0,9,1.061767
14.0,14,1.080871
30.0,30,1.121029
9.0,9,1.133598
11.0,11,1.148318
15.0,15,1.167991
16.0,16,1.189127
14.0,14,1.207467
14.0,14,1.225777
19.0,19,1.250631
13.0,13,1.268047
12.0,12,1.28423
13.0,13,1.301997
23.0,23,1.333483
11.0,11,1.348113
9.0,9,1.360097
12.0,12,1.375989
15.0,15,1.395664
30.0,30,1.434929
12.0,12,1.450697
27.0,27,1.486532
11.0,11,1.500978
11.0,11,1.516628
11.0,11,1.53172
12.0,12,1.54815
13.0,13,1.565863
14.0,14,1.585085
9.0,9,1.597402
10.0,10,1.611069
68.0,68,1.702883
26.0,26,1.738001
16.0,16,1.759803
13.0,13,1.777194
11.0,11,1.791991
17.0,17,1.815051
11.0,11,1.830024
10.0,10,1.843715
16.0,16,1.865473
11.0,11,1.880459
11.0,11,1.895436
9.0,9,1.907651
10.0,10,1.921164
12.0,12,1.937443
9.0,9,1.949742
31.0,31,1.992013
10.0,10,2.005672
17.0,17,2.028853
12.0,12,2.0451
11.0,11,2.060076
11.0,11,2.075114
13.0,13,2.092764
11.0,11,2.107919
12.0,12,2.12517
32.0,32,2.170613
10.0,10,2.183966
9.0,9,2.195893
10.0,10,2.210096
8.0,8,2.220759
10.0,10,2.233784
12.0,12,2.249957
9.0,9,2.262086
10.0,10,2.276014
9.0,9,2.288615
12.0,12,2.306
17.0,17,2.328504
17.0,17,2.350933
14.0,14,2.369444
19.0,19,2.394336
11.0,11,2.408895
42.0,42,2.46422
11.0,11,2.478711
53.0,53,2.549091
11.0,11,2.564431
12.0,12,2.580495
10.0,10,2.593903
10.0,10,2.607128
49.0,49,2.671461
22.0,22,2.700367
28.0,28,2.737002
46.0,46,2.797249
13.0,13,2.814389
14.0,14,2.832735
10.0,10,2.845754
49.0,49,2.909349
10.0,10,2.922705
11.0,11,2.937103
144.0,144,3.12474
114.0,114,3.273605
112.0,112,3.419634
125.0,125,3.582691
119.0,119,3.739184
171.0,171,3.963038
150.0,150,4.157904
122.0,122,4.316527
93.0,93,4.436838
165.0,165,4.648308
129.0,129,4.812901
115.0,115,4.959206
99.0,99,5.086112
118.0,118,5.240091
97.0,97,5.3664
103.0,103,5.499739
125.0,125,5.660621
129.0,129,5.827093
124.0,124,5.987115
102.0,102,6.118439
166.0,166,6.33258
136.0,136,6.507596
175.0,175,6.734169
146.0,146,6.922454
144.0,144,7.10798
128.0,128,7.273106
127.0,127,7.437434
117.0,117,7.588864
194.0,194,7.838543
197.0,197,8.092213
246.0,246,8.408662
164.0,164,8.61936
272.0,272,8.966742
195.0,195,9.216754
212.0,212,9.491133
164.0,164,9.702793
205.0,205,9.967971
169.0,169,10.187908
189.0,189,10.433858
145.0,145,10.62139
155.0,155,10.822421
133.0,133,10.994635
176.0,176,11.223433
125.0,125,11.386186
134.0,134,11.560595
140.0,140,11.743258
165.0,165,11.957743
174.0,174,12.298905
155.0,155,12.501305
146.0,146,12.69033
146.0,146,12.879474
136.0,136,13.055099
151.0,151,13.251922
149.0,149,13.446743
216.0,216,13.728316
182.0,182,13.966338
155.0,155,14.168322
165.0,165,14.383441
164.0,164,14.596764
141.0,141,14.779892
164.0,164,14.993251
156.0,156,15.195323
180.0,180,15.428694
165.0,165,15.641769
151.0,151,15.837613
132.0,132,16.008706
151.0,151,16.204618
136.0,136,16.380937
139.0,139,16.560814
142.0,142,16.744134
164.0,164,16.963576
157.0,157,17.178915
158.0,158,17.394531
151.0,151,17.600065
148.0,148,17.801976
168.0,168,18.026052
140.0,140,18.225338
141.0,141,18.416843
144.0,144,18.612639
143.0,143,18.807144
133.0,133,18.989532
147.0,147,19.188224
130.0,130,19.364781
167.0,167,19.589601
153.0,153,19.794822
145.0,145,19.989886
132.0,132,20.167403
120.0,120,20.328659
104.0,104,20.465796
119.0,119,20.619017
112.0,112,20.76649
126.0,126,20.932709
134.0,134,21.108963
127.0,127,21.282391
123.0,123,21.450771
128.0,128,21.62521
129.0,129,21.800881
124.0,124,21.969666
136.0,136,22.155097
117.0,117,22.313474
139.0,139,22.50088
124.0,124,22.667744
123.0,123,22.834625
136.0,136,23.0174
138.0,138,23.200729
133.0,133,23.393771
133.0,133,23.575567
133.0,133,23.758813
134.0,134,23.941804
133.0,133,24.121494
133.0,133,24.300748
124.0,124,24.471426
124.0,124,24.637473
116.0,116,24.788785
122.0,122,24.947016
124.0,124,25.112293
141.0,141,25.30299
120.0,120,25.465032
113.0,113,25.617676
123.0,123,25.783661
112.0,112,25.93681
120.0,120,26.098172
135.0,135,26.27963
144.0,144,26.473539
135.0,135,26.654872
127.0,127,26.825688
136.0,136,27.008103
164.0,164,27.230386
150.0,150,27.432392
201.0,201,27.702998
118.0,118,27.861336
155.0,155,28.070176
145.0,145,28.264834
129.0,129,28.436209
115.0,115,28.589024
122.0,122,28.751107
132.0,132,28.926746
215.0,215,29.215886
120.0,120,29.380251
129.0,129,29.54997
135.0,135,29.726611
147.0,147,29.917937
147.0,147,30.115722
145.0,145,30.311071
139.0,139,30.497035
136.0,136,30.679665
185.0,185,30.935775
136.0,136,31.12643
149.0,149,31.333485
160.0,160,31.555194
110.0,110,31.709445
114.0,114,31.866528
126.0,126,32.039126
105.0,105,32.182886
169.0,169,32.411449
132.0,132,32.587175
121.0,121,32.746878
