#{"t_start": 1543376440.4175787, "env_id": "CartPole-v1"}
r,l,t
9.0,9,0.705136
10.0,10,0.711634
9.0,9,0.717359
10.0,10,0.72372
9.0,9,0.729504
8.0,8,0.734666
9.0,9,0.740528
10.0,10,0.747029
9.0,9,0.752823
8.0,8,0.757889
10.0,10,0.764252
10.0,10,0.770753
9.0,9,0.776495
10.0,10,0.782795
10.0,10,0.789842
10.0,10,0.796606
8.0,8,0.801803
10.0,10,0.808882
9.0,9,0.81471
10.0,10,0.820979
9.0,9,0.826638
9.0,9,0.832302
11.0,11,0.839147
10.0,10,0.845444
10.0,10,0.851752
12.0,12,0.859342
31.0,31,0.878655
48.0,48,0.910857
10.0,10,0.917306
30.0,30,0.936193
9.0,9,0.941921
12.0,12,0.949616
11.0,11,0.956622
12.0,12,0.96413
10.0,10,0.970586
9.0,9,0.976413
13.0,13,0.984674
15.0,15,0.994081
9.0,9,0.999825
72.0,72,1.045188
12.0,12,1.052737
57.0,57,1.088475
12.0,12,1.096101
11.0,11,1.103158
10.0,10,1.109585
10.0,10,1.115838
12.0,12,1.123498
20.0,20,1.136004
9.0,9,1.141803
11.0,11,1.148755
28.0,28,1.166379
12.0,12,1.174061
11.0,11,1.180936
20.0,20,1.193619
12.0,12,1.201219
9.0,9,1.207053
9.0,9,1.212807
45.0,45,1.241012
43.0,43,1.268568
8.0,8,1.27373
12.0,12,1.281532
12.0,12,1.289304
12.0,12,1.297051
9.0,9,1.302873
13.0,13,1.31115
9.0,9,1.316972
10.0,10,1.323408
8.0,8,1.328713
52.0,52,1.496974
11.0,11,1.514481
9.0,9,1.528862
9.0,9,1.543216
12.0,12,1.562508
10.0,10,1.580014
12.0,12,1.600004
8.0,8,1.613285
96.0,96,1.770417
9.0,9,1.785358
36.0,36,1.843096
10.0,10,1.859049
9.0,9,1.87332
23.0,23,1.910881
19.0,19,1.941698
9.0,9,1.95622
15.0,15,1.980037
12.0,12,1.999028
13.0,13,2.01952
11.0,11,2.037157
9.0,9,2.052164
10.0,10,2.068794
9.0,9,2.083831
10.0,10,2.100014
10.0,10,2.116041
24.0,24,2.154428
21.0,21,2.187943
10.0,10,2.204123
12.0,12,2.223364
15.0,15,2.247385
13.0,13,2.268232
9.0,9,2.282512
30.0,30,2.330252
12.0,12,2.349447
10.0,10,2.36551
78.0,78,2.48878
28.0,28,2.53286
10.0,10,2.548735
12.0,12,2.567778
13.0,13,2.588439
10.0,10,2.604418
10.0,10,2.62034
11.0,11,2.637664
9.0,9,2.651964
10.0,10,2.667727
10.0,10,2.683573
9.0,9,2.69792
10.0,10,2.713698
10.0,10,2.729757
13.0,13,2.750351
500.0,500,3.538229
9.0,9,3.552365
9.0,9,3.566658
12.0,12,3.585574
12.0,12,3.60443
13.0,13,3.624806
9.0,9,3.639055
48.0,48,3.714245
12.0,12,3.733124
11.0,11,3.750406
39.0,39,3.812143
10.0,10,3.828143
47.0,47,3.90239
12.0,12,3.921474
9.0,9,3.935678
9.0,9,3.949939
12.0,12,3.969305
8.0,8,3.982013
10.0,10,3.99784
11.0,11,4.015293
11.0,11,4.032554
71.0,71,4.144987
10.0,10,4.160883
11.0,11,4.178344
10.0,10,4.194249
13.0,13,4.214998
10.0,10,4.23082
9.0,9,4.24504
9.0,9,4.259452
12.0,12,4.278245
12.0,12,4.297278
13.0,13,4.317937
10.0,10,4.333738
8.0,8,4.346236
13.0,13,4.366881
74.0,74,4.483175
10.0,10,4.499055
10.0,10,4.514881
12.0,12,4.533718
12.0,12,4.552818
9.0,9,4.567172
10.0,10,4.582938
13.0,13,4.603178
10.0,10,4.618985
11.0,11,4.636338
12.0,12,4.655076
16.0,16,4.680238
15.0,15,4.70367
10.0,10,4.719414
15.0,15,4.743118
14.0,14,4.765221
12.0,12,4.78411
10.0,10,4.799875
73.0,73,4.913419
12.0,12,4.93231
46.0,46,5.003994
11.0,11,5.021266
8.0,8,5.033852
11.0,11,5.051089
33.0,33,5.103029
86.0,86,5.237142
12.0,12,5.256034
11.0,11,5.273225
68.0,68,5.379695
11.0,11,5.396986
13.0,13,5.417448
12.0,12,5.436097
24.0,24,5.473388
10.0,10,5.489011
12.0,12,5.507746
11.0,11,5.524971
69.0,69,5.632763
9.0,9,5.646997
9.0,9,5.66116
12.0,12,5.680131
8.0,8,5.692744
56.0,56,5.779936
11.0,11,5.797212
14.0,14,5.819155
83.0,83,5.948979
51.0,51,6.028674
10.0,10,6.044443
10.0,10,6.060297
13.0,13,6.080751
13.0,13,6.101133
11.0,11,6.118322
10.0,10,6.134028
10.0,10,6.149753
59.0,59,6.241874
10.0,10,6.260098
12.0,12,6.280036
12.0,12,6.299234
10.0,10,6.315862
19.0,19,6.348373
12.0,12,6.367966
8.0,8,6.380646
9.0,9,6.395972
30.0,30,6.444952
8.0,8,6.457803
59.0,59,6.552097
72.0,72,6.668683
13.0,13,6.68988
13.0,13,6.710426
55.0,55,6.7994
51.0,51,6.879276
69.0,69,6.986994
70.0,70,7.096105
34.0,34,7.149373
20.0,20,7.180965
9.0,9,7.194927
107.0,107,7.362952
111.0,111,7.538167
19.0,19,7.568446
68.0,68,7.675608
12.0,12,7.694687
63.0,63,7.793716
23.0,23,7.83016
28.0,28,7.876235
156.0,156,8.124038
116.0,116,8.31192
72.0,72,8.428331
16.0,16,8.454341
20.0,20,8.486779
67.0,67,8.595048
188.0,188,8.900846
18.0,18,8.930001
98.0,98,9.088046
79.0,79,9.215436
149.0,149,9.455295
137.0,137,9.675574
139.0,139,9.89957
127.0,127,10.103248
107.0,107,10.275175
82.0,82,10.406461
21.0,21,10.439896
15.0,15,10.463785
153.0,153,10.707506
73.0,73,10.824848
13.0,13,10.845683
19.0,19,10.876225
125.0,125,11.076392
30.0,30,11.124198
402.0,402,11.766986
102.0,102,11.930771
128.0,128,12.135814
98.0,98,12.293194
136.0,136,12.510761
383.0,383,13.11085
260.0,260,13.51704
188.0,188,13.814399
22.0,22,13.849148
500.0,500,14.650174
170.0,170,14.918175
85.0,85,15.054724
109.0,109,15.23208
127.0,127,15.437291
139.0,139,15.66183
100.0,100,15.823374
107.0,107,15.99843
181.0,181,16.290866
124.0,124,16.48878
117.0,117,16.675078
185.0,185,16.968524
20.0,20,17.000351
227.0,227,17.361707
25.0,25,17.401742
158.0,158,17.652856
127.0,127,17.858343
128.0,128,18.064431
114.0,114,18.248811
133.0,133,18.464208
160.0,160,18.721925
161.0,161,18.980846
136.0,136,19.199618
243.0,243,19.59149
122.0,122,19.787757
112.0,112,19.968202
160.0,160,20.225275
140.0,140,20.449884
92.0,92,20.597874
115.0,115,20.78326
122.0,122,20.979533
83.0,83,21.113096
101.0,101,21.276273
107.0,107,21.448344
99.0,99,21.608032
209.0,209,21.944789
21.0,21,21.978663
172.0,172,22.255129
172.0,172,22.531547
102.0,102,22.695108
157.0,157,22.947121
168.0,168,23.216301
106.0,106,23.389515
62.0,62,23.487474
258.0,258,23.891143
23.0,23,23.927
25.0,25,23.965949
102.0,102,24.124657
98.0,98,24.277639
128.0,128,24.478814
127.0,127,24.679339
144.0,144,24.905548
22.0,22,24.940279
158.0,158,25.187572
143.0,143,25.412296
112.0,112,25.587531
95.0,95,25.736529
245.0,245,26.120366
98.0,98,26.274049
174.0,174,26.545837
107.0,107,26.713542
121.0,121,26.903363
135.0,135,27.115046
111.0,111,27.288379
100.0,100,27.445701
102.0,102,27.606074
121.0,121,27.796808
110.0,110,27.970178
21.0,21,28.002957
15.0,15,28.026568
15.0,15,28.050388
204.0,204,28.37154
85.0,85,28.505243
111.0,111,28.67952
68.0,68,28.785897
155.0,155,29.029919
157.0,157,29.276201
113.0,113,29.453239
102.0,102,29.613192
98.0,98,29.766898
104.0,104,29.930197
22.0,22,29.964713
94.0,94,30.112378
128.0,128,30.314142
29.0,29,30.359498
25.0,25,30.398861
24.0,24,30.436756
98.0,98,30.590788
114.0,114,30.769709
90.0,90,30.910445
48.0,48,30.985592
106.0,106,31.154596
99.0,99,31.310974
22.0,22,31.34642
21.0,21,31.379623
91.0,91,31.523751
22.0,22,31.558825
104.0,104,31.726448
128.0,128,31.934665
28.0,28,31.980096
22.0,22,32.015558
92.0,92,32.163822
24.0,24,32.202763
92.0,92,32.351449
136.0,136,32.569996
18.0,18,32.598785
25.0,25,32.638887
134.0,134,32.852772
128.0,128,33.05804
20.0,20,33.090241
79.0,79,33.217097
22.0,22,33.252149
19.0,19,33.282884
87.0,87,33.422129
98.0,98,33.579242
87.0,87,33.722815
19.0,19,33.75369
107.0,107,33.925595
23.0,23,33.962549
29.0,29,34.010796
98.0,98,34.171327
92.0,92,34.320612
18.0,18,34.349809
21.0,21,34.383531
100.0,100,34.542845
26.0,26,34.584359
89.0,89,34.726896
19.0,19,34.757429
101.0,101,34.91958
103.0,103,35.085163
115.0,115,35.269312
92.0,92,35.416615
96.0,96,35.570044
92.0,92,35.717543
93.0,93,35.867111
17.0,17,35.894564
18.0,18,35.923604
93.0,93,36.073345
88.0,88,36.214733
21.0,21,36.248681
96.0,96,36.402684
106.0,106,36.572548
18.0,18,36.602049
93.0,93,36.750781
23.0,23,36.787744
116.0,116,36.973508
18.0,18,37.002425
13.0,13,37.023272
22.0,22,37.058734
97.0,97,37.214146
20.0,20,37.246094
17.0,17,37.273246
19.0,19,37.303893
19.0,19,37.334358
27.0,27,37.37764
88.0,88,37.518291
20.0,20,37.550441
20.0,20,37.582591
14.0,14,37.605259
19.0,19,37.635676
26.0,26,37.677334
20.0,20,37.709214
21.0,21,37.743074
18.0,18,37.772083
105.0,105,37.940038
22.0,22,37.975283
22.0,22,38.010768
20.0,20,38.042716
20.0,20,38.0746
24.0,24,38.113167
96.0,96,38.266737
23.0,23,38.303667
328.0,328,38.82724
22.0,22,38.862482
16.0,16,38.888377
103.0,103,39.052468
99.0,99,39.210769
18.0,18,39.239724
16.0,16,39.265521
